SAMN17935324	SRR13728477_1.fastq.gz	SRR13728477_2.fastq.gz
SAMN17935321	SRR13728480_1.fastq.gz	SRR13728480_2.fastq.gz
SAMN17935350	SRR13728483_1.fastq.gz	SRR13728483_2.fastq.gz
SAMN17935347	SRR13728486_1.fastq.gz	SRR13728486_2.fastq.gz
SAMN17935346	SRR13728487_1.fastq.gz	SRR13728487_2.fastq.gz
SAMN17935334	SRR13728501_1.fastq.gz	SRR13728501_2.fastq.gz
SAMN17935330	SRR13728505_1.fastq.gz	SRR13728505_2.fastq.gz
SAMN17935328	SRR13728507_1.fastq.gz	SRR13728507_2.fastq.gz
SAMN17935327	SRR13728508_1.fastq.gz	SRR13728508_2.fastq.gz
SAMN17935325	SRR13728510_1.fastq.gz	SRR13728510_2.fastq.gz
SAMN17935316	SRR13728511_1.fastq.gz	SRR13728511_2.fastq.gz
SAMN17935315	SRR13728512_1.fastq.gz	SRR13728512_2.fastq.gz
SAMN17935322	SRR13728479_1.fastq.gz	SRR13728479_2.fastq.gz
SAMN17935349	SRR13728484_1.fastq.gz	SRR13728484_2.fastq.gz
SAMN17935344	SRR13728490_1.fastq.gz	SRR13728490_2.fastq.gz
SAMN17935342	SRR13728492_1.fastq.gz	SRR13728492_2.fastq.gz
SAMN17935341	SRR13728493_1.fastq.gz	SRR13728493_2.fastq.gz
SAMN17935337	SRR13728497_1.fastq.gz	SRR13728497_2.fastq.gz
SAMN17935336	SRR13728498_1.fastq.gz	SRR13728498_2.fastq.gz
SAMN17935317	SRR13728500_1.fastq.gz	SRR13728500_2.fastq.gz
SAMN17935332	SRR13728503_1.fastq.gz	SRR13728503_2.fastq.gz
SAMN17935323	SRR13728478_1.fastq.gz	SRR13728478_2.fastq.gz
SAMN17935320	SRR13728481_1.fastq.gz	SRR13728481_2.fastq.gz
SAMN17935319	SRR13728482_1.fastq.gz	SRR13728482_2.fastq.gz
SAMN17935348	SRR13728485_1.fastq.gz	SRR13728485_2.fastq.gz
SAMN17935345	SRR13728488_1.fastq.gz	SRR13728488_2.fastq.gz
SAMN17935318	SRR13728489_1.fastq.gz	SRR13728489_2.fastq.gz
SAMN17935343	SRR13728491_1.fastq.gz	SRR13728491_2.fastq.gz
SAMN17935340	SRR13728494_1.fastq.gz	SRR13728494_2.fastq.gz
SAMN17935339	SRR13728495_1.fastq.gz	SRR13728495_2.fastq.gz
SAMN17935338	SRR13728496_1.fastq.gz	SRR13728496_2.fastq.gz
SAMN17935335	SRR13728499_1.fastq.gz	SRR13728499_2.fastq.gz
SAMN17935333	SRR13728502_1.fastq.gz	SRR13728502_2.fastq.gz
SAMN17935331	SRR13728504_1.fastq.gz	SRR13728504_2.fastq.gz
SAMN17935329	SRR13728506_1.fastq.gz	SRR13728506_2.fastq.gz
SAMN17935326	SRR13728509_1.fastq.gz	SRR13728509_2.fastq.gz
