id,id_type,in_logs,in_sample_list,location,mismatch
SRR17839291,SRR,True,False,none,True
SRR17839292,SRR,True,False,none,True
SRR17839293,SRR,True,False,none,True
SRR17839294,SRR,True,False,none,True
SRR17839295,SRR,True,False,none,True
SRR17839296,SRR,True,False,none,True
SRR17839297,SRR,True,False,none,True
SRR17839298,SRR,True,False,none,True
SRR17839299,SRR,True,False,none,True
SRR17839300,SRR,True,False,none,True
SRR17839301,SRR,True,False,none,True
SRR17839302,SRR,True,False,none,True
SRR17839303,SRR,True,False,none,True
SRR17839304,SRR,True,False,none,True
