ERR2278849	ERR2278849_1.fastq.gz	ERR2278849_2.fastq.gz
ERR2278851	ERR2278851_1.fastq.gz	ERR2278851_2.fastq.gz
ERR2278853	ERR2278853_1.fastq.gz	ERR2278853_2.fastq.gz
ERR2278857	ERR2278857_1.fastq.gz	ERR2278857_2.fastq.gz
ERR2278858	ERR2278858_1.fastq.gz	ERR2278858_2.fastq.gz
ERR2278860	ERR2278860_1.fastq.gz	ERR2278860_2.fastq.gz
ERR2278863	ERR2278863_1.fastq.gz	ERR2278863_2.fastq.gz
ERR2278864	ERR2278864_1.fastq.gz	ERR2278864_2.fastq.gz
ERR2278867	ERR2278867_1.fastq.gz	ERR2278867_2.fastq.gz
ERR2278870	ERR2278870_1.fastq.gz	ERR2278870_2.fastq.gz
ERR2278871	ERR2278871_1.fastq.gz	ERR2278871_2.fastq.gz
ERR2278872	ERR2278872_1.fastq.gz	ERR2278872_2.fastq.gz
ERR2278875	ERR2278875_1.fastq.gz	ERR2278875_2.fastq.gz
ERR2278879	ERR2278879_1.fastq.gz	ERR2278879_2.fastq.gz
ERR649020	ERR649020_1.fastq.gz	ERR649020_2.fastq.gz
ERR649024	ERR649024_1.fastq.gz	ERR649024_2.fastq.gz
ERR649025	ERR649025_1.fastq.gz	ERR649025_2.fastq.gz
ERR649027	ERR649027_1.fastq.gz	ERR649027_2.fastq.gz
ERR649032	ERR649032_1.fastq.gz	ERR649032_2.fastq.gz
ERR649036	ERR649036_1.fastq.gz	ERR649036_2.fastq.gz
ERR649040	ERR649040_1.fastq.gz	ERR649040_2.fastq.gz
ERR649042	ERR649042_1.fastq.gz	ERR649042_2.fastq.gz
ERR649044	ERR649044_1.fastq.gz	ERR649044_2.fastq.gz
ERR649045	ERR649045_1.fastq.gz	ERR649045_2.fastq.gz
ERR649048	ERR649048_1.fastq.gz	ERR649048_2.fastq.gz
ERR649051	ERR649051_1.fastq.gz	ERR649051_2.fastq.gz
ERR649054	ERR649054_1.fastq.gz	ERR649054_2.fastq.gz
ERR649056	ERR649056_1.fastq.gz	ERR649056_2.fastq.gz
ERR649061	ERR649061_1.fastq.gz	ERR649061_2.fastq.gz
ERR649065	ERR649065_1.fastq.gz	ERR649065_2.fastq.gz
ERR649068	ERR649068_1.fastq.gz	ERR649068_2.fastq.gz
ERR649071	ERR649071_1.fastq.gz	ERR649071_2.fastq.gz
ERR649074	ERR649074_1.fastq.gz	ERR649074_2.fastq.gz
