sample_id,in_bam_dir,in_sample_list,mismatch
SAMN16275551,False,True,True
SAMN16275552,False,True,True
SAMN16275553,False,True,True
SAMN25524779,False,True,True
SAMN25524780,False,True,True
SAMN25524781,False,True,True
SAMN25524782,False,True,True
SAMN25524783,False,True,True
SAMN25524784,False,True,True
SAMN25524785,False,True,True
SAMN25524786,False,True,True
SAMN25524787,False,True,True
SAMN25524788,False,True,True
SAMN25524789,False,True,True
SAMN25524790,False,True,True
SAMN25524791,False,True,True
SAMN25524792,False,True,True
SAMN25524793,False,True,True
SAMN25524794,False,True,True
