SAMN16275551	SRR12720156_1.fastq.gz	SRR12720156_2.fastq.gz
SAMN16275553	SRR12720160_1.fastq.gz	SRR12720160_2.fastq.gz
SAMN16275552	SRR12720161_1.fastq.gz	SRR12720161_2.fastq.gz
SAMN25524779	SRR17839289_1.fastq.gz	SRR17839289_2.fastq.gz
SAMN25524780	SRR17839290_1.fastq.gz	SRR17839290_2.fastq.gz
SAMN25524781	SRR17839291_1.fastq.gz	SRR17839291_2.fastq.gz
SAMN25524782	SRR17839292_1.fastq.gz	SRR17839292_2.fastq.gz
SAMN25524783	SRR17839293_1.fastq.gz	SRR17839293_2.fastq.gz
SAMN25524784	SRR17839294_1.fastq.gz	SRR17839294_2.fastq.gz
SAMN25524785	SRR17839295_1.fastq.gz	SRR17839295_2.fastq.gz
SAMN25524786	SRR17839296_1.fastq.gz	SRR17839296_2.fastq.gz
SAMN25524787	SRR17839297_1.fastq.gz	SRR17839297_2.fastq.gz
SAMN25524788	SRR17839298_1.fastq.gz	SRR17839298_2.fastq.gz
SAMN25524789	SRR17839299_1.fastq.gz	SRR17839299_2.fastq.gz
SAMN25524790	SRR17839300_1.fastq.gz	SRR17839300_2.fastq.gz
SAMN25524791	SRR17839301_1.fastq.gz	SRR17839301_2.fastq.gz
SAMN25524792	SRR17839302_1.fastq.gz	SRR17839302_2.fastq.gz
SAMN25524793	SRR17839303_1.fastq.gz	SRR17839303_2.fastq.gz
SAMN25524794	SRR17839304_1.fastq.gz	SRR17839304_2.fastq.gz
