sample_id,in_bam_dir,in_sample_list,mismatch
SAMN07269609,True,True,False
SAMN07269611,True,True,False
SAMN07269613,True,True,False
SAMN07269615,True,True,False
SAMN11961282,True,True,False
SAMN11961285,True,True,False
SAMN11961288,True,True,False
SAMN13053360,True,True,False
SAMN13053362,True,True,False
SAMN13053364,True,True,False
SAMN13053366,True,True,False
SAMN13053368,True,True,False
SAMN13053370,True,True,False
SAMN13053372,True,True,False
SAMN13053374,True,True,False
SAMN13053376,True,True,False
SAMN13053378,True,True,False
SAMN13053379,True,True,False
SAMN13053380,True,True,False
SAMN13053381,True,True,False
SAMN13053382,True,True,False
SAMN13053383,True,True,False
SAMN13053384,True,True,False
SAMN13053385,True,True,False
SAMN13053386,True,True,False
SAMN13053387,True,True,False
SAMN13053388,True,True,False
SAMN13053389,True,True,False
SAMN13053390,True,True,False
SAMN13053391,True,True,False
SAMN13053392,True,True,False
SAMN13053393,True,True,False
SAMN13053394,True,True,False
SAMN13053395,True,True,False
SAMN13053396,True,True,False
SAMN13053397,True,True,False
SAMN13053398,True,True,False
SAMN13053399,True,True,False
SAMN13053400,True,True,False
SAMN13053401,True,True,False
SAMN13053402,True,True,False
SAMN13053403,True,True,False
SAMN13053404,True,True,False
SAMN13053405,True,True,False
SAMN13053406,True,True,False
SAMN13053407,True,True,False
SAMN13053408,True,True,False
SAMN13171504,True,True,False
SAMN13171506,True,True,False
SAMN13171508,True,True,False
SAMN13171510,True,True,False
SAMN13171512,True,True,False
SAMN13171515,True,True,False
SAMN13171518,True,True,False
SAMN13171522,True,True,False
SAMN13171525,True,True,False
SAMN13171528,True,True,False
SAMN28156665,True,True,False
SAMN28156666,True,True,False
SAMN28156667,True,True,False
SAMN37346325,True,True,False
SAMN37346326,True,True,False
SAMN37346327,True,True,False
SAMN37346328,True,True,False
SAMN37346329,True,True,False
SAMN37346330,True,True,False
SAMN43582184,True,True,False
SAMN43582185,True,True,False
SAMN43582186,True,True,False
SAMN43582187,True,True,False
SAMN43582188,True,True,False
SAMN43582189,True,True,False
SAMN43582190,True,True,False
SAMN47205163,True,True,False
SAMN47205164,True,True,False
SAMN47205165,True,True,False
