srr_id,in_sample_list,in_Gallbladder_SRA,in_Gallbladder_SRA_2,in_any_reference
SRR10305487,1,1,0,1
SRR10305489,1,1,0,1
SRR10305491,1,1,0,1
SRR10305492,1,1,0,1
SRR10305493,1,1,0,1
SRR10305494,1,1,0,1
SRR10305495,1,1,0,1
SRR10305496,1,1,0,1
SRR10305497,1,1,0,1
SRR10305498,1,1,0,1
SRR10305499,1,1,1,1
SRR10305500,1,1,0,1
SRR10305501,1,1,0,1
SRR10305503,1,1,0,1
SRR10305504,1,1,0,1
SRR10305505,1,1,0,1
SRR10305506,1,1,0,1
SRR10305507,1,1,0,1
SRR10305508,1,1,0,1
SRR10305509,1,1,0,1
SRR10305510,1,1,0,1
SRR10305511,1,1,0,1
SRR10305512,1,1,0,1
SRR10305513,1,1,0,1
SRR10305514,1,1,0,1
SRR10305515,1,1,0,1
SRR10305516,1,1,0,1
SRR10305517,1,1,0,1
SRR10305518,1,1,0,1
SRR10305519,1,1,1,1
SRR10305520,1,1,0,1
SRR10305521,1,1,0,1
SRR10305522,1,1,0,1
SRR10305523,1,1,0,1
SRR10305525,1,1,0,1
SRR10305527,1,1,0,1
SRR10305529,1,1,0,1
SRR10305531,1,1,0,1
SRR10305533,1,1,0,1
SRR10305535,1,1,0,1
SRR10380719,1,1,0,1
SRR10380721,1,1,0,1
SRR10380723,1,1,0,1
SRR10380725,1,1,0,1
SRR10380727,1,1,0,1
SRR10380729,1,1,0,1
SRR10380731,1,1,0,1
SRR10380733,1,1,0,1
SRR10380735,1,1,0,1
SRR10380737,1,1,0,1
SRR19139563,1,1,0,1
SRR19139564,1,1,0,1
SRR19139565,1,1,0,1
SRR25998609,1,1,0,1
SRR25998610,1,1,0,1
SRR25998617,1,1,0,1
SRR25998618,1,1,0,1
SRR25998619,1,1,0,1
SRR25998620,1,1,0,1
SRR30633521,1,1,0,1
SRR30633522,1,1,0,1
SRR30633523,1,1,0,1
SRR30633524,1,1,0,1
SRR30633525,1,1,0,1
SRR30633526,1,1,0,1
SRR30633527,1,1,0,1
SRR32560245,1,1,0,1
SRR32560246,1,1,0,1
SRR32560247,1,1,0,1
SRR5742688,1,1,0,1
SRR5742690,1,1,0,1
SRR5742692,1,1,0,1
SRR5742694,1,1,1,1
SRR9203715,1,1,0,1
SRR9203718,1,1,0,1
SRR9203721,1,1,0,1
