id,id_type,in_logs,in_sample_list,location,mismatch
SAMN07269609,SAMN,True,True,first_column,False
SAMN07269611,SAMN,True,True,first_column,False
SAMN07269613,SAMN,True,True,first_column,False
SAMN07269615,SAMN,True,True,first_column,False
SAMN11961282,SAMN,True,True,first_column,False
SAMN11961285,SAMN,True,True,first_column,False
SAMN11961288,SAMN,True,True,first_column,False
SAMN13053360,SAMN,True,True,first_column,False
SAMN13053362,SAMN,True,True,first_column,False
SAMN13053364,SAMN,True,True,first_column,False
SAMN13053366,SAMN,True,True,first_column,False
SAMN13053368,SAMN,True,True,first_column,False
SAMN13053370,SAMN,True,True,first_column,False
SAMN13053372,SAMN,True,True,first_column,False
SAMN13053374,SAMN,True,True,first_column,False
SAMN13053376,SAMN,True,True,first_column,False
SAMN13053378,SAMN,True,True,first_column,False
SAMN13053379,SAMN,True,True,first_column,False
SAMN13053380,SAMN,True,True,first_column,False
SAMN13053381,SAMN,True,True,first_column,False
SAMN13053382,SAMN,True,True,first_column,False
SAMN13053383,SAMN,True,True,first_column,False
SAMN13053384,SAMN,True,True,first_column,False
SAMN13053385,SAMN,True,True,first_column,False
SAMN13053386,SAMN,True,True,first_column,False
SAMN13053387,SAMN,True,True,first_column,False
SAMN13053388,SAMN,True,True,first_column,False
SAMN13053389,SAMN,True,True,first_column,False
SAMN13053390,SAMN,True,True,first_column,False
SAMN13053391,SAMN,True,True,first_column,False
SAMN13053392,SAMN,True,True,first_column,False
SAMN13053393,SAMN,True,True,first_column,False
SAMN13053394,SAMN,True,True,first_column,False
SAMN13053395,SAMN,True,True,first_column,False
SAMN13053396,SAMN,True,True,first_column,False
SAMN13053397,SAMN,True,True,first_column,False
SAMN13053398,SAMN,True,True,first_column,False
SAMN13053399,SAMN,True,True,first_column,False
SAMN13053400,SAMN,True,True,first_column,False
SAMN13053401,SAMN,True,True,first_column,False
SAMN13053402,SAMN,True,True,first_column,False
SAMN13053403,SAMN,True,True,first_column,False
SAMN13053404,SAMN,True,True,first_column,False
SAMN13053405,SAMN,True,True,first_column,False
SAMN13053406,SAMN,True,True,first_column,False
SAMN13053407,SAMN,True,True,first_column,False
SAMN13053408,SAMN,True,True,first_column,False
SAMN13171504,SAMN,True,True,first_column,False
SAMN13171506,SAMN,True,True,first_column,False
SAMN13171508,SAMN,True,True,first_column,False
SAMN13171510,SAMN,True,True,first_column,False
SAMN13171512,SAMN,True,True,first_column,False
SAMN13171515,SAMN,True,True,first_column,False
SAMN13171518,SAMN,True,True,first_column,False
SAMN13171522,SAMN,True,True,first_column,False
SAMN13171525,SAMN,True,True,first_column,False
SAMN13171528,SAMN,True,True,first_column,False
SAMN28156665,SAMN,True,True,first_column,False
SAMN28156666,SAMN,True,True,first_column,False
SAMN28156667,SAMN,True,True,first_column,False
SAMN37346325,SAMN,True,True,first_column,False
SAMN37346326,SAMN,True,True,first_column,False
SAMN37346327,SAMN,True,True,first_column,False
SAMN37346328,SAMN,True,True,first_column,False
SAMN37346329,SAMN,True,True,first_column,False
SAMN37346330,SAMN,True,True,first_column,False
SAMN43582184,SAMN,True,True,first_column,False
SAMN43582185,SAMN,True,True,first_column,False
SAMN43582186,SAMN,True,True,first_column,False
SAMN43582187,SAMN,True,True,first_column,False
