srr_id,in_sample_list,in_Mouth_SRA,in_any_reference
ERR649019,1,1,1
ERR649022,1,1,1
ERR649026,1,1,1
ERR649029,1,1,1
ERR649030,1,1,1
ERR649034,1,1,1
ERR649035,1,1,1
ERR649038,1,1,1
ERR649043,1,1,1
ERR649046,1,1,1
ERR649049,1,1,1
ERR649052,1,1,1
ERR649053,1,1,1
ERR649058,1,1,1
ERR649059,1,1,1
ERR649062,1,1,1
ERR649066,1,1,1
ERR649069,1,1,1
ERR649072,1,1,1
SRR10502316,0,1,1
SRR10502317,0,1,1
SRR10502318,1,1,1
SRR16013047,0,1,1
SRR16013049,0,1,1
SRR16013051,1,1,1
SRR16013053,0,1,1
SRR16013055,0,1,1
SRR16013057,0,1,1
SRR16013058,0,1,1
SRR16013060,1,1,1
SRR16013062,0,1,1
SRR16013063,0,1,1
SRR16013066,0,1,1
SRR16013068,0,1,1
SRR16013069,0,1,1
SRR16013071,0,1,1
SRR16013075,0,1,1
SRR16013076,0,1,1
SRR16013077,0,1,1
SRR16013081,0,1,1
SRR16013085,0,1,1
SRR16013086,0,1,1
SRR16013087,0,1,1
SRR16013089,0,1,1
SRR16612817,1,1,1
SRR16612819,1,1,1
SRR16612821,1,1,1
SRR16612823,1,1,1
SRR16612825,1,1,1
SRR16612828,1,1,1
SRR16612830,1,1,1
SRR16612831,1,1,1
SRR16612833,1,1,1
SRR16612836,1,1,1
SRR16612838,1,1,1
SRR16612839,1,1,1
SRR16612841,1,1,1
SRR16612844,1,1,1
SRR16612846,1,1,1
SRR16612847,1,1,1
SRR16612849,1,1,1
SRR16940416,1,1,1
SRR16940420,1,1,1
SRR16940425,1,1,1
SRR16940430,1,1,1
SRR16940432,1,1,1
SRR16940449,1,1,1
SRR16940450,1,1,1
SRR16940451,1,1,1
SRR16940455,1,1,1
SRR16940460,1,1,1
SRR16940464,1,1,1
SRR22827414,1,1,1
SRR22827415,1,1,1
SRR22827416,1,1,1
SRR30291126,1,1,1
SRR30291129,1,1,1
SRR30291132,1,1,1
SRR30291161,1,1,1
SRR30291166,1,1,1
SRR30291171,1,1,1
SRR30291176,1,1,1
