id,id_type,in_logs,in_sample_list,location,mismatch
ERR649019,ERR,True,False,none,True
ERR649022,ERR,True,False,none,True
ERR649026,ERR,True,False,none,True
ERR649029,ERR,True,False,none,True
ERR649030,ERR,True,False,none,True
ERR649034,ERR,True,False,none,True
ERR649035,ERR,True,False,none,True
ERR649038,ERR,True,False,none,True
ERR649043,ERR,True,False,none,True
ERR649046,ERR,True,False,none,True
ERR649049,ERR,True,False,none,True
ERR649052,ERR,True,False,none,True
ERR649053,ERR,True,False,none,True
ERR649058,ERR,True,False,none,True
ERR649059,ERR,True,False,none,True
ERR649062,ERR,True,False,none,True
ERR649066,ERR,True,False,none,True
ERR649069,ERR,True,False,none,True
ERR649072,ERR,True,False,none,True
SAMEA2804136,SAMEA,True,True,first_column,False
SAMEA2804137,SAMEA,True,True,first_column,False
SAMEA2804138,SAMEA,True,True,first_column,False
SAMEA2804139,SAMEA,True,True,first_column,False
SAMEA2804140,SAMEA,True,True,first_column,False
SAMEA2804141,SAMEA,True,True,first_column,False
SAMEA2804142,SAMEA,True,True,first_column,False
SAMEA2804143,SAMEA,True,True,first_column,False
SAMEA2804144,SAMEA,True,True,first_column,False
SAMEA2804145,SAMEA,True,True,first_column,False
SAMEA2804146,SAMEA,True,True,first_column,False
SAMEA2804147,SAMEA,True,True,first_column,False
SAMEA2804148,SAMEA,True,True,first_column,False
SAMEA2804149,SAMEA,True,True,first_column,False
SAMEA2804150,SAMEA,True,True,first_column,False
SAMEA2804151,SAMEA,True,True,first_column,False
SAMEA2804152,SAMEA,True,True,first_column,False
SAMEA2804153,SAMEA,True,True,first_column,False
SAMEA2804154,SAMEA,True,True,first_column,False
SAMN13336156,SAMN,True,True,first_column,False
SAMN21555489,SAMN,True,True,first_column,False
SAMN21555503,SAMN,True,True,first_column,False
SAMN22658985,SAMN,True,True,first_column,False
SAMN22658987,SAMN,True,True,first_column,False
SAMN22658989,SAMN,True,True,first_column,False
SAMN22658991,SAMN,True,True,first_column,False
SAMN22658993,SAMN,True,True,first_column,False
SAMN22658995,SAMN,True,True,first_column,False
SAMN22658997,SAMN,True,True,first_column,False
SAMN22658999,SAMN,True,True,first_column,False
SAMN22659001,SAMN,True,True,first_column,False
SAMN22659003,SAMN,True,True,first_column,False
SAMN22659005,SAMN,True,True,first_column,False
SAMN22659007,SAMN,True,True,first_column,False
SAMN22659009,SAMN,True,True,first_column,False
SAMN22659011,SAMN,True,True,first_column,False
SAMN22659013,SAMN,True,True,first_column,False
SAMN22659015,SAMN,True,True,first_column,False
SAMN22659017,SAMN,True,True,first_column,False
SAMN23133684,SAMN,True,True,first_column,False
SAMN23133688,SAMN,True,True,first_column,False
SAMN23133692,SAMN,True,True,first_column,False
SAMN23133696,SAMN,True,True,first_column,False
SAMN23133700,SAMN,True,True,first_column,False
SAMN23133704,SAMN,True,True,first_column,False
SAMN23133708,SAMN,True,True,first_column,False
SAMN23133712,SAMN,True,True,first_column,False
SAMN23133716,SAMN,True,True,first_column,False
SAMN23133720,SAMN,True,True,first_column,False
SAMN23133724,SAMN,True,True,first_column,False
SAMN32329513,SAMN,True,True,first_column,False
SAMN32329514,SAMN,True,True,first_column,False
SAMN32329515,SAMN,True,True,first_column,False
SAMN43196228,SAMN,True,True,first_column,False
SAMN43196241,SAMN,True,True,first_column,False
SAMN43196250,SAMN,True,True,first_column,False
SAMN43196271,SAMN,True,True,first_column,False
SAMN43196286,SAMN,True,True,first_column,False
SAMN43196293,SAMN,True,True,first_column,False
SAMN43196312,SAMN,True,True,first_column,False
SRR10502316,SRR,True,False,none,True
SRR10502317,SRR,True,False,none,True
SRR10502318,SRR,True,False,none,True
SRR16013047,SRR,True,False,none,True
SRR16013049,SRR,True,False,none,True
SRR16013051,SRR,True,False,none,True
SRR16013053,SRR,True,False,none,True
SRR16013055,SRR,True,False,none,True
SRR16013057,SRR,True,False,none,True
SRR16013058,SRR,True,False,none,True
SRR16013060,SRR,True,False,none,True
SRR16013062,SRR,True,False,none,True
SRR16013063,SRR,True,False,none,True
SRR16013066,SRR,True,False,none,True
SRR16013069,SRR,True,False,none,True
SRR16013071,SRR,True,False,none,True
SRR16013075,SRR,True,False,none,True
SRR16013076,SRR,True,False,none,True
SRR16013077,SRR,True,False,none,True
SRR16013081,SRR,True,False,none,True
SRR16013085,SRR,True,False,none,True
SRR16013086,SRR,True,False,none,True
SRR16013087,SRR,True,False,none,True
SRR16013089,SRR,True,False,none,True
SRR16612817,SRR,True,False,none,True
SRR16612819,SRR,True,False,none,True
SRR16612821,SRR,True,False,none,True
SRR16612823,SRR,True,False,none,True
SRR16612825,SRR,True,False,none,True
SRR16612828,SRR,True,False,none,True
SRR16612830,SRR,True,False,none,True
SRR16612831,SRR,True,False,none,True
SRR16612833,SRR,True,False,none,True
SRR16612836,SRR,True,False,none,True
SRR16612838,SRR,True,False,none,True
SRR16612839,SRR,True,False,none,True
SRR16612841,SRR,True,False,none,True
SRR16612844,SRR,True,False,none,True
SRR16612846,SRR,True,False,none,True
SRR16612847,SRR,True,False,none,True
SRR16612849,SRR,True,False,none,True
SRR16940416,SRR,True,False,none,True
SRR16940420,SRR,True,False,none,True
SRR16940425,SRR,True,False,none,True
SRR16940430,SRR,True,False,none,True
SRR16940432,SRR,True,False,none,True
SRR16940449,SRR,True,False,none,True
SRR16940450,SRR,True,False,none,True
SRR16940451,SRR,True,False,none,True
SRR16940455,SRR,True,False,none,True
SRR16940460,SRR,True,False,none,True
SRR16940464,SRR,True,False,none,True
SRR22827414,SRR,True,False,none,True
SRR22827415,SRR,True,False,none,True
SRR22827416,SRR,True,False,none,True
SRR30291126,SRR,True,False,none,True
SRR30291129,SRR,True,False,none,True
SRR30291132,SRR,True,False,none,True
SRR30291161,SRR,True,False,none,True
SRR30291166,SRR,True,False,none,True
SRR30291171,SRR,True,False,none,True
SRR30291176,SRR,True,False,none,True
