sample_id,in_bam_dir,in_sample_list,mismatch
SAMEA1968832,False,True,True
SAMEA2150585,True,True,False
SAMEA2151887,True,True,False
SAMN12994617,True,True,False
SAMN12994618,True,True,False
SAMN20169170,True,True,False
SAMN20169172,False,True,True
SAMN20169174,True,True,False
SAMN20169177,True,True,False
SAMN20169181,True,True,False
SAMN20223882,True,True,False
SAMN20223884,True,True,False
SAMN20223886,True,True,False
SAMN20223888,True,True,False
SAMN20223890,True,True,False
SAMN20340196,True,True,False
SAMN20340197,True,True,False
SAMN20340198,True,True,False
SAMN20340199,True,True,False
SAMN37353924,True,True,False
SAMN37353925,True,True,False
SAMN37353926,True,True,False
SAMN37353927,True,True,False
SAMN37353928,True,True,False
SAMN37353929,True,True,False
SAMN37353930,True,True,False
SAMN37353931,True,True,False
SAMN37353932,True,True,False
SAMN37353933,True,True,False
SAMN37353934,True,True,False
SAMN37353935,True,True,False
SAMN37353936,True,True,False
SAMN37353937,True,True,False
SAMN37353938,True,True,False
SAMN37353939,True,True,False
SAMN37353940,True,True,False
SAMN37353941,True,True,False
SAMN37353942,True,True,False
SAMN37353943,True,True,False
SAMN44842466,True,True,False
SAMN44842467,True,True,False
SAMN44842468,True,True,False
SAMN44842469,True,True,False
SAMN44842470,True,True,False
SAMN44842471,True,True,False
