srr_id,in_sample_list,in_Salivary_SRA,in_any_reference
ERR315325,1,0,0
ERR315382,1,0,0
ERR315418,1,0,0
ERR315420,1,0,0
ERR315449,1,0,0
ERR315459,1,0,0
SRR10246417,1,1,1
SRR10246418,1,1,1
SRR15100666,1,1,1
SRR15100668,1,1,1
SRR15100670,1,1,1
SRR15100672,1,1,1
SRR15100674,1,1,1
SRR15132668,1,1,1
SRR15132670,1,1,1
SRR15132672,1,1,1
SRR15132674,1,1,1
SRR15132676,1,1,1
SRR15207440,1,1,1
SRR15207441,1,1,1
SRR15207442,1,1,1
SRR15207443,1,1,1
SRR15207444,1,1,1
SRR15207445,1,1,1
SRR15207446,1,1,1
SRR15207447,1,1,1
SRR15207448,1,1,1
SRR15207449,1,1,1
SRR15207450,1,1,1
SRR15207451,1,1,1
SRR15207452,1,1,1
SRR15207453,1,1,1
SRR15207454,1,1,1
SRR15207455,1,1,1
SRR26033659,1,1,1
SRR26033660,1,1,1
SRR26033661,1,1,1
SRR26033662,1,1,1
SRR26033663,1,1,1
SRR26033664,1,1,1
SRR26033665,1,1,1
SRR26033666,1,1,1
SRR26033667,1,1,1
SRR26033668,1,1,1
SRR26033670,1,1,1
SRR26033671,1,1,1
SRR26033672,1,1,1
SRR26033673,1,1,1
SRR26033674,1,1,1
SRR26033675,1,1,1
SRR26033676,1,1,1
SRR26033677,1,1,1
SRR26033678,1,1,1
SRR26033679,1,1,1
SRR31414539,1,1,1
SRR31414540,1,1,1
SRR31414541,1,1,1
SRR31414542,1,1,1
SRR31414543,1,1,1
SRR31414544,1,1,1
