id,id_type,in_logs,in_sample_list,location,mismatch
ERR315325,ERR,True,False,none,True
ERR315382,ERR,True,False,none,True
ERR315418,ERR,True,False,none,True
ERR315420,ERR,True,False,none,True
ERR315449,ERR,True,False,none,True
ERR315459,ERR,True,False,none,True
SAMEA1968832,SAMEA,True,True,first_column,False
SAMEA2150585,SAMEA,True,True,first_column,False
SAMEA2151887,SAMEA,True,True,first_column,False
SAMN12994617,SAMN,True,True,first_column,False
SAMN12994618,SAMN,True,True,first_column,False
SAMN20169170,SAMN,True,True,first_column,False
SAMN20169172,SAMN,True,True,first_column,False
SAMN20169174,SAMN,True,True,first_column,False
SAMN20169177,SAMN,True,True,first_column,False
SAMN20169181,SAMN,True,True,first_column,False
SAMN20223882,SAMN,True,True,first_column,False
SAMN20223884,SAMN,True,True,first_column,False
SAMN20223886,SAMN,True,True,first_column,False
SAMN20223888,SAMN,True,True,first_column,False
SAMN20223890,SAMN,True,True,first_column,False
SAMN20340196,SAMN,True,True,first_column,False
SAMN20340197,SAMN,True,True,first_column,False
SAMN20340198,SAMN,True,True,first_column,False
SAMN20340199,SAMN,True,True,first_column,False
SAMN37353924,SAMN,True,True,first_column,False
SAMN37353925,SAMN,True,True,first_column,False
SAMN37353926,SAMN,True,True,first_column,False
SAMN37353927,SAMN,True,True,first_column,False
SAMN37353928,SAMN,True,True,first_column,False
SAMN37353929,SAMN,True,True,first_column,False
SAMN37353930,SAMN,True,True,first_column,False
SAMN37353931,SAMN,True,True,first_column,False
SAMN37353932,SAMN,True,True,first_column,False
SAMN37353933,SAMN,True,True,first_column,False
SAMN37353934,SAMN,True,True,first_column,False
SAMN37353935,SAMN,True,True,first_column,False
SAMN37353936,SAMN,True,True,first_column,False
SAMN37353937,SAMN,True,True,first_column,False
SAMN37353938,SAMN,True,True,first_column,False
SAMN37353939,SAMN,True,True,first_column,False
SAMN37353940,SAMN,True,True,first_column,False
SAMN37353941,SAMN,True,True,first_column,False
SAMN37353942,SAMN,True,True,first_column,False
SAMN37353943,SAMN,True,True,first_column,False
SAMN44842466,SAMN,True,True,first_column,False
SAMN44842467,SAMN,True,True,first_column,False
SAMN44842468,SAMN,True,True,first_column,False
SAMN44842469,SAMN,True,True,first_column,False
SAMN44842470,SAMN,True,True,first_column,False
SAMN44842471,SAMN,True,True,first_column,False
SRR10246417,SRR,True,False,none,True
SRR10246418,SRR,True,False,none,True
SRR15100666,SRR,True,False,none,True
SRR15100668,SRR,True,False,none,True
SRR15100670,SRR,True,False,none,True
SRR15100672,SRR,True,False,none,True
SRR15100674,SRR,True,False,none,True
SRR15132668,SRR,True,False,none,True
SRR15132670,SRR,True,False,none,True
SRR15132672,SRR,True,False,none,True
SRR15132674,SRR,True,False,none,True
SRR15132676,SRR,True,False,none,True
SRR15207440,SRR,True,False,none,True
SRR15207441,SRR,True,False,none,True
SRR15207442,SRR,True,False,none,True
SRR15207443,SRR,True,False,none,True
SRR15207444,SRR,True,False,none,True
SRR15207445,SRR,True,False,none,True
SRR15207446,SRR,True,False,none,True
SRR15207447,SRR,True,False,none,True
SRR15207448,SRR,True,False,none,True
SRR15207449,SRR,True,False,none,True
SRR15207450,SRR,True,False,none,True
SRR15207451,SRR,True,False,none,True
SRR15207452,SRR,True,False,none,True
SRR15207453,SRR,True,False,none,True
SRR15207454,SRR,True,False,none,True
SRR15207455,SRR,True,False,none,True
SRR26033659,SRR,True,False,none,True
SRR26033660,SRR,True,False,none,True
SRR26033661,SRR,True,False,none,True
SRR26033662,SRR,True,False,none,True
SRR26033663,SRR,True,False,none,True
SRR26033664,SRR,True,False,none,True
SRR26033665,SRR,True,False,none,True
SRR26033666,SRR,True,False,none,True
SRR26033667,SRR,True,False,none,True
SRR26033668,SRR,True,False,none,True
SRR26033670,SRR,True,False,none,True
SRR26033671,SRR,True,False,none,True
SRR26033672,SRR,True,False,none,True
SRR26033673,SRR,True,False,none,True
SRR26033674,SRR,True,False,none,True
SRR26033675,SRR,True,False,none,True
SRR26033676,SRR,True,False,none,True
SRR26033677,SRR,True,False,none,True
SRR26033678,SRR,True,False,none,True
SRR26033679,SRR,True,False,none,True
SRR31414539,SRR,True,False,none,True
SRR31414540,SRR,True,False,none,True
SRR31414541,SRR,True,False,none,True
SRR31414542,SRR,True,False,none,True
SRR31414543,SRR,True,False,none,True
SRR31414544,SRR,True,False,none,True
