srr_id,in_sample_list,in_Esophagus_SRA,in_any_reference
ERR1141690,1,1,1
ERR1141692,1,1,1
ERR1141697,1,1,1
ERR1141699,1,1,1
ERR1141703,1,1,1
ERR1141720,1,1,1
ERR1141721,1,1,1
ERR1141722,1,1,1
ERR1141723,1,1,1
ERR1141724,1,1,1
ERR1141725,1,1,1
ERR1141726,1,1,1
ERR1141727,1,1,1
ERR1141728,1,1,1
ERR1141729,1,1,1
ERR1141730,1,1,1
ERR1141731,1,1,1
ERR1141732,1,1,1
ERR1141733,1,1,1
SRR14447349,1,1,1
SRR14447351,1,1,1
SRR14447355,1,1,1
SRR14447356,1,1,1
SRR14447359,1,1,1
SRR14447361,1,1,1
SRR14447365,1,1,1
SRR14447377,1,1,1
SRR14447380,1,1,1
SRR14447383,1,1,1
SRR14447389,1,1,1
SRR5230947,1,1,1
SRR5230948,1,1,1
