id,id_type,in_logs,in_sample_list,location,mismatch
ERR1141690,ERR,True,False,none,True
ERR1141692,ERR,True,False,none,True
ERR1141697,ERR,True,False,none,True
ERR1141699,ERR,True,False,none,True
ERR1141703,ERR,True,False,none,True
ERR1141720,ERR,True,False,none,True
ERR1141721,ERR,True,False,none,True
ERR1141722,ERR,True,False,none,True
ERR1141723,ERR,True,False,none,True
ERR1141724,ERR,True,False,none,True
ERR1141725,ERR,True,False,none,True
ERR1141726,ERR,True,False,none,True
ERR1141727,ERR,True,False,none,True
ERR1141728,ERR,True,False,none,True
ERR1141729,ERR,True,False,none,True
ERR1141730,ERR,True,False,none,True
ERR1141731,ERR,True,False,none,True
ERR1141732,ERR,True,False,none,True
ERR1141733,ERR,True,False,none,True
SRR14447349,SRR,True,False,none,True
SRR14447351,SRR,True,False,none,True
SRR14447355,SRR,True,False,none,True
SRR14447356,SRR,True,False,none,True
SRR14447359,SRR,True,False,none,True
SRR14447361,SRR,True,False,none,True
SRR14447365,SRR,True,False,none,True
SRR14447377,SRR,True,False,none,True
SRR14447380,SRR,True,False,none,True
SRR14447383,SRR,True,False,none,True
SRR14447389,SRR,True,False,none,True
SRR5230947,SRR,True,False,none,True
SRR5230948,SRR,True,False,none,True
