srr_id,in_sample_list,in_Pancreas_SRA,in_Pancreas_SRA2,in_Pancreas_SRA2_fixed,in_any_reference
SRR10030984,1,1,0,0,1
SRR10030985,1,1,0,0,1
SRR10030986,1,1,0,0,1
SRR10030987,1,1,0,0,1
SRR10030988,1,1,0,0,1
SRR11792171,1,1,0,0,1
SRR11792172,1,1,0,0,1
SRR11792173,1,1,0,0,1
SRR11792174,1,1,0,0,1
SRR17335067,1,1,0,0,1
SRR17335069,1,1,0,0,1
SRR17335071,1,1,0,0,1
SRR17335073,1,1,0,0,1
SRR17335075,1,1,0,0,1
SRR17335077,1,1,0,0,1
SRR17335079,1,1,0,0,1
SRR17335081,1,1,0,0,1
SRR17335083,1,1,0,0,1
SRR17335085,1,1,0,0,1
SRR17335087,1,1,0,0,1
SRR17335089,1,1,0,0,1
SRR17335092,1,1,0,1,1
SRR17335094,1,1,0,0,1
SRR21833008,1,1,1,1,1
SRR21833010,1,1,1,1,1
SRR21833012,1,1,1,1,1
SRR21833015,1,1,1,1,1
SRR21833018,1,1,1,1,1
SRR25143506,1,1,0,0,1
SRR25143507,1,1,0,0,1
SRR25143508,1,1,0,0,1
SRR25143509,1,1,0,0,1
SRR25143510,1,1,0,0,1
SRR25143511,1,1,0,0,1
SRR25143512,1,1,0,0,1
SRR25143513,1,1,0,0,1
SRR25143514,1,1,0,0,1
SRR25143515,1,1,0,0,1
SRR25143516,1,1,0,0,1
SRR25143517,1,1,0,0,1
SRR25143518,1,1,0,0,1
SRR25143519,1,1,0,0,1
SRR25143520,1,1,0,0,1
SRR25143521,1,1,0,0,1
SRR25143522,1,1,0,0,1
SRR25143523,1,1,0,0,1
SRR25143524,1,1,0,0,1
SRR25143525,1,1,0,0,1
SRR25143526,1,1,0,0,1
SRR25143527,1,1,0,0,1
SRR25716763,1,1,0,0,1
SRR25716765,1,1,0,0,1
SRR25716767,1,1,0,0,1
SRR7768602,1,1,0,0,1
SRR7768603,1,1,0,0,1
SRR7768604,1,1,0,0,1
SRR7768605,1,1,0,0,1
SRR7768606,1,1,0,0,1
SRR7768607,1,1,0,0,1
SRR7818895,1,1,0,0,1
SRR7818896,1,1,0,0,1
SRR7818897,1,1,0,0,1
SRR7818898,1,1,0,0,1
SRR7818899,1,1,0,0,1
SRR7818900,1,1,0,0,1
SRR7818901,1,1,0,0,1
SRR7818902,1,1,0,0,1
SRR7818903,1,1,0,0,1
SRR7818904,1,1,0,0,1
