id,id_type,in_logs,in_sample_list,location,mismatch
SRR10030984,SRR,True,False,none,True
SRR10030985,SRR,True,False,none,True
SRR10030986,SRR,True,False,none,True
SRR10030987,SRR,True,False,none,True
SRR10030988,SRR,True,False,none,True
SRR11792171,SRR,True,False,none,True
SRR11792172,SRR,True,False,none,True
SRR11792173,SRR,True,False,none,True
SRR11792174,SRR,True,False,none,True
SRR17335067,SRR,True,False,none,True
SRR17335069,SRR,True,False,none,True
SRR17335071,SRR,True,False,none,True
SRR17335073,SRR,True,False,none,True
SRR17335075,SRR,True,False,none,True
SRR17335077,SRR,True,False,none,True
SRR17335079,SRR,True,False,none,True
SRR17335081,SRR,True,False,none,True
SRR17335083,SRR,True,False,none,True
SRR17335085,SRR,True,False,none,True
SRR17335087,SRR,True,False,none,True
SRR17335089,SRR,True,False,none,True
SRR17335092,SRR,True,False,none,True
SRR17335094,SRR,True,False,none,True
SRR21833008,SRR,True,False,none,True
SRR21833010,SRR,True,False,none,True
SRR21833012,SRR,True,False,none,True
SRR21833015,SRR,True,False,none,True
SRR21833018,SRR,True,False,none,True
SRR25143506,SRR,True,False,none,True
SRR25143507,SRR,True,False,none,True
SRR25143508,SRR,True,False,none,True
SRR25143509,SRR,True,False,none,True
SRR25143510,SRR,True,False,none,True
SRR25143511,SRR,True,False,none,True
SRR25143512,SRR,True,False,none,True
SRR25143513,SRR,True,False,none,True
SRR25143514,SRR,True,False,none,True
SRR25143515,SRR,True,False,none,True
SRR25143516,SRR,True,False,none,True
SRR25143517,SRR,True,False,none,True
SRR25143518,SRR,True,False,none,True
SRR25143519,SRR,True,False,none,True
SRR25143520,SRR,True,False,none,True
SRR25143521,SRR,True,False,none,True
SRR25143522,SRR,True,False,none,True
SRR25143523,SRR,True,False,none,True
SRR25143524,SRR,True,False,none,True
SRR25143525,SRR,True,False,none,True
SRR25143526,SRR,True,False,none,True
SRR25143527,SRR,True,False,none,True
SRR25716763,SRR,True,False,none,True
SRR25716765,SRR,True,False,none,True
SRR25716767,SRR,True,False,none,True
SRR7768602,SRR,True,False,none,True
SRR7768603,SRR,True,False,none,True
SRR7768604,SRR,True,False,none,True
SRR7768605,SRR,True,False,none,True
SRR7768606,SRR,True,False,none,True
SRR7768607,SRR,True,False,none,True
SRR7818895,SRR,True,False,none,True
SRR7818896,SRR,True,False,none,True
SRR7818897,SRR,True,False,none,True
SRR7818898,SRR,True,False,none,True
SRR7818899,SRR,True,False,none,True
SRR7818900,SRR,True,False,none,True
SRR7818901,SRR,True,False,none,True
SRR7818902,SRR,True,False,none,True
SRR7818903,SRR,True,False,none,True
SRR7818904,SRR,True,False,none,True
