SAMN37100986	SRR25716763_1.fastq.gz	SRR25716763_2.fastq.gz
SAMN37100987	SRR25716765_1.fastq.gz	SRR25716765_2.fastq.gz
SAMN37100988	SRR25716767_1.fastq.gz	SRR25716767_2.fastq.gz
SAMN09935534	SRR7768602_1.fastq.gz	SRR7768602_2.fastq.gz
SAMN09935533	SRR7768603_1.fastq.gz	SRR7768603_2.fastq.gz
SAMN09935532	SRR7768604_1.fastq.gz	SRR7768604_2.fastq.gz
SAMN09935531	SRR7768605_1.fastq.gz	SRR7768605_2.fastq.gz
SAMN09935530	SRR7768606_1.fastq.gz	SRR7768606_2.fastq.gz
SAMN09935529	SRR7768607_1.fastq.gz	SRR7768607_2.fastq.gz
SAMN10033084	SRR7818895_1.fastq.gz	SRR7818895_2.fastq.gz
SAMN10033083	SRR7818896_1.fastq.gz	SRR7818896_2.fastq.gz
SAMN10033082	SRR7818897_1.fastq.gz	SRR7818897_2.fastq.gz
SAMN10033081	SRR7818898_1.fastq.gz	SRR7818898_2.fastq.gz
SAMN10033080	SRR7818899_1.fastq.gz	SRR7818899_2.fastq.gz
SAMN10033079	SRR7818900_1.fastq.gz	SRR7818900_2.fastq.gz
SAMN10033078	SRR7818901_1.fastq.gz	SRR7818901_2.fastq.gz
SAMN10033077	SRR7818902_1.fastq.gz	SRR7818902_2.fastq.gz
SAMN10033076	SRR7818903_1.fastq.gz	SRR7818903_2.fastq.gz
SAMN10033075	SRR7818904_1.fastq.gz	SRR7818904_2.fastq.gz
SAMN36307550	SRR25143506_1.fastq.gz	SRR25143506_2.fastq.gz
SAMN36307551	SRR25143507_1.fastq.gz	SRR25143507_2.fastq.gz
SAMN36307552	SRR25143508_1.fastq.gz	SRR25143508_2.fastq.gz
SAMN36307553	SRR25143509_1.fastq.gz	SRR25143509_2.fastq.gz
SAMN36307554	SRR25143510_1.fastq.gz	SRR25143510_2.fastq.gz
SAMN36307555	SRR25143511_1.fastq.gz	SRR25143511_2.fastq.gz
SAMN36307556	SRR25143512_1.fastq.gz	SRR25143512_2.fastq.gz
SAMN36307557	SRR25143513_1.fastq.gz	SRR25143513_2.fastq.gz
SAMN36307558	SRR25143514_1.fastq.gz	SRR25143514_2.fastq.gz
SAMN36307559	SRR25143515_1.fastq.gz	SRR25143515_2.fastq.gz
SAMN36307560	SRR25143516_1.fastq.gz	SRR25143516_2.fastq.gz
SAMN36307561	SRR25143517_1.fastq.gz	SRR25143517_2.fastq.gz
SAMN36307562	SRR25143518_1.fastq.gz	SRR25143518_2.fastq.gz
SAMN36307563	SRR25143519_1.fastq.gz	SRR25143519_2.fastq.gz
SAMN36307564	SRR25143520_1.fastq.gz	SRR25143520_2.fastq.gz
SAMN36307565	SRR25143521_1.fastq.gz	SRR25143521_2.fastq.gz
SAMN36307566	SRR25143522_1.fastq.gz	SRR25143522_2.fastq.gz
SAMN36307567	SRR25143523_1.fastq.gz	SRR25143523_2.fastq.gz
SAMN36307568	SRR25143524_1.fastq.gz	SRR25143524_2.fastq.gz
SAMN36307569	SRR25143525_1.fastq.gz	SRR25143525_2.fastq.gz
SAMN36307570	SRR25143526_1.fastq.gz	SRR25143526_2.fastq.gz
SAMN36307571	SRR25143527_1.fastq.gz	SRR25143527_2.fastq.gz
SAMN24437316	SRR17335067_1.fastq.gz	SRR17335067_2.fastq.gz
SAMN24437318	SRR17335069_1.fastq.gz	SRR17335069_2.fastq.gz
SAMN24437320	SRR17335071_1.fastq.gz	SRR17335071_2.fastq.gz
SAMN24437322	SRR17335073_1.fastq.gz	SRR17335073_2.fastq.gz
SAMN24437324	SRR17335075_1.fastq.gz	SRR17335075_2.fastq.gz
SAMN24437326	SRR17335077_1.fastq.gz	SRR17335077_2.fastq.gz
SAMN24437328	SRR17335079_1.fastq.gz	SRR17335079_2.fastq.gz
SAMN24437330	SRR17335081_1.fastq.gz	SRR17335081_2.fastq.gz
SAMN24437332	SRR17335083_1.fastq.gz	SRR17335083_2.fastq.gz
SAMN24437334	SRR17335085_1.fastq.gz	SRR17335085_2.fastq.gz
SAMN24437336	SRR17335087_1.fastq.gz	SRR17335087_2.fastq.gz
SAMN24437338	SRR17335089_1.fastq.gz	SRR17335089_2.fastq.gz
SAMN24437340	SRR17335092_1.fastq.gz	SRR17335092_2.fastq.gz
SAMN24437342	SRR17335094_1.fastq.gz	SRR17335094_2.fastq.gz
SAMN31080996	SRR21833008_1.fastq.gz	SRR21833008_2.fastq.gz
SAMN31080976	SRR21833010_1.fastq.gz	SRR21833010_2.fastq.gz
SAMN31080973	SRR21833012_1.fastq.gz	SRR21833012_2.fastq.gz
SAMN31080997	SRR21833015_1.fastq.gz	SRR21833015_2.fastq.gz
SAMN31080982	SRR21833018_1.fastq.gz	SRR21833018_2.fastq.gz
SAMN14928617	SRR11792171_1.fastq.gz	SRR11792171_2.fastq.gz
SAMN14928616	SRR11792172_1.fastq.gz	SRR11792172_2.fastq.gz
SAMN14928615	SRR11792173_1.fastq.gz	SRR11792173_2.fastq.gz
SAMN14928614	SRR11792174_1.fastq.gz	SRR11792174_2.fastq.gz
SAMN12647836	SRR10030987_1.fastq.gz	SRR10030987_2.fastq.gz
SAMN12647835	SRR10030988_1.fastq.gz	SRR10030988_2.fastq.gz
SAMN12647838	SRR10030984_1.fastq.gz	SRR10030984_2.fastq.gz
SAMN12647834	SRR10030985_1.fastq.gz	SRR10030985_2.fastq.gz
SAMN12647837	SRR10030986_1.fastq.gz	SRR10030986_2.fastq.gz
