id,id_type,in_logs,in_sample_list,location,mismatch
DRR182532,DRR,True,False,none,True
DRR182533,DRR,True,False,none,True
DRR182534,DRR,True,False,none,True
DRR182535,DRR,True,False,none,True
DRR182536,DRR,True,False,none,True
DRR182537,DRR,True,False,none,True
DRR182538,DRR,True,False,none,True
DRR182539,DRR,True,False,none,True
DRR182540,DRR,True,False,none,True
DRR182541,DRR,True,False,none,True
DRR182542,DRR,True,False,none,True
DRR182543,DRR,True,False,none,True
DRR182544,DRR,True,False,none,True
DRR182545,DRR,True,False,none,True
DRR253234,DRR,True,False,none,True
DRR253235,DRR,True,False,none,True
DRR253236,DRR,True,False,none,True
DRR253237,DRR,True,False,none,True
DRR253238,DRR,True,False,none,True
DRR253239,DRR,True,False,none,True
DRR253240,DRR,True,False,none,True
DRR253241,DRR,True,False,none,True
DRR253242,DRR,True,False,none,True
DRR253243,DRR,True,False,none,True
DRR253244,DRR,True,False,none,True
DRR253245,DRR,True,False,none,True
DRR253246,DRR,True,False,none,True
DRR253247,DRR,True,False,none,True
DRR253248,DRR,True,False,none,True
DRR253249,DRR,True,False,none,True
DRR253250,DRR,True,False,none,True
DRR253251,DRR,True,False,none,True
DRR253252,DRR,True,False,none,True
DRR253253,DRR,True,False,none,True
DRR253254,DRR,True,False,none,True
DRR253255,DRR,True,False,none,True
DRR253256,DRR,True,False,none,True
DRR253257,DRR,True,False,none,True
DRR253258,DRR,True,False,none,True
DRR253259,DRR,True,False,none,True
DRR253260,DRR,True,False,none,True
DRR253261,DRR,True,False,none,True
DRR253262,DRR,True,False,none,True
DRR253263,DRR,True,False,none,True
DRR253264,DRR,True,False,none,True
DRR253265,DRR,True,False,none,True
DRR253266,DRR,True,False,none,True
DRR253267,DRR,True,False,none,True
DRR253268,DRR,True,False,none,True
DRR253269,DRR,True,False,none,True
ERR10031366,ERR,True,False,none,True
ERR10031367,ERR,True,False,none,True
ERR10031368,ERR,True,False,none,True
ERR10031369,ERR,True,False,none,True
ERR10031370,ERR,True,False,none,True
ERR1141690,ERR,True,False,none,True
ERR1141692,ERR,True,False,none,True
ERR1141697,ERR,True,False,none,True
ERR1141699,ERR,True,False,none,True
ERR1141700,ERR,True,False,none,True
ERR1141703,ERR,True,False,none,True
ERR1141704,ERR,True,False,none,True
ERR1141705,ERR,True,False,none,True
