directory	srr_id	in_sample_list	in_sra_dir
Bulk_CellTypes/Gum+MouthOther	SRR12720156	1	1
Bulk_CellTypes/Gum+MouthOther	SRR12720160	1	1
Bulk_CellTypes/Gum+MouthOther	SRR12720161	1	1
Bulk_CellTypes/Gum+MouthOther	SRR17839289	1	1
Bulk_CellTypes/Gum+MouthOther	SRR17839290	1	1
Bulk_CellTypes/Gum+MouthOther	SRR17839291	1	1
Bulk_CellTypes/Gum+MouthOther	SRR17839292	1	1
Bulk_CellTypes/Gum+MouthOther	SRR17839293	1	1
Bulk_CellTypes/Gum+MouthOther	SRR17839294	1	1
Bulk_CellTypes/Gum+MouthOther	SRR17839295	1	1
Bulk_CellTypes/Gum+MouthOther	SRR17839296	1	1
Bulk_CellTypes/Gum+MouthOther	SRR17839297	1	1
Bulk_CellTypes/Gum+MouthOther	SRR17839298	1	1
Bulk_CellTypes/Gum+MouthOther	SRR17839299	1	1
Bulk_CellTypes/Gum+MouthOther	SRR17839300	1	1
Bulk_CellTypes/Gum+MouthOther	SRR17839301	1	1
Bulk_CellTypes/Gum+MouthOther	SRR17839302	1	1
Bulk_CellTypes/Gum+MouthOther	SRR17839303	1	1
Bulk_CellTypes/Gum+MouthOther	SRR17839304	1	1
Bulk_CellTypes/Pancreas	SRR15964342	1	0
Bulk_CellTypes/Pancreas	SRR15964343	1	0
Bulk_CellTypes/Pancreas	SRR15964344	1	0
Bulk_CellTypes/Pancreas	SRR15964345	1	0
Bulk_CellTypes/Pancreas	SRR15964346	1	0
Bulk_CellTypes/Pancreas	SRR15964347	1	0
Bulk_CellTypes/Pancreas	SRR15964348	1	0
Bulk_CellTypes/Pancreas	SRR15964349	1	0
Bulk_CellTypes/Pancreas	SRR15964350	1	0
Bulk_CellTypes/Pancreas	SRR15964351	1	0
Bulk_CellTypes/Pancreas	SRR15964352	1	0
Bulk_CellTypes/Pancreas	SRR15964353	1	0
Bulk_CellTypes/Pancreas	SRR16987689	1	0
Bulk_CellTypes/Pancreas	SRR16987690	1	0
Controls/Esophagus	ERR1141690	1	1
Controls/Esophagus	ERR1141692	1	1
Controls/Esophagus	ERR1141697	1	1
Controls/Esophagus	ERR1141699	1	1
Controls/Esophagus	ERR1141703	1	1
Controls/Esophagus	ERR1141720	1	1
Controls/Esophagus	ERR1141721	1	1
Controls/Esophagus	ERR1141722	1	1
Controls/Esophagus	ERR1141723	1	1
Controls/Esophagus	ERR1141724	1	1
Controls/Esophagus	ERR1141725	1	1
Controls/Esophagus	ERR1141726	1	1
Controls/Esophagus	ERR1141727	1	1
Controls/Esophagus	ERR1141728	1	1
Controls/Esophagus	ERR1141729	1	1
Controls/Esophagus	ERR1141730	1	1
Controls/Esophagus	ERR1141731	1	1
Controls/Esophagus	ERR1141732	1	1
Controls/Esophagus	ERR1141733	1	1
Controls/Esophagus	SRR14447349	1	1
Controls/Esophagus	SRR14447351	1	1
Controls/Esophagus	SRR14447355	1	1
Controls/Esophagus	SRR14447356	1	1
Controls/Esophagus	SRR14447359	1	1
Controls/Esophagus	SRR14447361	1	1
Controls/Esophagus	SRR14447365	1	1
Controls/Esophagus	SRR14447377	1	1
Controls/Esophagus	SRR14447380	1	1
Controls/Esophagus	SRR14447383	1	1
Controls/Esophagus	SRR14447389	1	1
Controls/Esophagus	SRR5230947	1	1
Controls/Esophagus	SRR5230948	1	1
Controls/Gallbladder	SRR10305487	1	0
Controls/Gallbladder	SRR10305489	1	0
Controls/Gallbladder	SRR10305491	1	0
Controls/Gallbladder	SRR10305492	1	0
Controls/Gallbladder	SRR10305493	1	0
Controls/Gallbladder	SRR10305494	1	0
Controls/Gallbladder	SRR10305495	1	0
Controls/Gallbladder	SRR10305496	1	0
Controls/Gallbladder	SRR10305497	1	0
Controls/Gallbladder	SRR10305498	1	0
Controls/Gallbladder	SRR10305499	1	0
Controls/Gallbladder	SRR10305500	1	0
Controls/Gallbladder	SRR10305501	1	0
Controls/Gallbladder	SRR10305503	1	0
Controls/Gallbladder	SRR10305504	1	0
Controls/Gallbladder	SRR10305505	1	0
Controls/Gallbladder	SRR10305506	1	0
Controls/Gallbladder	SRR10305507	1	0
Controls/Gallbladder	SRR10305508	1	0
Controls/Gallbladder	SRR10305509	1	0
Controls/Gallbladder	SRR10305510	1	0
Controls/Gallbladder	SRR10305511	1	0
Controls/Gallbladder	SRR10305512	1	0
Controls/Gallbladder	SRR10305513	1	0
Controls/Gallbladder	SRR10305514	1	0
Controls/Gallbladder	SRR10305515	1	0
Controls/Gallbladder	SRR10305516	1	0
Controls/Gallbladder	SRR10305517	1	0
Controls/Gallbladder	SRR10305518	1	0
Controls/Gallbladder	SRR10305519	1	0
Controls/Gallbladder	SRR10305520	1	0
Controls/Gallbladder	SRR10305521	1	0
Controls/Gallbladder	SRR10305522	1	0
Controls/Gallbladder	SRR10305523	1	0
Controls/Gallbladder	SRR10305525	1	0
Controls/Gallbladder	SRR10305527	1	0
Controls/Gallbladder	SRR10305529	1	0
Controls/Gallbladder	SRR10305531	1	0
Controls/Gallbladder	SRR10305533	1	0
Controls/Gallbladder	SRR10305535	1	0
Controls/Gallbladder	SRR10380719	1	0
Controls/Gallbladder	SRR10380721	1	0
Controls/Gallbladder	SRR10380723	1	0
Controls/Gallbladder	SRR10380725	1	0
Controls/Gallbladder	SRR10380727	1	0
Controls/Gallbladder	SRR10380729	1	0
Controls/Gallbladder	SRR10380731	1	0
Controls/Gallbladder	SRR10380733	1	0
Controls/Gallbladder	SRR10380735	1	0
Controls/Gallbladder	SRR10380737	1	0
Controls/Gallbladder	SRR19139563	1	0
Controls/Gallbladder	SRR19139564	1	0
Controls/Gallbladder	SRR19139565	1	0
Controls/Gallbladder	SRR25998609	1	0
Controls/Gallbladder	SRR25998610	1	0
Controls/Gallbladder	SRR25998617	1	0
Controls/Gallbladder	SRR25998618	1	0
Controls/Gallbladder	SRR25998619	1	0
Controls/Gallbladder	SRR25998620	1	0
