directory	srr_id
Controls/Esophagus	ERR1141690
Controls/Esophagus	ERR1141692
Controls/Esophagus	ERR1141697
Controls/Esophagus	ERR1141699
Controls/Esophagus	ERR1141703
Controls/Esophagus	ERR1141720
Controls/Esophagus	ERR1141721
Controls/Esophagus	ERR1141722
Controls/Esophagus	ERR1141723
Controls/Esophagus	ERR1141724
Controls/Esophagus	ERR1141725
Controls/Esophagus	ERR1141726
Controls/Esophagus	ERR1141727
Controls/Esophagus	ERR1141728
Controls/Esophagus	ERR1141729
Controls/Esophagus	ERR1141730
Controls/Esophagus	ERR1141731
Controls/Esophagus	ERR1141732
Controls/Esophagus	ERR1141733
Controls/Esophagus	SRR14447349
Controls/Esophagus	SRR14447351
Controls/Esophagus	SRR14447355
Controls/Esophagus	SRR14447356
Controls/Esophagus	SRR14447359
Controls/Esophagus	SRR14447361
Controls/Esophagus	SRR14447365
Controls/Esophagus	SRR14447377
Controls/Esophagus	SRR14447380
Controls/Esophagus	SRR14447383
Controls/Esophagus	SRR14447389
Controls/Esophagus	SRR5230947
Controls/Esophagus	SRR5230948
Controls/Gallbladder	SRR10305487
Controls/Gallbladder	SRR10305489
Controls/Gallbladder	SRR10305491
Controls/Gallbladder	SRR10305492
Controls/Gallbladder	SRR10305493
Controls/Gallbladder	SRR10305494
Controls/Gallbladder	SRR10305495
Controls/Gallbladder	SRR10305496
Controls/Gallbladder	SRR10305497
Controls/Gallbladder	SRR10305498
Controls/Gallbladder	SRR10305499
Controls/Gallbladder	SRR10305500
Controls/Gallbladder	SRR10305501
Controls/Gallbladder	SRR10305503
Controls/Gallbladder	SRR10305504
Controls/Gallbladder	SRR10305505
Controls/Gallbladder	SRR10305506
Controls/Gallbladder	SRR10305507
Controls/Gallbladder	SRR10305508
Controls/Gallbladder	SRR10305509
Controls/Gallbladder	SRR10305510
Controls/Gallbladder	SRR10305511
Controls/Gallbladder	SRR10305512
Controls/Gallbladder	SRR10305513
Controls/Gallbladder	SRR10305514
Controls/Gallbladder	SRR10305515
Controls/Gallbladder	SRR10305516
Controls/Gallbladder	SRR10305517
Controls/Gallbladder	SRR10305518
Controls/Gallbladder	SRR10305519
Controls/Gallbladder	SRR10305520
Controls/Gallbladder	SRR10305521
Controls/Gallbladder	SRR10305522
Controls/Gallbladder	SRR10305523
Controls/Gallbladder	SRR10305525
Controls/Gallbladder	SRR10305527
Controls/Gallbladder	SRR10305529
Controls/Gallbladder	SRR10305531
Controls/Gallbladder	SRR10305533
Controls/Gallbladder	SRR10305535
Controls/Gallbladder	SRR10380719
Controls/Gallbladder	SRR10380721
Controls/Gallbladder	SRR10380723
Controls/Gallbladder	SRR10380725
Controls/Gallbladder	SRR10380727
Controls/Gallbladder	SRR10380729
Controls/Gallbladder	SRR10380731
Controls/Gallbladder	SRR10380733
Controls/Gallbladder	SRR10380735
Controls/Gallbladder	SRR10380737
Controls/Gallbladder	SRR19139563
Controls/Gallbladder	SRR19139564
Controls/Gallbladder	SRR19139565
Controls/Gallbladder	SRR25998609
Controls/Gallbladder	SRR25998610
Controls/Gallbladder	SRR25998617
Controls/Gallbladder	SRR25998618
Controls/Gallbladder	SRR25998619
Controls/Gallbladder	SRR25998620
Controls/Gallbladder	SRR30633521
Controls/Gallbladder	SRR30633522
Controls/Gallbladder	SRR30633523
Controls/Gallbladder	SRR30633524
Controls/Gallbladder	SRR30633525
Controls/Gallbladder	SRR30633526
Controls/Gallbladder	SRR30633527
Controls/Gallbladder	SRR32560245
Controls/Gallbladder	SRR32560246
Controls/Gallbladder	SRR32560247
Controls/Gallbladder	SRR5742688
Controls/Gallbladder	SRR5742690
Controls/Gallbladder	SRR5742692
Controls/Gallbladder	SRR5742694
Controls/Gallbladder	SRR9203715
Controls/Gallbladder	SRR9203718
Controls/Gallbladder	SRR9203721
Controls/Gum+MouthOther	ERR649019
Controls/Gum+MouthOther	ERR649022
Controls/Gum+MouthOther	ERR649026
Controls/Gum+MouthOther	ERR649029
Controls/Gum+MouthOther	ERR649030
Controls/Gum+MouthOther	ERR649034
Controls/Gum+MouthOther	ERR649035
Controls/Gum+MouthOther	ERR649038
Controls/Gum+MouthOther	ERR649043
Controls/Gum+MouthOther	ERR649046
Controls/Gum+MouthOther	ERR649049
Controls/Gum+MouthOther	ERR649052
Controls/Gum+MouthOther	ERR649053
Controls/Gum+MouthOther	ERR649058
Controls/Gum+MouthOther	ERR649059
Controls/Gum+MouthOther	ERR649062
Controls/Gum+MouthOther	ERR649066
Controls/Gum+MouthOther	ERR649069
Controls/Gum+MouthOther	ERR649072
Controls/Gum+MouthOther	SRR10502318
Controls/Gum+MouthOther	SRR16013051
Controls/Gum+MouthOther	SRR16013060
Controls/Gum+MouthOther	SRR16612817
Controls/Gum+MouthOther	SRR16612819
Controls/Gum+MouthOther	SRR16612821
Controls/Gum+MouthOther	SRR16612823
Controls/Gum+MouthOther	SRR16612825
Controls/Gum+MouthOther	SRR16612828
Controls/Gum+MouthOther	SRR16612830
