directory	srr_id
Controls/Gallbladder	SRR10305523
Controls/Gallbladder	SRR30633522
Controls/Gallbladder	SRR32560246
Controls/Gum+MouthOther	SRR30291126
Controls/Gum+MouthOther	SRR30291129
Controls/Gum+MouthOther	SRR30291132
Controls/Gum+MouthOther	SRR30291161
Controls/Gum+MouthOther	SRR30291166
Controls/Gum+MouthOther	SRR30291171
Controls/Gum+MouthOther	SRR30291176
Controls/Larynx	SRR10116268
Controls/Larynx	SRR22060461
Controls/Pancreas	SRR21833008
Controls/Pancreas	SRR21833010
Controls/Pancreas	SRR21833012
Controls/Pancreas	SRR21833015
Controls/Pancreas	SRR21833018
Tumors/Esophagus	SRR3880241
Tumors/Esophagus	SRR4306272
Tumors/Esophagus	SRR8762209
Tumors/Esophagus	SRR9304310
Tumors/Gallbladder	DRR253248
Tumors/Gallbladder	SRR10305490
Tumors/Gallbladder	SRR9203716
Tumors/Gum+MouthOther	SRR24889140
Tumors/Gum+MouthOther	SRR24889142
Tumors/Gum+MouthOther	SRR24889144
Tumors/Gum+MouthOther	SRR24889146
Tumors/Gum+MouthOther	SRR24889150
Tumors/Gum+MouthOther	SRR24889152
Tumors/Gum+MouthOther	SRR24889156
Tumors/Gum+MouthOther	SRR24889158
Tumors/Gum+MouthOther	SRR24889160
Tumors/Gum+MouthOther	SRR24889162
Tumors/Gum+MouthOther	SRR24889164
Tumors/Gum+MouthOther	SRR30291125
Tumors/Gum+MouthOther	SRR30291178
Tumors/Gum+MouthOther	SRR30291180
Tumors/Gum+MouthOther	SRR30291182
Tumors/Gum+MouthOther	SRR30291191
Tumors/Gum+MouthOther	SRR30291193
Tumors/Gum+MouthOther	SRR8762161
Tumors/Gum+MouthOther	SRR8762463
Tumors/Gum+MouthOther	SRR8762631
Tumors/LungLargeCell	SRR27933520
Tumors/LungLargeCell	SRR27933665
Tumors/LungLargeCell	SRR3214871
Tumors/LungLargeCell	SRR3214899
Tumors/LungLargeCell	SRR3214900
Tumors/LungLargeCell	SRR3214901
Tumors/LungLargeCell	SRR3214902
Tumors/LungLargeCell	SRR3214903
Tumors/LungLargeCell	SRR3214904
Tumors/LungLargeCell	SRR3214905
Tumors/LungLargeCell	SRR3214906
Tumors/LungLargeCell	SRR923782
Tumors/LungLargeCell	SRR923783
