id,id_type,in_logs,in_sample_list,location,mismatch
ERR1141671,ERR,True,False,none,True
ERR1141672,ERR,True,False,none,True
ERR1141673,ERR,True,False,none,True
ERR1141674,ERR,True,False,none,True
ERR1141675,ERR,True,False,none,True
ERR1141676,ERR,True,False,none,True
ERR1141677,ERR,True,False,none,True
ERR1141678,ERR,True,False,none,True
ERR1141679,ERR,True,False,none,True
ERR1141680,ERR,True,False,none,True
ERR1141681,ERR,True,False,none,True
ERR1141682,ERR,True,False,none,True
ERR1141683,ERR,True,False,none,True
ERR1141684,ERR,True,False,none,True
ERR1141685,ERR,True,False,none,True
ERR1141686,ERR,True,False,none,True
ERR1141687,ERR,True,False,none,True
ERR1141688,ERR,True,False,none,True
ERR1141689,ERR,True,False,none,True
ERR1141691,ERR,True,False,none,True
ERR1141693,ERR,True,False,none,True
ERR1141694,ERR,True,False,none,True
ERR1141695,ERR,True,False,none,True
ERR1141696,ERR,True,False,none,True
ERR1141698,ERR,True,False,none,True
ERR1141701,ERR,True,False,none,True
ERR1141702,ERR,True,False,none,True
ERR3728072,ERR,True,False,none,True
ERR3728073,ERR,True,False,none,True
ERR3728074,ERR,True,False,none,True
SAMEA3670207,SAMEA,True,True,first_column,False
SAMEA3670208,SAMEA,True,True,first_column,False
SAMEA3670209,SAMEA,True,True,first_column,False
SAMEA3670210,SAMEA,True,True,first_column,False
SAMEA3670211,SAMEA,True,True,first_column,False
SAMEA3670212,SAMEA,True,True,first_column,False
SAMEA3670213,SAMEA,True,True,first_column,False
SAMEA3670214,SAMEA,True,True,first_column,False
SAMEA3670215,SAMEA,True,True,first_column,False
SAMEA3670216,SAMEA,True,True,first_column,False
SAMEA3670217,SAMEA,True,True,first_column,False
SAMEA3670218,SAMEA,True,True,first_column,False
SAMEA3670219,SAMEA,True,True,first_column,False
SAMEA3670220,SAMEA,True,True,first_column,False
SAMEA3670221,SAMEA,True,True,first_column,False
SAMEA3670222,SAMEA,True,True,first_column,False
SAMEA3670223,SAMEA,True,True,first_column,False
SAMEA3670224,SAMEA,True,True,first_column,False
SAMEA3670225,SAMEA,True,True,first_column,False
SAMEA3670227,SAMEA,True,True,first_column,False
SAMEA3670229,SAMEA,True,True,first_column,False
SAMEA3670230,SAMEA,True,True,first_column,False
SAMEA3670231,SAMEA,True,True,first_column,False
SAMEA3670232,SAMEA,True,True,first_column,False
SAMEA3670234,SAMEA,True,True,first_column,False
SAMEA3670237,SAMEA,True,True,first_column,False
SAMEA3670238,SAMEA,True,True,first_column,False
SAMEA6379809,SAMEA,True,True,first_column,False
SAMEA6379810,SAMEA,True,True,first_column,False
SAMEA6379811,SAMEA,True,True,first_column,False
SAMN25078456,SAMN,True,True,first_column,False
SAMN25078457,SAMN,True,True,first_column,False
SAMN25078458,SAMN,True,True,first_column,False
SAMN25078459,SAMN,True,True,first_column,False
SAMN25078460,SAMN,True,True,first_column,False
SAMN25078461,SAMN,True,True,first_column,False
SAMN25078462,SAMN,True,True,first_column,False
SAMN25078463,SAMN,True,True,first_column,False
SAMN25078464,SAMN,True,True,first_column,False
SAMN25078465,SAMN,True,True,first_column,False
SAMN25078466,SAMN,True,True,first_column,False
SAMN25078467,SAMN,True,True,first_column,False
SAMN25078468,SAMN,True,True,first_column,False
SAMN25078469,SAMN,True,True,first_column,False
SAMN25078470,SAMN,True,True,first_column,False
SAMN25078471,SAMN,True,True,first_column,False
SAMN25078472,SAMN,True,True,first_column,False
SAMN25078473,SAMN,True,True,first_column,False
SAMN25078474,SAMN,True,True,first_column,False
SAMN25078475,SAMN,True,True,first_column,False
SAMN25078476,SAMN,True,True,first_column,False
SAMN25078477,SAMN,True,True,first_column,False
SAMN25078478,SAMN,True,True,first_column,False
SAMN25078479,SAMN,True,True,first_column,False
SAMN25078480,SAMN,True,True,first_column,False
SAMN25078481,SAMN,True,True,first_column,False
SAMN25078482,SAMN,True,True,first_column,False
SAMN25078483,SAMN,True,True,first_column,False
SAMN25078484,SAMN,True,True,first_column,False
SAMN25078485,SAMN,True,True,first_column,False
SAMN25078486,SAMN,True,True,first_column,False
SAMN25078487,SAMN,True,True,first_column,False
SAMN25078488,SAMN,True,True,first_column,False
SAMN25078489,SAMN,True,True,first_column,False
SAMN25078490,SAMN,True,True,first_column,False
SAMN25078491,SAMN,True,True,first_column,False
SAMN25078492,SAMN,True,True,first_column,False
SAMN25078493,SAMN,True,True,first_column,False
SAMN25078494,SAMN,True,True,first_column,False
SAMN25078495,SAMN,True,True,first_column,False
SAMN25078496,SAMN,True,True,first_column,False
SAMN25078497,SAMN,True,True,first_column,False
SAMN25078498,SAMN,True,True,first_column,False
SAMN25078499,SAMN,True,True,first_column,False
SAMN25078500,SAMN,True,True,first_column,False
SAMN25078501,SAMN,True,True,first_column,False
SAMN39328740,SAMN,True,True,first_column,False
SAMN39328741,SAMN,True,True,first_column,False
SAMN39328742,SAMN,True,True,first_column,False
SAMN39328743,SAMN,True,True,first_column,False
SAMN39328744,SAMN,True,True,first_column,False
SAMN39328745,SAMN,True,True,first_column,False
SAMN39328746,SAMN,True,True,first_column,False
SAMN39328747,SAMN,True,True,first_column,False
SAMN39328748,SAMN,True,True,first_column,False
SAMN39328749,SAMN,True,True,first_column,False
SAMN39328750,SAMN,True,True,first_column,False
SAMN39328751,SAMN,True,True,first_column,False
SAMN39328752,SAMN,True,True,first_column,False
SAMN39328753,SAMN,True,True,first_column,False
SAMN39328754,SAMN,True,True,first_column,False
SAMN39328755,SAMN,True,True,first_column,False
SAMN39328756,SAMN,True,True,first_column,False
SAMN39328757,SAMN,True,True,first_column,False
SAMN39328758,SAMN,True,True,first_column,False
SAMN39328759,SAMN,True,True,first_column,False
SAMN39328760,SAMN,True,True,first_column,False
SAMN39328761,SAMN,True,True,first_column,False
SAMN39328762,SAMN,True,True,first_column,False
SAMN39328763,SAMN,True,True,first_column,False
SAMN39328764,SAMN,True,True,first_column,False
SAMN39328765,SAMN,True,True,first_column,False
SAMN39328766,SAMN,True,True,first_column,False
SAMN39328767,SAMN,True,True,first_column,False
SAMN39328768,SAMN,True,True,first_column,False
SAMN39328769,SAMN,True,True,first_column,False
SAMN39328770,SAMN,True,True,first_column,False
SAMN39328771,SAMN,True,True,first_column,False
SAMN39328772,SAMN,True,True,first_column,False
SAMN39328773,SAMN,True,True,first_column,False
SAMN39328774,SAMN,True,True,first_column,False
SAMN39328775,SAMN,True,True,first_column,False
SAMN39328776,SAMN,True,True,first_column,False
SAMN39328777,SAMN,True,True,first_column,False
SAMN39328778,SAMN,True,True,first_column,False
SAMN39328779,SAMN,True,True,first_column,False
SAMN39328780,SAMN,True,True,first_column,False
SAMN39328781,SAMN,True,True,first_column,False
SAMN39328782,SAMN,True,True,first_column,False
SAMN39328783,SAMN,True,True,first_column,False
SAMN39328784,SAMN,True,True,first_column,False
SAMN39328785,SAMN,True,True,first_column,False
SAMN39328786,SAMN,True,True,first_column,False
SAMN39328787,SAMN,True,True,first_column,False
SAMN39328788,SAMN,True,True,first_column,False
SAMN39328789,SAMN,True,True,first_column,False
SAMN39328790,SAMN,True,True,first_column,False
SAMN39328791,SAMN,True,True,first_column,False
SAMN39328792,SAMN,True,True,first_column,False
SAMN39328793,SAMN,True,True,first_column,False
SAMN39328794,SAMN,True,True,first_column,False
SAMN39328795,SAMN,True,True,first_column,False
SAMN39328796,SAMN,True,True,first_column,False
SAMN39328797,SAMN,True,True,first_column,False
SAMN39328798,SAMN,True,True,first_column,False
SAMN39328799,SAMN,True,True,first_column,False
SAMN39328800,SAMN,True,True,first_column,False
SAMN39328801,SAMN,True,True,first_column,False
SAMN39328802,SAMN,True,True,first_column,False
SAMN39328803,SAMN,True,True,first_column,False
SAMN39328804,SAMN,True,True,first_column,False
SAMN39328805,SAMN,True,True,first_column,False
SAMN39328806,SAMN,True,True,first_column,False
SAMN39328807,SAMN,True,True,first_column,False
SAMN39328808,SAMN,True,True,first_column,False
SAMN39328809,SAMN,True,True,first_column,False
SAMN39328810,SAMN,True,True,first_column,False
SAMN39328811,SAMN,True,True,first_column,False
SAMN39328812,SAMN,True,True,first_column,False
SAMN39328813,SAMN,True,True,first_column,False
SAMN39328814,SAMN,True,True,first_column,False
SAMN39328815,SAMN,True,True,first_column,False
SAMN39328816,SAMN,True,True,first_column,False
SAMN39328817,SAMN,True,True,first_column,False
SAMN39328818,SAMN,True,True,first_column,False
SAMN39328819,SAMN,True,True,first_column,False
SAMN39328820,SAMN,True,True,first_column,False
SAMN39328821,SAMN,True,True,first_column,False
SAMN39328822,SAMN,True,True,first_column,False
SAMN39328823,SAMN,True,True,first_column,False
SAMN39328824,SAMN,True,True,first_column,False
SAMN39328825,SAMN,True,True,first_column,False
SAMN39328826,SAMN,True,True,first_column,False
SAMN39328827,SAMN,True,True,first_column,False
SAMN39328828,SAMN,True,True,first_column,False
SAMN39328829,SAMN,True,True,first_column,False
SAMN39328830,SAMN,True,True,first_column,False
SAMN39328831,SAMN,True,True,first_column,False
SAMN39328832,SAMN,True,True,first_column,False
SAMN39328833,SAMN,True,True,first_column,False
SAMN39328834,SAMN,True,True,first_column,False
SAMN39328835,SAMN,True,True,first_column,False
SAMN39328836,SAMN,True,True,first_column,False
SAMN39328837,SAMN,True,True,first_column,False
SAMN39328838,SAMN,True,True,first_column,False
SAMN39328839,SAMN,True,True,first_column,False
SAMN39328840,SAMN,True,True,first_column,False
SAMN39328841,SAMN,True,True,first_column,False
SAMN39328842,SAMN,True,True,first_column,False
SAMN39328843,SAMN,True,True,first_column,False
SAMN39328844,SAMN,True,True,first_column,False
SAMN39328845,SAMN,True,True,first_column,False
SAMN39328846,SAMN,True,True,first_column,False
SAMN39328847,SAMN,True,True,first_column,False
SAMN39328848,SAMN,True,True,first_column,False
SAMN39328849,SAMN,True,True,first_column,False
SAMN39328850,SAMN,True,True,first_column,False
SAMN39328851,SAMN,True,True,first_column,False
SAMN39328852,SAMN,True,True,first_column,False
SAMN39328853,SAMN,True,True,first_column,False
SAMN39328854,SAMN,True,True,first_column,False
SAMN39328855,SAMN,True,True,first_column,False
SAMN39328856,SAMN,True,True,first_column,False
SAMN39328857,SAMN,True,True,first_column,False
SAMN39328858,SAMN,True,True,first_column,False
SAMN39328859,SAMN,True,True,first_column,False
SAMN39328860,SAMN,True,True,first_column,False
SAMN39328861,SAMN,True,True,first_column,False
SAMN39328862,SAMN,True,True,first_column,False
SAMN39328863,SAMN,True,True,first_column,False
SAMN39328864,SAMN,True,True,first_column,False
SAMN39328865,SAMN,True,True,first_column,False
SAMN39328866,SAMN,True,True,first_column,False
SAMN39328867,SAMN,True,True,first_column,False
SAMN39328868,SAMN,True,True,first_column,False
SAMN39328869,SAMN,True,True,first_column,False
SAMN39328870,SAMN,True,True,first_column,False
SAMN39328871,SAMN,True,True,first_column,False
SAMN39328872,SAMN,True,True,first_column,False
SAMN39328873,SAMN,True,True,first_column,False
SAMN39328874,SAMN,True,True,first_column,False
SAMN39328875,SAMN,True,True,first_column,False
SAMN39328876,SAMN,True,True,first_column,False
SRR17658172,SRR,True,False,none,True
SRR17658173,SRR,True,False,none,True
SRR17658174,SRR,True,False,none,True
SRR17658175,SRR,True,False,none,True
SRR17658176,SRR,True,False,none,True
SRR17658177,SRR,True,False,none,True
SRR17658178,SRR,True,False,none,True
SRR17658179,SRR,True,False,none,True
SRR17658180,SRR,True,False,none,True
SRR17658181,SRR,True,False,none,True
SRR17658182,SRR,True,False,none,True
SRR17658183,SRR,True,False,none,True
SRR17658184,SRR,True,False,none,True
SRR17658185,SRR,True,False,none,True
SRR17658186,SRR,True,False,none,True
SRR17658187,SRR,True,False,none,True
SRR17658188,SRR,True,False,none,True
SRR17658189,SRR,True,False,none,True
SRR17658190,SRR,True,False,none,True
SRR17658191,SRR,True,False,none,True
SRR17658192,SRR,True,False,none,True
SRR17658193,SRR,True,False,none,True
SRR17658194,SRR,True,False,none,True
SRR17658195,SRR,True,False,none,True
SRR17658196,SRR,True,False,none,True
SRR17658197,SRR,True,False,none,True
SRR17658198,SRR,True,False,none,True
SRR17658199,SRR,True,False,none,True
SRR17658200,SRR,True,False,none,True
SRR17658201,SRR,True,False,none,True
SRR17658202,SRR,True,False,none,True
SRR17658203,SRR,True,False,none,True
SRR17658204,SRR,True,False,none,True
SRR17658205,SRR,True,False,none,True
SRR17658206,SRR,True,False,none,True
SRR17658207,SRR,True,False,none,True
SRR17658208,SRR,True,False,none,True
SRR17658209,SRR,True,False,none,True
SRR17658210,SRR,True,False,none,True
SRR17658211,SRR,True,False,none,True
SRR17658212,SRR,True,False,none,True
