sample_id,in_bam_dir,in_sample_list,mismatch
SAMEA2804155,True,True,False
SAMEA2804156,True,True,False
SAMEA2804157,True,True,False
SAMEA2804158,True,True,False
SAMEA2804159,True,True,False
SAMEA2804160,True,True,False
SAMEA2804161,True,True,False
SAMEA2804162,True,True,False
SAMEA2804163,True,True,False
SAMEA2804164,True,True,False
SAMEA2804165,True,True,False
SAMEA2804166,True,True,False
SAMEA2804167,True,True,False
SAMEA2804168,True,True,False
SAMEA2804169,True,True,False
SAMEA2804170,True,True,False
SAMEA2804171,True,True,False
SAMEA2804172,True,True,False
SAMEA2804173,True,True,False
SAMN15814028,True,True,False
SAMN15814039,True,True,False
SAMN15814040,True,True,False
SAMN15814041,True,True,False
SAMN15814042,True,True,False
SAMN15814043,True,True,False
SAMN15814044,True,True,False
SAMN15814045,True,True,False
SAMN15814046,True,True,False
SAMN15814047,True,True,False
SAMN32680828,True,True,False
SAMN32680829,True,True,False
SAMN32680830,True,True,False
SAMN32680831,True,True,False
SAMN32680832,True,True,False
SAMN32680833,True,True,False
SAMN32680834,True,True,False
SAMN32680835,True,True,False
SAMN32680836,True,True,False
SAMN32680837,True,True,False
SAMN32680838,True,True,False
SAMN32680839,True,True,False
SAMN32680840,True,True,False
SAMN32680841,True,True,False
SAMN32680842,True,True,False
SAMN32680843,True,True,False
SAMN32680844,True,True,False
SAMN32680845,True,True,False
SAMN32680846,True,True,False
SAMN32680847,True,True,False
SAMN32680848,True,True,False
SAMN32680849,True,True,False
SAMN32680850,True,True,False
SAMN32680851,True,True,False
SAMN32680852,True,True,False
SAMN32680853,True,True,False
SAMN32680854,True,True,False
SAMN32680855,True,True,False
SAMN32680856,True,True,False
SAMN32680857,True,True,False
SAMN32680858,True,True,False
SAMN32680859,True,True,False
SAMN32680860,True,True,False
SAMN32680861,True,True,False
SAMN32680862,True,True,False
SAMN32680863,True,True,False
SAMN32680864,True,True,False
SAMN32680865,True,True,False
SAMN32680866,True,True,False
SAMN32680867,True,True,False
SAMN32680868,True,True,False
SAMN32680869,True,True,False
SAMN32680870,True,True,False
SAMN32680871,True,True,False
SAMN32680872,True,True,False
SAMN32680873,True,True,False
SAMN32680874,True,True,False
SAMN32680875,True,True,False
SAMN32680876,True,True,False
SAMN32680877,True,True,False
SAMN32680878,True,True,False
SAMN32680879,True,True,False
SAMN32680880,True,True,False
SAMN32680881,True,True,False
SAMN32680882,True,True,False
SAMN32680883,True,True,False
SAMN32680884,True,True,False
SAMN32680885,True,True,False
SAMN32680886,True,True,False
SAMN32680887,True,True,False
SAMN32680888,True,True,False
SAMN32680889,True,True,False
SAMN32680890,True,True,False
SAMN32680891,True,True,False
SAMN32680892,True,True,False
SAMN32680893,True,True,False
SAMN32680894,True,True,False
SAMN32680895,True,True,False
SAMN32680896,True,True,False
SAMN39969501,True,True,False
SAMN39969502,True,True,False
SAMN39969503,True,True,False
SAMN39969504,True,True,False
SAMN39969505,True,True,False
