srr_id,in_sample_list,in_any_reference
ERR649018,1,0
ERR649021,1,0
ERR649023,1,0
ERR649028,1,0
ERR649031,1,0
ERR649033,1,0
ERR649037,1,0
ERR649039,1,0
ERR649041,1,0
ERR649047,1,0
ERR649050,1,0
ERR649055,1,0
ERR649057,1,0
ERR649060,1,0
ERR649063,1,0
ERR649064,1,0
ERR649067,1,0
ERR649070,1,0
ERR649073,1,0
SRR12450077,1,0
SRR12450078,1,0
SRR12450079,1,0
SRR12450080,1,0
SRR12450081,1,0
SRR12450082,1,0
SRR12450083,1,0
SRR12450084,1,0
SRR12450085,1,0
SRR12450086,1,0
SRR23053103,1,0
SRR23053104,1,0
SRR23053105,1,0
SRR23053106,1,0
SRR23053107,1,0
SRR23053108,1,0
SRR23053109,1,0
SRR23053110,1,0
SRR23053111,1,0
SRR23053112,1,0
SRR23053113,1,0
SRR23053114,1,0
SRR23053115,1,0
SRR23053116,1,0
SRR23053117,1,0
SRR23053118,1,0
SRR23053119,1,0
SRR23053120,1,0
SRR23053121,1,0
SRR23053122,1,0
SRR23053123,1,0
SRR23053142,1,0
SRR23053143,1,0
SRR23053144,1,0
SRR23053145,1,0
SRR23053146,1,0
SRR23053147,1,0
SRR23053148,1,0
SRR23053149,1,0
SRR23053150,1,0
SRR23053151,1,0
SRR23053152,1,0
SRR23053153,1,0
SRR23053154,1,0
SRR23053155,1,0
SRR23053156,1,0
SRR23053157,1,0
SRR23053158,1,0
SRR23053159,1,0
SRR23053160,1,0
SRR23053161,1,0
SRR23053162,1,0
SRR23053163,1,0
SRR23053164,1,0
SRR23053165,1,0
SRR23053166,1,0
SRR23053167,1,0
SRR23053168,1,0
SRR23053169,1,0
SRR23053170,1,0
SRR23053171,1,0
SRR23053172,1,0
SRR23053173,1,0
SRR23053174,1,0
SRR23053175,1,0
SRR23053176,1,0
SRR23053177,1,0
SRR23053178,1,0
SRR23053179,1,0
SRR23053180,1,0
SRR23053181,1,0
SRR23053182,1,0
SRR23053183,1,0
SRR23053184,1,0
SRR23053185,1,0
SRR23053186,1,0
SRR23053187,1,0
SRR23053188,1,0
SRR23053189,1,0
SRR27993252,1,0
SRR27993253,1,0
SRR27993254,1,0
SRR27993255,1,0
SRR27993256,1,0
