id,id_type,in_logs,in_sample_list,location,mismatch
ERR649018,ERR,True,False,none,True
ERR649021,ERR,True,False,none,True
ERR649023,ERR,True,False,none,True
ERR649028,ERR,True,False,none,True
ERR649031,ERR,True,False,none,True
ERR649033,ERR,True,False,none,True
ERR649037,ERR,True,False,none,True
ERR649039,ERR,True,False,none,True
ERR649041,ERR,True,False,none,True
ERR649047,ERR,True,False,none,True
ERR649050,ERR,True,False,none,True
ERR649055,ERR,True,False,none,True
ERR649057,ERR,True,False,none,True
ERR649060,ERR,True,False,none,True
ERR649063,ERR,True,False,none,True
ERR649064,ERR,True,False,none,True
ERR649067,ERR,True,False,none,True
ERR649070,ERR,True,False,none,True
ERR649073,ERR,True,False,none,True
SAMEA2804155,SAMEA,True,True,first_column,False
SAMEA2804156,SAMEA,True,True,first_column,False
SAMEA2804157,SAMEA,True,True,first_column,False
SAMEA2804158,SAMEA,True,True,first_column,False
SAMEA2804159,SAMEA,True,True,first_column,False
SAMEA2804160,SAMEA,True,True,first_column,False
SAMEA2804161,SAMEA,True,True,first_column,False
SAMEA2804162,SAMEA,True,True,first_column,False
SAMEA2804163,SAMEA,True,True,first_column,False
SAMEA2804164,SAMEA,True,True,first_column,False
SAMEA2804165,SAMEA,True,True,first_column,False
SAMEA2804166,SAMEA,True,True,first_column,False
SAMEA2804167,SAMEA,True,True,first_column,False
SAMEA2804168,SAMEA,True,True,first_column,False
SAMEA2804169,SAMEA,True,True,first_column,False
SAMEA2804170,SAMEA,True,True,first_column,False
SAMEA2804171,SAMEA,True,True,first_column,False
SAMEA2804172,SAMEA,True,True,first_column,False
SAMEA2804173,SAMEA,True,True,first_column,False
SAMN15814028,SAMN,True,True,first_column,False
SAMN15814039,SAMN,True,True,first_column,False
SAMN15814040,SAMN,True,True,first_column,False
SAMN15814041,SAMN,True,True,first_column,False
SAMN15814042,SAMN,True,True,first_column,False
SAMN15814043,SAMN,True,True,first_column,False
SAMN15814044,SAMN,True,True,first_column,False
SAMN15814045,SAMN,True,True,first_column,False
SAMN15814046,SAMN,True,True,first_column,False
SAMN15814047,SAMN,True,True,first_column,False
SAMN32680828,SAMN,True,True,first_column,False
SAMN32680829,SAMN,True,True,first_column,False
SAMN32680830,SAMN,True,True,first_column,False
SAMN32680831,SAMN,True,True,first_column,False
SAMN32680832,SAMN,True,True,first_column,False
SAMN32680833,SAMN,True,True,first_column,False
SAMN32680834,SAMN,True,True,first_column,False
SAMN32680835,SAMN,True,True,first_column,False
SAMN32680836,SAMN,True,True,first_column,False
SAMN32680837,SAMN,True,True,first_column,False
SAMN32680838,SAMN,True,True,first_column,False
