SAMEA2804155	ERR649018_1.fastq.gz	ERR649018_2.fastq.gz
SAMEA2804157	ERR649021_1.fastq.gz	ERR649021_2.fastq.gz
SAMEA2804158	ERR649023_1.fastq.gz	ERR649023_2.fastq.gz
SAMEA2804159	ERR649028_1.fastq.gz	ERR649028_2.fastq.gz
SAMEA2804160	ERR649031_1.fastq.gz	ERR649031_2.fastq.gz
SAMEA2804165	ERR649033_1.fastq.gz	ERR649033_2.fastq.gz
SAMEA2804168	ERR649037_1.fastq.gz	ERR649037_2.fastq.gz
SAMEA2804161	ERR649039_1.fastq.gz	ERR649039_2.fastq.gz
SAMEA2804164	ERR649041_1.fastq.gz	ERR649041_2.fastq.gz
SAMEA2804162	ERR649047_1.fastq.gz	ERR649047_2.fastq.gz
SAMEA2804163	ERR649050_1.fastq.gz	ERR649050_2.fastq.gz
SAMEA2804166	ERR649055_1.fastq.gz	ERR649055_2.fastq.gz
SAMEA2804169	ERR649057_1.fastq.gz	ERR649057_2.fastq.gz
SAMEA2804170	ERR649060_1.fastq.gz	ERR649060_2.fastq.gz
SAMEA2804156	ERR649063_1.fastq.gz	ERR649063_2.fastq.gz
SAMEA2804171	ERR649064_1.fastq.gz	ERR649064_2.fastq.gz
SAMEA2804167	ERR649067_1.fastq.gz	ERR649067_2.fastq.gz
SAMEA2804172	ERR649070_1.fastq.gz	ERR649070_2.fastq.gz
SAMEA2804173	ERR649073_1.fastq.gz	ERR649073_2.fastq.gz
SAMN39969501	SRR27993252_1.fastq.gz	SRR27993252_2.fastq.gz
SAMN39969502	SRR27993253_1.fastq.gz	SRR27993253_2.fastq.gz
SAMN39969503	SRR27993254_1.fastq.gz	SRR27993254_2.fastq.gz
SAMN39969504	SRR27993255_1.fastq.gz	SRR27993255_2.fastq.gz
SAMN39969505	SRR27993256_1.fastq.gz	SRR27993256_2.fastq.gz
SAMN15814028	SRR12450077_1.fastq.gz	SRR12450077_2.fastq.gz
SAMN15814047	SRR12450078_1.fastq.gz	SRR12450078_2.fastq.gz
SAMN15814046	SRR12450079_1.fastq.gz	SRR12450079_2.fastq.gz
SAMN15814045	SRR12450080_1.fastq.gz	SRR12450080_2.fastq.gz
SAMN15814044	SRR12450081_1.fastq.gz	SRR12450081_2.fastq.gz
SAMN15814043	SRR12450082_1.fastq.gz	SRR12450082_2.fastq.gz
SAMN15814042	SRR12450083_1.fastq.gz	SRR12450083_2.fastq.gz
SAMN15814041	SRR12450084_1.fastq.gz	SRR12450084_2.fastq.gz
SAMN15814040	SRR12450085_1.fastq.gz	SRR12450085_2.fastq.gz
SAMN15814039	SRR12450086_1.fastq.gz	SRR12450086_2.fastq.gz
SAMN32680828	SRR23053103_1.fastq.gz	SRR23053103_2.fastq.gz
SAMN32680829	SRR23053104_1.fastq.gz	SRR23053104_2.fastq.gz
SAMN32680830	SRR23053105_1.fastq.gz	SRR23053105_2.fastq.gz
SAMN32680835	SRR23053110_1.fastq.gz	SRR23053110_2.fastq.gz
SAMN32680836	SRR23053111_1.fastq.gz	SRR23053111_2.fastq.gz
