id,id_type,in_logs,in_sample_list,location,mismatch
ERR649018,ERR,True,False,none,True
ERR649021,ERR,True,False,none,True
ERR649023,ERR,True,False,none,True
ERR649028,ERR,True,False,none,True
ERR649031,ERR,True,False,none,True
ERR649033,ERR,True,False,none,True
ERR649037,ERR,True,False,none,True
ERR649039,ERR,True,False,none,True
ERR649041,ERR,True,False,none,True
ERR649047,ERR,True,False,none,True
ERR649050,ERR,True,False,none,True
ERR649055,ERR,True,False,none,True
ERR649057,ERR,True,False,none,True
ERR649060,ERR,True,False,none,True
ERR649063,ERR,True,False,none,True
ERR649064,ERR,True,False,none,True
ERR649067,ERR,True,False,none,True
ERR649070,ERR,True,False,none,True
ERR649073,ERR,True,False,none,True
SRR12450077,SRR,True,False,none,True
SRR12450078,SRR,True,False,none,True
SRR12450079,SRR,True,False,none,True
SRR12450080,SRR,True,False,none,True
SRR12450081,SRR,True,False,none,True
SRR12450082,SRR,True,False,none,True
SRR12450083,SRR,True,False,none,True
SRR12450084,SRR,True,False,none,True
SRR12450085,SRR,True,False,none,True
SRR12450086,SRR,True,False,none,True
SRR23053103,SRR,True,False,none,True
SRR23053104,SRR,True,False,none,True
SRR23053105,SRR,True,False,none,True
SRR23053106,SRR,True,False,none,True
SRR23053107,SRR,True,False,none,True
SRR23053108,SRR,True,False,none,True
SRR23053109,SRR,True,False,none,True
SRR23053110,SRR,True,False,none,True
SRR23053111,SRR,True,False,none,True
SRR23053112,SRR,True,False,none,True
SRR23053113,SRR,True,False,none,True
SRR23053114,SRR,True,False,none,True
SRR23053115,SRR,True,False,none,True
SRR23053116,SRR,True,False,none,True
SRR23053117,SRR,True,False,none,True
SRR23053118,SRR,True,False,none,True
SRR23053119,SRR,True,False,none,True
SRR23053120,SRR,True,False,none,True
SRR23053121,SRR,True,False,none,True
SRR23053122,SRR,True,False,none,True
SRR23053123,SRR,True,False,none,True
SRR23053142,SRR,True,False,none,True
SRR23053143,SRR,True,False,none,True
SRR23053144,SRR,True,False,none,True
SRR23053145,SRR,True,False,none,True
SRR23053146,SRR,True,False,none,True
SRR23053147,SRR,True,False,none,True
SRR23053148,SRR,True,False,none,True
SRR23053149,SRR,True,False,none,True
SRR23053150,SRR,True,False,none,True
SRR23053151,SRR,True,False,none,True
SRR23053152,SRR,True,False,none,True
SRR23053153,SRR,True,False,none,True
SRR23053154,SRR,True,False,none,True
SRR23053155,SRR,True,False,none,True
SRR23053156,SRR,True,False,none,True
SRR23053157,SRR,True,False,none,True
SRR23053158,SRR,True,False,none,True
SRR23053159,SRR,True,False,none,True
SRR23053160,SRR,True,False,none,True
SRR23053161,SRR,True,False,none,True
SRR23053162,SRR,True,False,none,True
SRR23053163,SRR,True,False,none,True
SRR23053164,SRR,True,False,none,True
SRR23053165,SRR,True,False,none,True
SRR23053166,SRR,True,False,none,True
SRR23053167,SRR,True,False,none,True
SRR23053168,SRR,True,False,none,True
SRR23053169,SRR,True,False,none,True
SRR23053170,SRR,True,False,none,True
SRR23053171,SRR,True,False,none,True
SRR23053172,SRR,True,False,none,True
SRR23053174,SRR,True,False,none,True
SRR23053175,SRR,True,False,none,True
SRR23053176,SRR,True,False,none,True
SRR23053177,SRR,True,False,none,True
SRR23053178,SRR,True,False,none,True
SRR23053179,SRR,True,False,none,True
SRR23053180,SRR,True,False,none,True
SRR23053181,SRR,True,False,none,True
SRR23053182,SRR,True,False,none,True
SRR23053183,SRR,True,False,none,True
SRR23053184,SRR,True,False,none,True
SRR23053185,SRR,True,False,none,True
SRR23053186,SRR,True,False,none,True
SRR23053187,SRR,True,False,none,True
SRR23053188,SRR,True,False,none,True
SRR23053189,SRR,True,False,none,True
SRR27993253,SRR,True,False,none,True
SRR27993254,SRR,True,False,none,True
SRR27993255,SRR,True,False,none,True
