Run	SRA_Experiment	BioSample	geo_accession	title	sample_id	tissue	who_grade	recurrence_status	top_label	origin	sample_type
SRX23064773	SRX23064773	SAMN39203570	GSM7998813	MNG170		brain			Tumor	brain and CNS	meningioma
SRX23064774	SRX23064774	SAMN39203569	GSM7998814	MNG171		brain			Tumor	brain and CNS	meningioma
SRX23064775	SRX23064775	SAMN39203568	GSM7998815	MNG172		brain			Tumor	brain and CNS	meningioma
SRX23064776	SRX23064776	SAMN39203567	GSM7998816	MNG173		brain			Tumor	brain and CNS	meningioma
SRX23064777	SRX23064777	SAMN39203566	GSM7998817	MNG174		brain			Tumor	brain and CNS	meningioma
SRX23064778	SRX23064778	SAMN39203565	GSM7998818	MNG175		brain			Tumor	brain and CNS	meningioma
SRX23064779	SRX23064779	SAMN39203564	GSM7998819	MNG176		brain			Tumor	brain and CNS	meningioma
SRX23064780	SRX23064780	SAMN39203563	GSM7998820	MNG177		brain			Tumor	brain and CNS	meningioma
SRX23064781	SRX23064781	SAMN39203562	GSM7998821	MNG178		brain			Tumor	brain and CNS	meningioma
SRX23064782	SRX23064782	SAMN39203561	GSM7998822	MNG179		brain			Tumor	brain and CNS	meningioma
SRX23064783	SRX23064783	SAMN39203560	GSM7998823	MNG180		brain			Tumor	brain and CNS	meningioma
SRX23064784	SRX23064784	SAMN39203559	GSM7998824	MNG181		brain			Tumor	brain and CNS	meningioma
SRX23064785	SRX23064785	SAMN39203558	GSM7998825	MNG182		brain			Tumor	brain and CNS	meningioma
SRX23064786	SRX23064786	SAMN39203557	GSM7998826	MNG183		brain			Tumor	brain and CNS	meningioma
SRX23064787	SRX23064787	SAMN39203556	GSM7998827	MNG184		brain			Tumor	brain and CNS	meningioma
SRX23064788	SRX23064788	SAMN39203555	GSM7998828	MNG185		brain			Tumor	brain and CNS	meningioma
SRX23064789	SRX23064789	SAMN39203554	GSM7998829	MNG186		brain			Tumor	brain and CNS	meningioma
SRX23064790	SRX23064790	SAMN39203553	GSM7998830	MNG187		brain			Tumor	brain and CNS	meningioma
SRX23064855	SRX23064855	SAMN39203552	GSM7998831	MNG188		brain			Tumor	brain and CNS	meningioma
SRX23064856	SRX23064856	SAMN39203551	GSM7998832	MNG189		brain			Tumor	brain and CNS	meningioma
SRX23064857	SRX23064857	SAMN39203550	GSM7998833	MNG190		brain			Tumor	brain and CNS	meningioma
SRX23064858	SRX23064858	SAMN39203549	GSM7998834	MNG191		brain			Tumor	brain and CNS	meningioma
SRX23064859	SRX23064859	SAMN39203548	GSM7998835	MNG192		brain			Tumor	brain and CNS	meningioma
SRX23064860	SRX23064860	SAMN39203547	GSM7998836	MNG193		brain			Tumor	brain and CNS	meningioma
SRX23064861	SRX23064861	SAMN39203546	GSM7998837	MNG194		brain			Tumor	brain and CNS	meningioma
SRX23064862	SRX23064862	SAMN39203545	GSM7998838	MNG195		brain			Tumor	brain and CNS	meningioma
SRX23064863	SRX23064863	SAMN39203544	GSM7998839	MNG196		brain			Tumor	brain and CNS	meningioma
SRX23064864	SRX23064864	SAMN39203543	GSM7998840	MNG197		brain			Tumor	brain and CNS	meningioma
SRX23064865	SRX23064865	SAMN39203542	GSM7998841	MNG198		brain			Tumor	brain and CNS	meningioma
SRX23064866	SRX23064866	SAMN39203541	GSM7998842	MNG199		brain			Tumor	brain and CNS	meningioma
SRX23064867	SRX23064867	SAMN39203540	GSM7998843	MNG200		brain			Tumor	brain and CNS	meningioma
SRX23064868	SRX23064868	SAMN39203539	GSM7998844	MNG201		brain			Tumor	brain and CNS	meningioma
SRX23064869	SRX23064869	SAMN39203538	GSM7998845	MNG202		brain			Tumor	brain and CNS	meningioma
SRX23064870	SRX23064870	SAMN39203537	GSM7998846	MNG203		brain			Tumor	brain and CNS	meningioma
SRX23064919	SRX23064919	SAMN39203536	GSM7998847	MNG204		brain			Tumor	brain and CNS	meningioma
SRX23064920	SRX23064920	SAMN39203535	GSM7998848	MNG205		brain			Tumor	brain and CNS	meningioma
SRX23064921	SRX23064921	SAMN39203534	GSM7998849	MNG206		brain			Tumor	brain and CNS	meningioma
SRX23064922	SRX23064922	SAMN39203533	GSM7998850	MNG207		brain			Tumor	brain and CNS	meningioma
SRX23064923	SRX23064923	SAMN39203532	GSM7998851	MNG208		brain			Tumor	brain and CNS	meningioma
SRX23064924	SRX23064924	SAMN39203531	GSM7998852	MNG209		brain			Tumor	brain and CNS	meningioma
SRX23064925	SRX23064925	SAMN39203530	GSM7998853	MNG210		brain			Tumor	brain and CNS	meningioma
SRX23064926	SRX23064926	SAMN39203529	GSM7998854	MNG211		brain			Tumor	brain and CNS	meningioma
SRX23064927	SRX23064927	SAMN39203528	GSM7998855	MNG212		brain			Tumor	brain and CNS	meningioma
