Run	SRA_Experiment	BioSample	geo_accession	title	sample_id	tissue	who_grade	recurrence_status	top_label	origin	sample_type
SRR791074	SRX254220	SAMN01985696		OP-535_mRNA	GSM1104018	breast			Tumor	breast	HR+HER2+Breast
SRR791073	SRX254219	SAMN01985695		DHF168_mRNA	GSM1104017	breast			Tumor	breast	HR+HER2+Breast
SRR791072	SRX254218	SAMN01985694		BSO37_mRNA	GSM1104016	breast			Tumor	breast	HR+HER2+Breast
SRR791071	SRX254217	SAMN01985693		BSO36_mRNA	GSM1104015	breast			Tumor	breast	HR+HER2+Breast
SRR791070	SRX254216	SAMN01985692		BSO32N_mRNA	GSM1104014	breast			Tumor	breast	HR+HER2+Breast
SRR791069	SRX254215	SAMN01985691		BSO30_mRNA	GSM1104013	breast			Tumor	breast	HR+HER2+Breast
SRR791068	SRX254214	SAMN01985690		BSO29_mRNA	GSM1104012	breast			Tumor	breast	HR+HER2+Breast
SRR791067	SRX254213	SAMN01985689		BSO28_mRNA	GSM1104011	breast			Tumor	breast	HR+HER2+Breast
SRR791066	SRX254212	SAMN01985688		BSO19B_mRNA	GSM1104010	breast			Tumor	breast	HR+HER2+Breast
SRR791065	SRX254211	SAMN01985687		BRS-73_mRNA	GSM1104009	breast			Tumor	breast	HR+HER2+Breast
SRR791064	SRX254210	SAMN01985686		BRS-129_mRNA	GSM1104008	breast			Tumor	breast	HR+HER2+Breast
SRR791063	SRX254209	SAMN01985685		BRS-124_mRNA	GSM1104007	breast			Tumor	breast	HR+HER2+Breast
SRR791062	SRX254208	SAMN01985684		BCT40_mRNA	GSM1104006	breast			Tumor	breast	HR+HER2+Breast
SRR791061	SRX254207	SAMN01985683		BCT39_mRNA	GSM1104005	breast			Tumor	breast	HR+HER2+Breast
SRR791060	SRX254206	SAMN01985682		BCT38_mRNA	GSM1104004	breast			Tumor	breast	HR+HER2+Breast
SRR791059	SRX254205	SAMN01985681		BCT37_mRNA	GSM1104003	breast			Tumor	breast	HR+HER2+Breast
SRR791058	SRX254204	SAMN01985680		BCT36_mRNA	GSM1104002	breast			Tumor	breast	HR+HER2+Breast
SRR791057	SRX254203	SAMN01985679		BCT35_mRNA	GSM1104001	breast			Tumor	breast	HR+HER2+Breast
SRR791056	SRX254202	SAMN01985678		BCT34_mRNA	GSM1104000	breast			Tumor	breast	HR+HER2+Breast
SRR791055	SRX254201	SAMN01985677		BCT33_mRNA	GSM1103999	breast			Tumor	breast	HR+HER2+Breast
SRR791054	SRX254200	SAMN01985676		BCT32_mRNA	GSM1103998	breast			Tumor	breast	HR+HER2+Breast
SRR791053	SRX254199	SAMN01985675		BCT31_mRNA	GSM1103997	breast			Tumor	breast	HR+HER2+Breast
SRR791052	SRX254198	SAMN01985674		BCT30_mRNA	GSM1103996	breast			Tumor	breast	HR+HER2+Breast
SRR791051	SRX254197	SAMN01985673		BCT29_mRNA	GSM1103995	breast			Tumor	breast	HR+HER2+Breast
SRR791050	SRX254196	SAMN01985672		BCT28_mRNA	GSM1103994	breast			Tumor	breast	HR+HER2+Breast
SRR791049	SRX254195	SAMN01985671		BCT26_mRNA	GSM1103993	breast			Tumor	breast	HR+HER2+Breast
SRR791048	SRX254194	SAMN01985670		BCT24_mRNA	GSM1103992	breast			Tumor	breast	HR+HER2+Breast
SRR791047	SRX254193	SAMN01985669		BCT22_mRNA	GSM1103991	breast			Tumor	breast	HR+HER2+Breast
SRR791046	SRX254192	SAMN01985668		BCT16_mRNA	GSM1103990	breast			Tumor	breast	HR+HER2+Breast
SRR791045	SRX254191	SAMN01985667		BCT14_mRNA	GSM1103989	breast			Tumor	breast	HR+HER2+Breast
SRR791044	SRX254190	SAMN01985666		BCT12_mRNA	GSM1103988	breast			Tumor	breast	HR+HER2+Breast
SRR791043	SRX254189	SAMN01985665		BCT04_mRNA	GSM1103987	breast			Tumor	breast	HR+HER2+Breast
