Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Library Name,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,BioSampleModel,geo_loc_name,analyte_type,biospecimen_repository,biospecimen_repository_sample_id,body_site,Consent code,dbGaP accession,histological_type,is_tumor,study_design,study_name,submitted_subject_id,HOST,tissue,lat_lon,Sample_name,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),environment_(biome),environment_(feature),environment_(material),external_id,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_vaginal_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,investigation_type,project_name,Sequencing_method,Submitter_Id,Cohort,env_broad_scale,env_local_scale,env_medium,ETHNICITY,host_age,Menses,pregnant,subject,timepoint,vaginal_ph,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,scientific_name,sex,isolate,AGE,source_name,BREED,treatment,BIOMATERIAL_PROVIDER,strain,JGI_accession,cell_line,isolation_source,cell_type,ENA_first_public,ENA_last_update,Sample_ID,replicate,genotype,GEO_Accession (exp),infection,dev_stage,Sample_inf,animal_id,Gestation_day,sample_type,sub_species,Cultivar,Ecotype,agent,host_diabetic_status,mouse_strain,time,time_point,culture_collection,host_tissue_sampled,donor_id,lab,animal_age_at_collection,brca_genotype,collected_by,Developmental_stage,fasted_status,health_status_at_collection,host_disease,material,Organism_part,Project,specimen_collection_date,specimen_collection_protocol,tumor_source_tissue,tumor_type,individual
SRR22456954,RNA-Seq,150,1291381066,PRJNA906635,SAMN31934942,541263743,ABBVIE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18425443,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2022-12-12T00:00:00Z,2022-11-30T01:54:00Z,1,GSM6766144,SRP410543,GSM6766144,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,Vagina,,untreated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR22456955,RNA-Seq,150,1268116274,PRJNA906635,SAMN31934942,528335858,ABBVIE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18425443,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2022-12-12T00:00:00Z,2022-11-30T01:54:00Z,1,GSM6766144,SRP410543,GSM6766144,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,Vagina,,untreated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR22456956,RNA-Seq,150,1290796565,PRJNA906635,SAMN31934942,538096171,ABBVIE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18425443,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2022-12-12T00:00:00Z,2022-11-30T01:53:00Z,1,GSM6766144,SRP410543,GSM6766144,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,Vagina,,untreated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR22456957,RNA-Seq,150,1281806296,PRJNA906635,SAMN31934942,532911102,ABBVIE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18425443,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2022-12-12T00:00:00Z,2022-11-30T01:54:00Z,1,GSM6766144,SRP410543,GSM6766144,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,Vagina,,untreated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR22456958,RNA-Seq,150,1028053785,PRJNA906635,SAMN31934943,437949964,ABBVIE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18425442,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2022-12-12T00:00:00Z,2022-11-30T01:52:00Z,1,GSM6766143,SRP410543,GSM6766143,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,Vagina,,untreated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR22456959,RNA-Seq,150,1008164611,PRJNA906635,SAMN31934943,427246729,ABBVIE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18425442,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2022-12-12T00:00:00Z,2022-11-30T01:52:00Z,1,GSM6766143,SRP410543,GSM6766143,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,Vagina,,untreated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR22456960,RNA-Seq,150,1026256753,PRJNA906635,SAMN31934943,434905524,ABBVIE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18425442,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2022-12-12T00:00:00Z,2022-11-30T01:53:00Z,1,GSM6766143,SRP410543,GSM6766143,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,Vagina,,untreated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR22456961,RNA-Seq,150,1020366390,PRJNA906635,SAMN31934943,431520703,ABBVIE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18425442,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2022-12-12T00:00:00Z,2022-11-30T01:53:00Z,1,GSM6766143,SRP410543,GSM6766143,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,Vagina,,untreated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR22456962,RNA-Seq,150,1832268765,PRJNA906635,SAMN31934944,777112783,ABBVIE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18425441,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2022-12-12T00:00:00Z,2022-11-30T01:56:00Z,1,GSM6766142,SRP410543,GSM6766142,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,Vagina,,untreated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR22456963,RNA-Seq,150,1801771419,PRJNA906635,SAMN31934944,759356628,ABBVIE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18425441,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2022-12-12T00:00:00Z,2022-11-30T01:56:00Z,1,GSM6766142,SRP410543,GSM6766142,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,Vagina,,untreated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
