sample_id,in_bam_dir,in_sample_list,mismatch
SAMN15823009,True,True,False
SAMN15823011,True,True,False
SAMN15823012,True,True,False
SAMN15823013,True,True,False
SAMN15823014,True,True,False
SAMN15823015,True,True,False
SAMN15823016,True,True,False
SAMN15823017,False,True,True
SAMN15823018,True,True,False
SAMN15823019,True,True,False
SAMN15823020,True,True,False
SAMN15823021,True,True,False
SAMN15823022,True,True,False
SAMN15823023,True,True,False
SAMN15823024,True,True,False
SAMN15823025,True,True,False
SAMN15823026,True,True,False
SAMN15823027,True,True,False
SAMN15823028,True,True,False
SAMN15823029,True,True,False
SAMN15823030,True,True,False
SAMN15823031,True,True,False
SAMN15823032,True,True,False
SAMN15823033,True,True,False
SAMN15823034,True,True,False
SAMN15823035,True,True,False
SAMN15823036,True,True,False
SAMN15823037,True,True,False
SAMN15823038,True,True,False
SAMN15823039,True,True,False
SAMN15823040,True,True,False
SAMN15823041,True,True,False
SAMN15823042,True,True,False
SAMN15823043,True,True,False
SAMN15823044,True,True,False
SAMN15823045,True,True,False
SAMN15823046,True,True,False
SAMN15823047,True,True,False
SAMN15823048,True,True,False
SAMN15823049,True,True,False
SAMN15823050,True,True,False
SAMN15823051,True,True,False
SAMN15823052,True,True,False
SAMN15823053,True,True,False
SAMN15823054,True,True,False
SAMN15823055,True,True,False
SAMN15823056,True,True,False
SAMN15823057,True,True,False
SAMN15823058,True,True,False
SAMN15823059,True,True,False
SAMN15823060,True,True,False
SAMN15823061,True,True,False
SAMN15823062,True,True,False
SAMN15823063,True,True,False
SAMN15823064,True,True,False
SAMN15823065,True,True,False
SAMN15823066,True,True,False
SAMN15823067,True,True,False
SAMN15823068,True,True,False
SAMN15823069,True,True,False
SAMN15823070,True,True,False
SAMN15823071,True,True,False
SAMN15823072,True,True,False
SAMN15823073,True,True,False
SAMN15823074,True,True,False
SAMN15823075,True,True,False
SAMN15823076,True,True,False
SAMN15823077,True,True,False
SAMN15823078,True,True,False
SAMN15823079,True,True,False
SAMN15823080,True,True,False
SAMN15823081,True,True,False
SAMN15823082,True,True,False
SAMN15823083,True,True,False
SAMN15823084,True,True,False
SAMN15823085,True,True,False
SAMN15823086,True,True,False
SAMN15823087,True,True,False
SAMN15823088,True,True,False
SAMN15823089,True,True,False
SAMN15823090,True,True,False
SAMN15823091,True,True,False
SAMN15823092,True,True,False
SAMN15823093,True,True,False
SAMN15823094,True,True,False
SAMN15823095,True,True,False
SAMN15823096,True,True,False
SAMN15823097,True,True,False
SAMN15823098,True,True,False
SAMN15823099,True,True,False
SAMN15823100,True,True,False
SAMN15823101,True,True,False
SAMN15823102,True,True,False
SAMN15823103,True,True,False
SAMN15823104,True,True,False
SAMN15823105,True,True,False
SAMN15823106,True,True,False
SAMN15823107,True,True,False
SAMN15823108,True,True,False
SAMN15823109,True,True,False
SAMN15823110,True,True,False
SAMN15823111,True,True,False
SAMN15823112,True,True,False
SAMN15823113,True,True,False
SAMN15823114,True,True,False
SAMN15823115,True,True,False
SAMN15823116,True,True,False
SAMN15823117,True,True,False
SAMN15823118,True,True,False
SAMN15823119,True,True,False
SAMN15823125,True,True,False
SAMN15823126,True,True,False
SAMN15823127,True,True,False
SAMN15823128,True,True,False
SAMN15823129,True,True,False
SAMN15823130,True,True,False
SAMN24011532,True,True,False
SAMN24011533,True,True,False
SAMN24011534,True,True,False
SAMN24011535,True,True,False
SAMN24011536,True,True,False
SAMN24011537,True,True,False
SAMN24011538,True,True,False
SAMN24011539,True,True,False
