id,id_type,in_logs,in_sample_list,location,mismatch
SAMN15823009,SAMN,True,True,first_column,False
SAMN15823011,SAMN,True,True,first_column,False
SAMN15823012,SAMN,True,True,first_column,False
SAMN15823013,SAMN,True,True,first_column,False
SAMN15823014,SAMN,True,True,first_column,False
SAMN15823015,SAMN,True,True,first_column,False
SAMN15823016,SAMN,True,True,first_column,False
SAMN15823017,SAMN,True,True,first_column,False
SAMN15823018,SAMN,True,True,first_column,False
SAMN15823019,SAMN,True,True,first_column,False
SAMN15823020,SAMN,True,True,first_column,False
SAMN15823021,SAMN,True,True,first_column,False
SAMN15823022,SAMN,True,True,first_column,False
SAMN15823023,SAMN,True,True,first_column,False
SAMN15823024,SAMN,True,True,first_column,False
SAMN15823025,SAMN,True,True,first_column,False
SAMN15823026,SAMN,True,True,first_column,False
SAMN15823027,SAMN,True,True,first_column,False
SAMN15823028,SAMN,True,True,first_column,False
SAMN15823029,SAMN,True,True,first_column,False
SAMN15823030,SAMN,True,True,first_column,False
SAMN15823031,SAMN,True,True,first_column,False
SAMN15823032,SAMN,True,True,first_column,False
SAMN15823033,SAMN,True,True,first_column,False
SAMN15823034,SAMN,True,True,first_column,False
SAMN15823035,SAMN,True,True,first_column,False
SAMN15823036,SAMN,True,True,first_column,False
SAMN15823037,SAMN,True,True,first_column,False
SAMN15823038,SAMN,True,True,first_column,False
SAMN15823039,SAMN,True,True,first_column,False
SAMN15823040,SAMN,True,True,first_column,False
SAMN15823041,SAMN,True,True,first_column,False
SAMN15823042,SAMN,True,True,first_column,False
SAMN15823043,SAMN,True,True,first_column,False
SAMN15823044,SAMN,True,True,first_column,False
SAMN15823045,SAMN,True,True,first_column,False
SAMN15823046,SAMN,True,True,first_column,False
SAMN15823047,SAMN,True,True,first_column,False
SAMN15823048,SAMN,True,True,first_column,False
SAMN15823049,SAMN,True,True,first_column,False
SAMN15823050,SAMN,True,True,first_column,False
SAMN15823051,SAMN,True,True,first_column,False
SAMN15823052,SAMN,True,True,first_column,False
SAMN15823053,SAMN,True,True,first_column,False
SAMN15823054,SAMN,True,True,first_column,False
SAMN15823055,SAMN,True,True,first_column,False
SAMN15823056,SAMN,True,True,first_column,False
SAMN15823057,SAMN,True,True,first_column,False
SAMN15823058,SAMN,True,True,first_column,False
SAMN15823059,SAMN,True,True,first_column,False
SAMN15823060,SAMN,True,True,first_column,False
SAMN15823061,SAMN,True,True,first_column,False
SAMN15823062,SAMN,True,True,first_column,False
SAMN15823063,SAMN,True,True,first_column,False
SAMN15823064,SAMN,True,True,first_column,False
SAMN15823065,SAMN,True,True,first_column,False
SAMN15823066,SAMN,True,True,first_column,False
SAMN15823067,SAMN,True,True,first_column,False
SAMN15823068,SAMN,True,True,first_column,False
SAMN15823069,SAMN,True,True,first_column,False
SAMN15823070,SAMN,True,True,first_column,False
SAMN15823071,SAMN,True,True,first_column,False
SAMN15823072,SAMN,True,True,first_column,False
SAMN15823073,SAMN,True,True,first_column,False
SAMN15823074,SAMN,True,True,first_column,False
SAMN15823075,SAMN,True,True,first_column,False
SAMN15823076,SAMN,True,True,first_column,False
SAMN15823077,SAMN,True,True,first_column,False
SAMN15823078,SAMN,True,True,first_column,False
SAMN15823079,SAMN,True,True,first_column,False
