sample_id,srr_ids,r1_list,r2_list
SAMN15374038,SRR9697690,SRR9697690_1.fastq.gz,NA
SAMN15374085,SRR9697742,SRR9697742_1.fastq.gz,NA
SAMN15374102,SRR9697662,SRR9697662_1.fastq.gz,NA
SAMN15374126,SRR9697663,SRR9697663_1.fastq.gz,NA
SAMN15374165,SRR9697657,SRR9697657_1.fastq.gz,NA
SAMN15374312,SRR9697697,SRR9697697_1.fastq.gz,NA
SAMN15374385,SRR9697784,SRR9697784_1.fastq.gz,NA
SAMN17814707,SRR13781090,SRR13781090_1.fastq.gz,NA
SAMN17814754,SRR13781076,SRR13781076_1.fastq.gz,NA
SAMN17814790,SRR13781039,SRR13781039_1.fastq.gz,NA
SAMN17814847,SRR13781034,SRR13781034_1.fastq.gz,NA
SAMN17814890,SRR13781086,SRR13781086_1.fastq.gz,NA
SAMN17814891,SRR13781036,SRR13781036_1.fastq.gz,NA
SAMN17814892,SRR13781088,SRR13781088_1.fastq.gz,NA
SAMN17814901,SRR13781080,SRR13781080_1.fastq.gz,NA
SAMN17814905,SRR13781072,SRR13781072_1.fastq.gz,NA
SAMN17814966,SRR13781074,SRR13781074_1.fastq.gz,NA
SAMN17814986,SRR13781078,SRR13781078_1.fastq.gz,NA
SAMN19030166,SRR14453835,SRR14453835_1.fastq.gz,NA
SAMN19030167,SRR14453834,SRR14453834_1.fastq.gz,NA
SAMN19030168,SRR14453863,SRR14453863_1.fastq.gz,NA
SAMN19030169,SRR14453852,SRR14453852_1.fastq.gz,NA
SAMN19030172,SRR14453839,SRR14453839_1.fastq.gz,NA
SAMN19030174,SRR14453837,SRR14453837_1.fastq.gz,NA
SAMN19030175,SRR14453836,SRR14453836_1.fastq.gz,NA
SAMN19030176,SRR14453833,SRR14453833_1.fastq.gz,NA
SAMN19030179,SRR14453870,SRR14453870_1.fastq.gz,NA
SAMN19030180,SRR14453869,SRR14453869_1.fastq.gz,NA
SAMN19030181,SRR14453868,SRR14453868_1.fastq.gz,NA
SAMN19030182,SRR14453867,SRR14453867_1.fastq.gz,NA
SAMN19030185,SRR14453864,SRR14453864_1.fastq.gz,NA
SAMN19030186,SRR14453862,SRR14453862_1.fastq.gz,NA
SAMN19030187,SRR14453861,SRR14453861_1.fastq.gz,NA
SAMN19030190,SRR14453858,SRR14453858_1.fastq.gz,NA
SAMN19030191,SRR14453857,SRR14453857_1.fastq.gz,NA
SAMN19030192,SRR14453856,SRR14453856_1.fastq.gz,NA
SAMN19030194,SRR14453854,SRR14453854_1.fastq.gz,NA
SAMN19030195,SRR14453853,SRR14453853_1.fastq.gz,NA
SAMN19030196,SRR14453851,SRR14453851_1.fastq.gz,NA
SAMN19030197,SRR14453850,SRR14453850_1.fastq.gz,NA
SAMN19030198,SRR14453849,SRR14453849_1.fastq.gz,NA
SAMN19030199,SRR14453848,SRR14453848_1.fastq.gz,NA
SAMN19030200,SRR14453847,SRR14453847_1.fastq.gz,NA
SAMN19030201,SRR14453846,SRR14453846_1.fastq.gz,NA
SAMN19030202,SRR14453845,SRR14453845_1.fastq.gz,NA
SAMN19030203,SRR14453844,SRR14453844_1.fastq.gz,NA
SAMN19030205,SRR14453842,SRR14453842_1.fastq.gz,NA
SAMN33434820,SRR23610239,SRR23610239_1.fastq.gz,NA
SAMN33434821,SRR23610240,SRR23610240_1.fastq.gz,NA
SAMN33434822,SRR23610241,SRR23610241_1.fastq.gz,NA
SAMN33434825,SRR23610244,SRR23610244_1.fastq.gz,NA
SAMN35370314,SRR24742962,SRR24742962_1.fastq.gz,NA
