sample_id,in_bam_dir,in_sample_list,mismatch
SAMN19647238,True,True,False
SAMN19647239,True,True,False
SAMN19647240,True,True,False
SAMN19647241,True,True,False
SAMN19647242,True,True,False
SAMN19647243,True,True,False
SAMN19647244,True,True,False
SAMN19647245,True,True,False
SAMN19647246,True,True,False
SAMN19647247,True,True,False
SAMN19647248,True,True,False
SAMN19647249,True,True,False
SAMN32353265,True,True,False
SAMN32353266,True,True,False
SAMN32353267,True,True,False
SAMN32353268,True,True,False
SAMN32353269,True,True,False
SAMN32353270,True,True,False
SAMN32353271,True,True,False
SAMN32353272,True,True,False
SAMN32353273,True,True,False
SAMN32353274,True,True,False
SAMN40200158,True,True,False
SAMN40200159,True,True,False
SAMN40200160,True,True,False
SAMN40200161,True,True,False
SAMN40200162,True,True,False
SAMN40200163,True,True,False
SAMN40200164,True,True,False
SAMN40200165,True,True,False
