id,id_type,in_logs,in_sample_list,location,mismatch
SAMN19647238,SAMN,True,True,first_column,False
SAMN19647239,SAMN,True,True,first_column,False
SAMN19647240,SAMN,True,True,first_column,False
SAMN19647241,SAMN,True,True,first_column,False
SAMN19647242,SAMN,True,True,first_column,False
SAMN19647243,SAMN,True,True,first_column,False
SAMN19647244,SAMN,True,True,first_column,False
SAMN19647245,SAMN,True,True,first_column,False
SAMN19647246,SAMN,True,True,first_column,False
SAMN19647247,SAMN,True,True,first_column,False
SAMN19647248,SAMN,True,True,first_column,False
SAMN19647249,SAMN,True,True,first_column,False
SAMN32353265,SAMN,True,True,first_column,False
SAMN32353266,SAMN,True,True,first_column,False
SAMN32353267,SAMN,True,True,first_column,False
SAMN32353268,SAMN,True,True,first_column,False
SAMN32353269,SAMN,True,True,first_column,False
SAMN32353270,SAMN,True,True,first_column,False
SAMN32353271,SAMN,True,True,first_column,False
SAMN32353272,SAMN,True,True,first_column,False
SAMN32353273,SAMN,True,True,first_column,False
SAMN32353274,SAMN,True,True,first_column,False
SAMN40200158,SAMN,True,True,first_column,False
SAMN40200159,SAMN,True,True,first_column,False
SAMN40200160,SAMN,True,True,first_column,False
SAMN40200161,SAMN,True,True,first_column,False
SAMN40200162,SAMN,True,True,first_column,False
SAMN40200163,SAMN,True,True,first_column,False
SAMN40200164,SAMN,True,True,first_column,False
SAMN40200165,SAMN,True,True,first_column,False
SRR14772115,SRR,True,False,none,True
SRR14772116,SRR,True,False,none,True
SRR14772117,SRR,True,False,none,True
SRR14772118,SRR,True,False,none,True
SRR14772119,SRR,True,False,none,True
SRR14772120,SRR,True,False,none,True
SRR14772121,SRR,True,False,none,True
SRR14772122,SRR,True,False,none,True
SRR14772123,SRR,True,False,none,True
SRR14772124,SRR,True,False,none,True
SRR14772125,SRR,True,False,none,True
SRR14772126,SRR,True,False,none,True
SRR22852801,SRR,True,False,none,True
SRR22852802,SRR,True,False,none,True
SRR22852803,SRR,True,False,none,True
SRR22852804,SRR,True,False,none,True
SRR22852805,SRR,True,False,none,True
SRR22852806,SRR,True,False,none,True
SRR22852807,SRR,True,False,none,True
SRR22852808,SRR,True,False,none,True
SRR22852809,SRR,True,False,none,True
SRR22852810,SRR,True,False,none,True
SRR28162622,SRR,True,False,none,True
SRR28162623,SRR,True,False,none,True
SRR28162624,SRR,True,False,none,True
SRR28162625,SRR,True,False,none,True
SRR28162626,SRR,True,False,none,True
SRR28162627,SRR,True,False,none,True
SRR28162628,SRR,True,False,none,True
SRR28162629,SRR,True,False,none,True
