sample_id,in_bam_dir,in_sample_list,mismatch
SAMEA3670236,True,True,False
SAMEA3670240,True,True,False
SAMEA3670241,True,True,False
SAMEA3670242,True,True,False
SAMEA3670243,True,True,False
SAMEA3670244,True,True,False
SAMEA3670245,True,True,False
SAMEA3670246,True,True,False
SAMEA3670247,True,True,False
SAMEA3670248,True,True,False
SAMEA3670249,True,True,False
SAMEA3670250,True,True,False
SAMEA3670251,False,True,True
SAMEA3670252,True,True,False
SAMEA3670253,True,True,False
SAMEA3670254,True,True,False
SAMEA3670255,True,True,False
SAMEA6379812,True,True,False
SAMEA6379813,False,True,True
SAMN05338791,False,True,True
SAMN05861197,False,True,True
SAMN06299372,True,True,False
SAMN06299373,True,True,False
SAMN14327421,False,True,True
SAMN14328155,False,True,True
