id,id_type,in_logs,in_sample_list,location,mismatch
ERR1141700,ERR,True,False,none,True
ERR1141704,ERR,True,False,none,True
ERR1141705,ERR,True,False,none,True
ERR1141706,ERR,True,False,none,True
ERR1141707,ERR,True,False,none,True
ERR1141708,ERR,True,False,none,True
ERR1141709,ERR,True,False,none,True
ERR1141710,ERR,True,False,none,True
ERR1141711,ERR,True,False,none,True
ERR1141712,ERR,True,False,none,True
ERR1141713,ERR,True,False,none,True
ERR1141714,ERR,True,False,none,True
ERR1141715,ERR,True,False,none,True
ERR1141716,ERR,True,False,none,True
ERR1141717,ERR,True,False,none,True
ERR1141718,ERR,True,False,none,True
ERR1141719,ERR,True,False,none,True
ERR3728075,ERR,True,False,none,True
ERR3728076,ERR,True,False,none,True
SAMEA3670236,SAMEA,True,True,first_column,False
SAMEA3670240,SAMEA,True,True,first_column,False
SAMEA3670241,SAMEA,True,True,first_column,False
SAMEA3670242,SAMEA,True,True,first_column,False
SAMEA3670243,SAMEA,True,True,first_column,False
SAMEA3670244,SAMEA,True,True,first_column,False
SAMEA3670245,SAMEA,True,True,first_column,False
SAMEA3670246,SAMEA,True,True,first_column,False
SAMEA3670247,SAMEA,True,True,first_column,False
SAMEA3670248,SAMEA,True,True,first_column,False
SAMEA3670249,SAMEA,True,True,first_column,False
SAMEA3670250,SAMEA,True,True,first_column,False
SAMEA3670251,SAMEA,True,True,first_column,False
SAMEA3670252,SAMEA,True,True,first_column,False
SAMEA3670253,SAMEA,True,True,first_column,False
SAMEA3670254,SAMEA,True,True,first_column,False
SAMEA3670255,SAMEA,True,True,first_column,False
SAMEA6379812,SAMEA,True,True,first_column,False
SAMEA6379813,SAMEA,True,True,first_column,False
SAMN05338791,SAMN,True,True,first_column,False
SAMN05861197,SAMN,True,True,first_column,False
SAMN06299372,SAMN,True,True,first_column,False
SAMN06299373,SAMN,True,True,first_column,False
SAMN14327421,SAMN,True,True,first_column,False
SAMN14328155,SAMN,True,True,first_column,False
SRR3880241,SRR,True,False,none,True
SRR4306272,SRR,True,False,none,True
SRR5230942,SRR,True,False,none,True
SRR5230943,SRR,True,False,none,True
SRR5230944,SRR,True,False,none,True
SRR5230945,SRR,True,False,none,True
SRR5230946,SRR,True,False,none,True
SRR8762209,SRR,True,False,none,True
SRR9304310,SRR,True,False,none,True
