sample_id,in_bam_dir,in_sample_list,mismatch
SAMD00254734,True,True,False
SAMD00254735,True,True,False
SAMD00254736,True,True,False
SAMD00254737,True,True,False
SAMD00254738,True,True,False
SAMD00254739,True,True,False
SAMD00254740,True,True,False
SAMD00254741,True,True,False
SAMD00254742,True,True,False
SAMD00254743,True,True,False
SAMD00254744,True,True,False
SAMD00254745,True,True,False
SAMD00254746,True,True,False
SAMD00254747,True,True,False
SAMD00254748,True,True,False
SAMD00254749,True,True,False
SAMD00254750,True,True,False
SAMD00254751,True,True,False
SAMD00254752,True,True,False
SAMD00254753,True,True,False
SAMD00254754,True,True,False
SAMD00254755,True,True,False
SAMD00254756,True,True,False
SAMD00254757,True,True,False
SAMD00254758,True,True,False
SAMD00254759,True,True,False
SAMD00254760,True,True,False
SAMD00254761,True,True,False
SAMD00254762,True,True,False
SAMD00254763,True,True,False
SAMD00254764,True,True,False
SAMD00254765,True,True,False
SAMD00254766,True,True,False
SAMD00254767,True,True,False
SAMD00254768,True,True,False
SAMD00254769,True,True,False
SAMN07269608,True,True,False
SAMN07269610,True,True,False
SAMN07269612,True,True,False
SAMN07269614,True,True,False
SAMN11961280,True,True,False
SAMN11961281,False,True,True
SAMN11961283,False,True,True
SAMN11961284,True,True,False
SAMN11961286,True,True,False
SAMN11961287,True,True,False
SAMN13053359,True,True,False
SAMN13053361,True,True,False
SAMN13053363,True,True,False
SAMN13053365,True,True,False
SAMN13053367,True,True,False
SAMN13053369,True,True,False
SAMN13053371,True,True,False
SAMN13053373,True,True,False
SAMN13053375,True,True,False
SAMN13053377,True,True,False
SAMN13171505,True,True,False
SAMN13171507,True,True,False
SAMN13171509,True,True,False
SAMN13171511,True,True,False
SAMN13171513,True,True,False
SAMN13171517,True,True,False
SAMN13171519,True,True,False
SAMN13171524,True,True,False
SAMN13171527,True,True,False
SAMN13171529,True,True,False
SAMN17937104,True,True,False
SAMN17937105,True,True,False
SAMN17937106,True,True,False
SAMN17937107,True,True,False
SAMN17937108,True,True,False
SAMN21506101,True,True,False
SAMN28156648,True,True,False
SAMN28156649,True,True,False
SAMN28156650,True,True,False
SAMN28156651,True,True,False
SAMN28156652,True,True,False
SAMN28156653,True,True,False
SAMN28156654,True,True,False
SAMN28156655,True,True,False
SAMN28156656,True,True,False
SAMN28156657,True,True,False
SAMN28156658,True,True,False
SAMN28156659,True,True,False
SAMN28156660,True,True,False
SAMN37346317,True,True,False
SAMN37346318,True,True,False
SAMN37346319,True,True,False
SAMN37346320,True,True,False
SAMN37346321,True,True,False
SAMN37346322,True,True,False
SAMN37346323,True,True,False
SAMN37346324,True,True,False
SAMN43582191,True,True,False
SAMN43582192,True,True,False
SAMN43582193,True,True,False
SAMN43582194,True,True,False
SAMN43582195,True,True,False
SAMN47205166,True,True,False
SAMN47205167,True,True,False
SAMN47205168,True,True,False
SAMN47616746,True,True,False
SAMN47616747,True,True,False
SAMN47616748,True,True,False
SAMN47616749,True,True,False
SAMN47616750,True,True,False
SAMN47616751,True,True,False
SAMN47616752,True,True,False
SAMN47616753,True,True,False
SAMN47616754,False,True,True
SAMN47616755,False,True,True
SAMN47616756,False,True,True
SAMN47616757,True,True,False
SAMN47616758,False,True,True
