id,id_type,in_logs,in_sample_list,location,mismatch
DRR253234,DRR,True,True,R1_or_R2,False
DRR253235,DRR,True,True,R1_or_R2,False
DRR253236,DRR,True,True,R1_or_R2,False
DRR253237,DRR,True,True,R1_or_R2,False
DRR253238,DRR,True,True,R1_or_R2,False
DRR253239,DRR,True,True,R1_or_R2,False
DRR253240,DRR,True,True,R1_or_R2,False
DRR253241,DRR,True,True,R1_or_R2,False
DRR253242,DRR,True,True,R1_or_R2,False
DRR253243,DRR,True,True,R1_or_R2,False
DRR253244,DRR,True,True,R1_or_R2,False
DRR253245,DRR,True,True,R1_or_R2,False
DRR253246,DRR,True,True,R1_or_R2,False
DRR253247,DRR,True,True,R1_or_R2,False
DRR253248,DRR,True,True,R1_or_R2,False
DRR253249,DRR,True,True,R1_or_R2,False
DRR253250,DRR,True,True,R1_or_R2,False
DRR253251,DRR,True,True,R1_or_R2,False
DRR253252,DRR,True,True,R1_or_R2,False
DRR253253,DRR,True,True,R1_or_R2,False
DRR253254,DRR,True,True,R1_or_R2,False
DRR253255,DRR,True,True,R1_or_R2,False
DRR253256,DRR,True,True,R1_or_R2,False
DRR253257,DRR,True,True,R1_or_R2,False
DRR253258,DRR,True,True,R1_or_R2,False
DRR253259,DRR,True,True,R1_or_R2,False
DRR253260,DRR,True,True,R1_or_R2,False
DRR253261,DRR,True,True,R1_or_R2,False
DRR253262,DRR,True,True,R1_or_R2,False
DRR253263,DRR,True,True,R1_or_R2,False
DRR253264,DRR,True,True,R1_or_R2,False
DRR253265,DRR,True,True,R1_or_R2,False
DRR253266,DRR,True,True,R1_or_R2,False
DRR253267,DRR,True,True,R1_or_R2,False
DRR253268,DRR,True,True,R1_or_R2,False
DRR253269,DRR,True,True,R1_or_R2,False
ERR2278845,ERR,True,False,none,True
ERR2278846,ERR,True,False,none,True
ERR2278847,ERR,True,False,none,True
ERR2278848,ERR,True,False,none,True
ERR2278849,ERR,True,False,none,True
ERR2278850,ERR,True,False,none,True
ERR2278851,ERR,True,False,none,True
ERR2278852,ERR,True,False,none,True
ERR2278853,ERR,True,False,none,True
ERR2278854,ERR,True,False,none,True
ERR2278855,ERR,True,False,none,True
ERR2278856,ERR,True,False,none,True
ERR2278857,ERR,True,False,none,True
ERR2278858,ERR,True,False,none,True
ERR2278859,ERR,True,False,none,True
ERR2278860,ERR,True,False,none,True
ERR2278861,ERR,True,False,none,True
ERR2278862,ERR,True,False,none,True
ERR2278863,ERR,True,False,none,True
ERR2278864,ERR,True,False,none,True
ERR2278865,ERR,True,False,none,True
ERR2278866,ERR,True,False,none,True
ERR2278867,ERR,True,False,none,True
ERR2278868,ERR,True,False,none,True
ERR2278869,ERR,True,False,none,True
ERR2278870,ERR,True,False,none,True
ERR2278871,ERR,True,False,none,True
ERR2278872,ERR,True,False,none,True
ERR2278873,ERR,True,False,none,True
ERR2278874,ERR,True,False,none,True
ERR2278875,ERR,True,False,none,True
ERR2278876,ERR,True,False,none,True
ERR2278877,ERR,True,False,none,True
ERR2278878,ERR,True,False,none,True
ERR2278879,ERR,True,False,none,True
ERR2278880,ERR,True,False,none,True
ERR2278881,ERR,True,False,none,True
ERR2278882,ERR,True,False,none,True
ERR2278883,ERR,True,False,none,True
ERR2278884,ERR,True,False,none,True
ERR2278885,ERR,True,False,none,True
ERR649020,ERR,True,False,none,True
ERR649024,ERR,True,False,none,True
ERR649025,ERR,True,False,none,True
ERR649027,ERR,True,False,none,True
ERR649032,ERR,True,False,none,True
ERR649036,ERR,True,False,none,True
ERR649040,ERR,True,False,none,True
ERR649042,ERR,True,False,none,True
ERR649044,ERR,True,False,none,True
ERR649045,ERR,True,False,none,True
ERR649048,ERR,True,False,none,True
ERR649051,ERR,True,False,none,True
ERR649054,ERR,True,False,none,True
ERR649056,ERR,True,False,none,True
ERR649061,ERR,True,False,none,True
ERR649065,ERR,True,False,none,True
ERR649068,ERR,True,False,none,True
ERR649071,ERR,True,False,none,True
ERR649074,ERR,True,False,none,True
SAMD00254734,SAMD,True,True,first_column,False
SAMD00254735,SAMD,True,True,first_column,False
SAMD00254736,SAMD,True,True,first_column,False
SAMD00254737,SAMD,True,True,first_column,False
SAMD00254738,SAMD,True,True,first_column,False
SAMD00254739,SAMD,True,True,first_column,False
SAMD00254740,SAMD,True,True,first_column,False
SAMD00254741,SAMD,True,True,first_column,False
SAMD00254742,SAMD,True,True,first_column,False
SAMD00254743,SAMD,True,True,first_column,False
SAMD00254744,SAMD,True,True,first_column,False
SAMD00254745,SAMD,True,True,first_column,False
SAMD00254746,SAMD,True,True,first_column,False
SAMD00254747,SAMD,True,True,first_column,False
SAMD00254748,SAMD,True,True,first_column,False
SAMD00254749,SAMD,True,True,first_column,False
SAMD00254750,SAMD,True,True,first_column,False
SAMD00254751,SAMD,True,True,first_column,False
SAMD00254752,SAMD,True,True,first_column,False
SAMD00254753,SAMD,True,True,first_column,False
SAMD00254754,SAMD,True,True,first_column,False
SAMD00254755,SAMD,True,True,first_column,False
SAMD00254756,SAMD,True,True,first_column,False
SAMD00254757,SAMD,True,True,first_column,False
SAMD00254758,SAMD,True,True,first_column,False
SAMD00254759,SAMD,True,True,first_column,False
SAMD00254760,SAMD,True,True,first_column,False
SAMD00254761,SAMD,True,True,first_column,False
SAMD00254762,SAMD,True,True,first_column,False
SAMD00254763,SAMD,True,True,first_column,False
SAMD00254764,SAMD,True,True,first_column,False
SAMD00254765,SAMD,True,True,first_column,False
SAMD00254766,SAMD,True,True,first_column,False
SAMD00254767,SAMD,True,True,first_column,False
SAMD00254768,SAMD,True,True,first_column,False
SAMD00254769,SAMD,True,True,first_column,False
SAMN07269608,SAMN,True,True,first_column,False
SAMN07269610,SAMN,True,True,first_column,False
SAMN07269612,SAMN,True,True,first_column,False
SAMN07269614,SAMN,True,True,first_column,False
SAMN11961280,SAMN,True,True,first_column,False
SAMN11961281,SAMN,True,True,first_column,False
SAMN11961283,SAMN,True,True,first_column,False
SAMN11961284,SAMN,True,True,first_column,False
SAMN11961286,SAMN,True,True,first_column,False
SAMN11961287,SAMN,True,True,first_column,False
SAMN13053359,SAMN,True,True,first_column,False
SAMN13053361,SAMN,True,True,first_column,False
SAMN13053363,SAMN,True,True,first_column,False
SAMN13053365,SAMN,True,True,first_column,False
SAMN13053367,SAMN,True,True,first_column,False
SAMN13053369,SAMN,True,True,first_column,False
SAMN13053371,SAMN,True,True,first_column,False
SAMN13053373,SAMN,True,True,first_column,False
SAMN13053375,SAMN,True,True,first_column,False
SAMN13053377,SAMN,True,True,first_column,False
SAMN13171505,SAMN,True,True,first_column,False
SAMN13171507,SAMN,True,True,first_column,False
SAMN13171509,SAMN,True,True,first_column,False
SAMN13171511,SAMN,True,True,first_column,False
SAMN13171513,SAMN,True,True,first_column,False
SAMN13171517,SAMN,True,True,first_column,False
SAMN13171519,SAMN,True,True,first_column,False
SAMN13171524,SAMN,True,True,first_column,False
SAMN13171527,SAMN,True,True,first_column,False
SAMN13171529,SAMN,True,True,first_column,False
SAMN17937104,SAMN,True,True,first_column,False
SAMN17937105,SAMN,True,True,first_column,False
SAMN17937106,SAMN,True,True,first_column,False
SAMN17937107,SAMN,True,True,first_column,False
SAMN17937108,SAMN,True,True,first_column,False
SAMN21506101,SAMN,True,True,first_column,False
SAMN28156648,SAMN,True,True,first_column,False
SAMN28156649,SAMN,True,True,first_column,False
SAMN28156650,SAMN,True,True,first_column,False
SAMN28156651,SAMN,True,True,first_column,False
SAMN28156652,SAMN,True,True,first_column,False
SAMN28156653,SAMN,True,True,first_column,False
SAMN28156654,SAMN,True,True,first_column,False
SAMN28156655,SAMN,True,True,first_column,False
SAMN28156656,SAMN,True,True,first_column,False
SAMN28156657,SAMN,True,True,first_column,False
SAMN28156658,SAMN,True,True,first_column,False
SAMN28156659,SAMN,True,True,first_column,False
SAMN28156660,SAMN,True,True,first_column,False
SAMN37346317,SAMN,True,True,first_column,False
SAMN37346318,SAMN,True,True,first_column,False
SAMN37346319,SAMN,True,True,first_column,False
SAMN37346320,SAMN,True,True,first_column,False
SAMN37346321,SAMN,True,True,first_column,False
SAMN37346322,SAMN,True,True,first_column,False
SAMN37346323,SAMN,True,True,first_column,False
SAMN37346324,SAMN,True,True,first_column,False
SAMN43582191,SAMN,True,True,first_column,False
SAMN43582192,SAMN,True,True,first_column,False
SAMN43582193,SAMN,True,True,first_column,False
SAMN43582194,SAMN,True,True,first_column,False
SAMN43582195,SAMN,True,True,first_column,False
SAMN47205166,SAMN,True,True,first_column,False
SAMN47205167,SAMN,True,True,first_column,False
SAMN47205168,SAMN,True,True,first_column,False
SAMN47616746,SAMN,True,True,first_column,False
SAMN47616747,SAMN,True,True,first_column,False
SAMN47616748,SAMN,True,True,first_column,False
SAMN47616749,SAMN,True,True,first_column,False
SAMN47616750,SAMN,True,True,first_column,False
SAMN47616751,SAMN,True,True,first_column,False
SAMN47616752,SAMN,True,True,first_column,False
SAMN47616753,SAMN,True,True,first_column,False
SAMN47616754,SAMN,True,True,first_column,False
SAMN47616755,SAMN,True,True,first_column,False
SAMN47616756,SAMN,True,True,first_column,False
SAMN47616757,SAMN,True,True,first_column,False
SAMN47616758,SAMN,True,True,first_column,False
SRR10305488,SRR,True,True,R1_or_R2,False
SRR10305490,SRR,True,True,R1_or_R2,False
SRR10305502,SRR,True,True,R1_or_R2,False
SRR10305524,SRR,True,True,R1_or_R2,False
SRR10305526,SRR,True,True,R1_or_R2,False
SRR10305528,SRR,True,True,R1_or_R2,False
SRR10305530,SRR,True,True,R1_or_R2,False
SRR10305532,SRR,True,True,R1_or_R2,False
SRR10305534,SRR,True,True,R1_or_R2,False
SRR10305536,SRR,True,True,R1_or_R2,False
SRR10380718,SRR,True,True,R1_or_R2,False
SRR10380720,SRR,True,True,R1_or_R2,False
SRR10380722,SRR,True,True,R1_or_R2,False
SRR10380724,SRR,True,True,R1_or_R2,False
SRR10380726,SRR,True,True,R1_or_R2,False
SRR10380728,SRR,True,True,R1_or_R2,False
SRR10380730,SRR,True,True,R1_or_R2,False
SRR10380732,SRR,True,True,R1_or_R2,False
SRR10380734,SRR,True,True,R1_or_R2,False
SRR10380736,SRR,True,True,R1_or_R2,False
SRR10502313,SRR,True,False,none,True
SRR10502314,SRR,True,False,none,True
SRR10502315,SRR,True,False,none,True
SRR11783208,SRR,True,False,none,True
SRR11783209,SRR,True,False,none,True
SRR11783210,SRR,True,False,none,True
SRR11783211,SRR,True,False,none,True
SRR11783212,SRR,True,False,none,True
SRR12450087,SRR,True,False,none,True
SRR12450088,SRR,True,False,none,True
SRR12450089,SRR,True,False,none,True
SRR12450090,SRR,True,False,none,True
SRR12450091,SRR,True,False,none,True
SRR12450092,SRR,True,False,none,True
SRR12450093,SRR,True,False,none,True
SRR12450094,SRR,True,False,none,True
SRR12450095,SRR,True,False,none,True
SRR12450096,SRR,True,False,none,True
SRR13729785,SRR,True,True,R1_or_R2,False
SRR13729786,SRR,True,True,R1_or_R2,False
SRR13729787,SRR,True,True,R1_or_R2,False
SRR13729788,SRR,True,True,R1_or_R2,False
SRR13729789,SRR,True,True,R1_or_R2,False
SRR14740626,SRR,True,False,none,True
SRR14740627,SRR,True,False,none,True
SRR14740628,SRR,True,False,none,True
SRR14740629,SRR,True,False,none,True
SRR14740630,SRR,True,False,none,True
SRR14740631,SRR,True,False,none,True
SRR14740632,SRR,True,False,none,True
SRR14740633,SRR,True,False,none,True
SRR14740634,SRR,True,False,none,True
SRR15963863,SRR,True,True,R1_or_R2,False
SRR16013048,SRR,True,False,none,True
SRR16013050,SRR,True,False,none,True
SRR16013052,SRR,True,False,none,True
SRR16013056,SRR,True,False,none,True
SRR16013059,SRR,True,False,none,True
SRR16013061,SRR,True,False,none,True
SRR16013064,SRR,True,False,none,True
SRR16013065,SRR,True,False,none,True
SRR16013067,SRR,True,False,none,True
SRR16013070,SRR,True,False,none,True
SRR16013078,SRR,True,False,none,True
SRR16013079,SRR,True,False,none,True
SRR16013080,SRR,True,False,none,True
SRR16013082,SRR,True,False,none,True
SRR16013083,SRR,True,False,none,True
SRR16013084,SRR,True,False,none,True
SRR16013088,SRR,True,False,none,True
SRR16612818,SRR,True,False,none,True
SRR16612820,SRR,True,False,none,True
SRR16612822,SRR,True,False,none,True
SRR16612824,SRR,True,False,none,True
SRR16612826,SRR,True,False,none,True
SRR16612827,SRR,True,False,none,True
SRR16612829,SRR,True,False,none,True
SRR16612832,SRR,True,False,none,True
SRR16612834,SRR,True,False,none,True
SRR16612835,SRR,True,False,none,True
SRR16612837,SRR,True,False,none,True
SRR16612840,SRR,True,False,none,True
SRR16612842,SRR,True,False,none,True
SRR16612843,SRR,True,False,none,True
SRR16612845,SRR,True,False,none,True
SRR16612848,SRR,True,False,none,True
SRR16612850,SRR,True,False,none,True
SRR16940415,SRR,True,False,none,True
SRR16940419,SRR,True,False,none,True
SRR16940424,SRR,True,False,none,True
SRR16940428,SRR,True,False,none,True
SRR16940429,SRR,True,False,none,True
SRR16940431,SRR,True,False,none,True
SRR16940439,SRR,True,False,none,True
SRR16940448,SRR,True,False,none,True
SRR16940454,SRR,True,False,none,True
SRR16940459,SRR,True,False,none,True
SRR16940463,SRR,True,False,none,True
SRR19139546,SRR,True,True,R1_or_R2,False
SRR19139547,SRR,True,True,R1_or_R2,False
SRR19139548,SRR,True,True,R1_or_R2,False
SRR19139549,SRR,True,True,R1_or_R2,False
SRR19139550,SRR,True,True,R1_or_R2,False
SRR19139551,SRR,True,True,R1_or_R2,False
SRR19139552,SRR,True,True,R1_or_R2,False
SRR19139553,SRR,True,True,R1_or_R2,False
SRR19139554,SRR,True,True,R1_or_R2,False
SRR19139555,SRR,True,True,R1_or_R2,False
SRR19139556,SRR,True,True,R1_or_R2,False
SRR19139557,SRR,True,True,R1_or_R2,False
SRR19139558,SRR,True,True,R1_or_R2,False
SRR20313708,SRR,True,False,none,True
SRR20313709,SRR,True,False,none,True
SRR20313712,SRR,True,False,none,True
SRR20313713,SRR,True,False,none,True
SRR20313714,SRR,True,False,none,True
SRR20313715,SRR,True,False,none,True
SRR20313716,SRR,True,False,none,True
SRR20313717,SRR,True,False,none,True
SRR20313718,SRR,True,False,none,True
SRR20313719,SRR,True,False,none,True
SRR20313720,SRR,True,False,none,True
SRR20313721,SRR,True,False,none,True
SRR20313722,SRR,True,False,none,True
SRR20313723,SRR,True,False,none,True
SRR20313726,SRR,True,False,none,True
SRR20313730,SRR,True,False,none,True
SRR20313734,SRR,True,False,none,True
SRR2094282,SRR,True,False,none,True
SRR2094285,SRR,True,False,none,True
SRR22149444,SRR,True,False,none,True
SRR22149445,SRR,True,False,none,True
SRR22149448,SRR,True,False,none,True
SRR22827417,SRR,True,False,none,True
SRR22827418,SRR,True,False,none,True
SRR22827424,SRR,True,False,none,True
SRR23053054,SRR,True,False,none,True
SRR23053065,SRR,True,False,none,True
SRR23053125,SRR,True,False,none,True
SRR23053131,SRR,True,False,none,True
SRR23053133,SRR,True,False,none,True
SRR23053140,SRR,True,False,none,True
SRR23053141,SRR,True,False,none,True
SRR25043610,SRR,True,False,none,True
SRR25043611,SRR,True,False,none,True
SRR25043619,SRR,True,False,none,True
SRR25043620,SRR,True,False,none,True
SRR25043621,SRR,True,False,none,True
SRR25043622,SRR,True,False,none,True
SRR25043623,SRR,True,False,none,True
SRR25043624,SRR,True,False,none,True
SRR25043625,SRR,True,False,none,True
SRR25043626,SRR,True,False,none,True
SRR25043627,SRR,True,False,none,True
SRR25043628,SRR,True,False,none,True
SRR25043629,SRR,True,False,none,True
SRR25043630,SRR,True,False,none,True
SRR25043631,SRR,True,False,none,True
SRR25043632,SRR,True,False,none,True
SRR25043633,SRR,True,False,none,True
SRR25043634,SRR,True,False,none,True
SRR25043635,SRR,True,False,none,True
SRR25998611,SRR,True,True,R1_or_R2,False
SRR25998612,SRR,True,True,R1_or_R2,False
SRR25998613,SRR,True,True,R1_or_R2,False
SRR25998614,SRR,True,True,R1_or_R2,False
SRR25998615,SRR,True,True,R1_or_R2,False
SRR25998616,SRR,True,True,R1_or_R2,False
SRR25998621,SRR,True,True,R1_or_R2,False
SRR25998622,SRR,True,True,R1_or_R2,False
SRR27993247,SRR,True,False,none,True
SRR27993248,SRR,True,False,none,True
SRR27993249,SRR,True,False,none,True
SRR27993250,SRR,True,False,none,True
SRR27993251,SRR,True,False,none,True
SRR30168944,SRR,True,False,none,True
SRR30168945,SRR,True,False,none,True
SRR30633528,SRR,True,True,R1_or_R2,False
SRR30633529,SRR,True,True,R1_or_R2,False
SRR30633530,SRR,True,True,R1_or_R2,False
SRR30633531,SRR,True,True,R1_or_R2,False
SRR30633532,SRR,True,True,R1_or_R2,False
SRR30787015,SRR,True,False,none,True
SRR30787016,SRR,True,False,none,True
SRR30787017,SRR,True,False,none,True
SRR30787018,SRR,True,False,none,True
SRR30787019,SRR,True,False,none,True
SRR30787020,SRR,True,False,none,True
SRR30787021,SRR,True,False,none,True
SRR30787022,SRR,True,False,none,True
SRR30787023,SRR,True,False,none,True
SRR30787024,SRR,True,False,none,True
SRR30787025,SRR,True,False,none,True
SRR30787026,SRR,True,False,none,True
SRR30787027,SRR,True,False,none,True
SRR30787028,SRR,True,False,none,True
SRR30787029,SRR,True,False,none,True
SRR30787030,SRR,True,False,none,True
SRR30787031,SRR,True,False,none,True
SRR30787032,SRR,True,False,none,True
SRR30787033,SRR,True,False,none,True
SRR30787034,SRR,True,False,none,True
SRR30787035,SRR,True,False,none,True
SRR30787036,SRR,True,False,none,True
SRR30787037,SRR,True,False,none,True
SRR30787038,SRR,True,False,none,True
SRR30787039,SRR,True,False,none,True
SRR30787040,SRR,True,False,none,True
SRR30787041,SRR,True,False,none,True
SRR30787042,SRR,True,False,none,True
SRR30787043,SRR,True,False,none,True
SRR30787044,SRR,True,False,none,True
SRR30787045,SRR,True,False,none,True
SRR30787046,SRR,True,False,none,True
SRR30787047,SRR,True,False,none,True
SRR30787048,SRR,True,False,none,True
SRR30787049,SRR,True,False,none,True
SRR30787050,SRR,True,False,none,True
SRR30787051,SRR,True,False,none,True
SRR30787052,SRR,True,False,none,True
SRR30787053,SRR,True,False,none,True
SRR30787054,SRR,True,False,none,True
SRR30787087,SRR,True,False,none,True
SRR30787088,SRR,True,False,none,True
SRR30787089,SRR,True,False,none,True
SRR30787090,SRR,True,False,none,True
SRR30787091,SRR,True,False,none,True
SRR30787092,SRR,True,False,none,True
SRR30787093,SRR,True,False,none,True
SRR30787094,SRR,True,False,none,True
SRR30787095,SRR,True,False,none,True
SRR32560242,SRR,True,True,R1_or_R2,False
SRR32560243,SRR,True,True,R1_or_R2,False
SRR32560244,SRR,True,True,R1_or_R2,False
SRR32974236,SRR,True,True,R1_or_R2,False
SRR32974237,SRR,True,True,R1_or_R2,False
SRR32974238,SRR,True,True,R1_or_R2,False
SRR32974239,SRR,True,True,R1_or_R2,False
SRR32974240,SRR,True,True,R1_or_R2,False
SRR32974241,SRR,True,True,R1_or_R2,False
SRR32974242,SRR,True,True,R1_or_R2,False
SRR32974243,SRR,True,True,R1_or_R2,False
SRR32974250,SRR,True,True,R1_or_R2,False
SRR32974251,SRR,True,True,R1_or_R2,False
SRR32974252,SRR,True,True,R1_or_R2,False
SRR32974253,SRR,True,True,R1_or_R2,False
SRR32974254,SRR,True,True,R1_or_R2,False
SRR5742687,SRR,True,True,R1_or_R2,False
SRR5742689,SRR,True,True,R1_or_R2,False
SRR5742691,SRR,True,True,R1_or_R2,False
SRR5742693,SRR,True,True,R1_or_R2,False
SRR9054145,SRR,True,False,none,True
SRR9054146,SRR,True,False,none,True
SRR9054147,SRR,True,False,none,True
SRR9054148,SRR,True,False,none,True
SRR9054149,SRR,True,False,none,True
SRR9054150,SRR,True,False,none,True
SRR9203716,SRR,True,True,R1_or_R2,False
SRR9203717,SRR,True,True,R1_or_R2,False
SRR9203719,SRR,True,True,R1_or_R2,False
SRR9203720,SRR,True,True,R1_or_R2,False
SRR9203722,SRR,True,True,R1_or_R2,False
SRR9203723,SRR,True,True,R1_or_R2,False
