sample_id,srr_ids,r1_list,r2_list
SAMEA104561904,ERR2278845,ERR2278845_1.fastq.gz,NA
SAMEA104561905,ERR2278846,ERR2278846_1.fastq.gz,NA
SAMEA104561906,ERR2278847,ERR2278847_1.fastq.gz,NA
SAMEA104561907,ERR2278848,ERR2278848_1.fastq.gz,NA
SAMEA104561908,ERR2278849,ERR2278849_1.fastq.gz,NA
SAMEA104561909,ERR2278850,ERR2278850_1.fastq.gz,NA
SAMEA104561910,ERR2278851,ERR2278851_1.fastq.gz,NA
SAMEA104561911,ERR2278852,ERR2278852_1.fastq.gz,NA
SAMEA104561912,ERR2278853,ERR2278853_1.fastq.gz,NA
SAMEA104561913,ERR2278854,ERR2278854_1.fastq.gz,NA
SAMEA104561914,ERR2278855,ERR2278855_1.fastq.gz,NA
SAMEA104561915,ERR2278856,ERR2278856_1.fastq.gz,NA
SAMEA104561916,ERR2278857,ERR2278857_1.fastq.gz,NA
SAMEA104561917,ERR2278858,ERR2278858_1.fastq.gz,NA
SAMEA104561918,ERR2278859,ERR2278859_1.fastq.gz,NA
SAMEA104561919,ERR2278860,ERR2278860_1.fastq.gz,NA
SAMEA104561920,ERR2278861,ERR2278861_1.fastq.gz,NA
SAMEA104561921,ERR2278862,ERR2278862_1.fastq.gz,NA
SAMEA104561922,ERR2278863,ERR2278863_1.fastq.gz,NA
SAMEA104561923,ERR2278864,ERR2278864_1.fastq.gz,NA
SAMEA104561924,ERR2278865,ERR2278865_1.fastq.gz,NA
SAMEA104561925,ERR2278866,ERR2278866_1.fastq.gz,NA
SAMEA104561926,ERR2278867,ERR2278867_1.fastq.gz,NA
SAMEA104561927,ERR2278868,ERR2278868_1.fastq.gz,NA
SAMEA104561928,ERR2278869,ERR2278869_1.fastq.gz,NA
SAMEA104561929,ERR2278870,ERR2278870_1.fastq.gz,NA
SAMEA104561930,ERR2278871,ERR2278871_1.fastq.gz,NA
SAMEA104561931,ERR2278872,ERR2278872_1.fastq.gz,NA
SAMEA104561932,ERR2278873,ERR2278873_1.fastq.gz,NA
SAMEA104561933,ERR2278874,ERR2278874_1.fastq.gz,NA
SAMEA104561934,ERR2278875,ERR2278875_1.fastq.gz,NA
SAMEA104561935,ERR2278876,ERR2278876_1.fastq.gz,NA
SAMEA104561936,ERR2278877,ERR2278877_1.fastq.gz,NA
SAMEA104561937,ERR2278878,ERR2278878_1.fastq.gz,NA
SAMEA104561938,ERR2278879,ERR2278879_1.fastq.gz,NA
SAMEA104561939,ERR2278880,ERR2278880_1.fastq.gz,NA
SAMEA104561940,ERR2278881,ERR2278881_1.fastq.gz,NA
SAMEA104561941,ERR2278882,ERR2278882_1.fastq.gz,NA
SAMEA104561942,ERR2278883,ERR2278883_1.fastq.gz,NA
SAMEA104561943,ERR2278884,ERR2278884_1.fastq.gz,NA
SAMEA104561944,ERR2278885,ERR2278885_1.fastq.gz,NA
SAMEA2804174,ERR649025,ERR649025_1.fastq.gz,NA
SAMEA2804175,ERR649045,ERR649045_1.fastq.gz,NA
SAMEA2804176,ERR649020,ERR649020_1.fastq.gz,NA
SAMEA2804177,ERR649024,ERR649024_1.fastq.gz,NA
SAMEA2804178,ERR649027,ERR649027_1.fastq.gz,NA
SAMEA2804179,ERR649032,ERR649032_1.fastq.gz,NA
SAMEA2804180,ERR649040,ERR649040_1.fastq.gz,NA
SAMEA2804181,ERR649048,ERR649048_1.fastq.gz,NA
SAMEA2804182,ERR649051,ERR649051_1.fastq.gz,NA
SAMEA2804183,ERR649042,ERR649042_1.fastq.gz,NA
SAMEA2804184,ERR649044,ERR649044_1.fastq.gz,NA
SAMEA2804185,ERR649054,ERR649054_1.fastq.gz,NA
SAMEA2804186,ERR649068,ERR649068_1.fastq.gz,NA
SAMEA2804187,ERR649036,ERR649036_1.fastq.gz,NA
SAMEA2804188,ERR649056,ERR649056_1.fastq.gz,NA
SAMEA2804189,ERR649061,ERR649061_1.fastq.gz,NA
SAMEA2804190,ERR649065,ERR649065_1.fastq.gz,NA
SAMEA2804191,ERR649071,ERR649071_1.fastq.gz,NA
SAMEA2804192,ERR649074,ERR649074_1.fastq.gz,NA
SAMN03852583,SRR2094282,SRR2094282_1.fastq.gz,NA
SAMN03852586,SRR2094285,SRR2094285_1.fastq.gz,NA
SAMN11640621,SRR9054150,SRR9054150_1.fastq.gz,NA
SAMN11640622,SRR9054149,SRR9054149_1.fastq.gz,NA
SAMN11640623,SRR9054148,SRR9054148_1.fastq.gz,NA
SAMN11640624,SRR9054147,SRR9054147_1.fastq.gz,NA
SAMN11640625,SRR9054146,SRR9054146_1.fastq.gz,NA
SAMN11640626,SRR9054145,SRR9054145_1.fastq.gz,NA
SAMN13336159,SRR10502315,SRR10502315_1.fastq.gz,NA
SAMN13336160,SRR10502314,SRR10502314_1.fastq.gz,NA
