SAMD00254734	DRR253234_1.fastq.gz	DRR253234_2.fastq.gz
SAMD00254735	DRR253235_1.fastq.gz	DRR253235_2.fastq.gz
SAMD00254736	DRR253236_1.fastq.gz	DRR253236_2.fastq.gz
SAMD00254737	DRR253237_1.fastq.gz	DRR253237_2.fastq.gz
SAMD00254738	DRR253238_1.fastq.gz	DRR253238_2.fastq.gz
SAMD00254739	DRR253239_1.fastq.gz	DRR253239_2.fastq.gz
SAMD00254740	DRR253240_1.fastq.gz	DRR253240_2.fastq.gz
SAMD00254741	DRR253241_1.fastq.gz	DRR253241_2.fastq.gz
SAMD00254742	DRR253242_1.fastq.gz	DRR253242_2.fastq.gz
SAMD00254743	DRR253243_1.fastq.gz	DRR253243_2.fastq.gz
SAMD00254744	DRR253244_1.fastq.gz	DRR253244_2.fastq.gz
SAMD00254745	DRR253245_1.fastq.gz	DRR253245_2.fastq.gz
SAMD00254746	DRR253246_1.fastq.gz	DRR253246_2.fastq.gz
SAMD00254747	DRR253247_1.fastq.gz	DRR253247_2.fastq.gz
SAMD00254748	DRR253248_1.fastq.gz	DRR253248_2.fastq.gz
SAMD00254749	DRR253249_1.fastq.gz	DRR253249_2.fastq.gz
SAMD00254750	DRR253250_1.fastq.gz	DRR253250_2.fastq.gz
SAMD00254751	DRR253251_1.fastq.gz	DRR253251_2.fastq.gz
SAMD00254752	DRR253252_1.fastq.gz	DRR253252_2.fastq.gz
SAMD00254753	DRR253253_1.fastq.gz	DRR253253_2.fastq.gz
SAMD00254754	DRR253254_1.fastq.gz	DRR253254_2.fastq.gz
SAMD00254755	DRR253255_1.fastq.gz	DRR253255_2.fastq.gz
SAMD00254756	DRR253256_1.fastq.gz	DRR253256_2.fastq.gz
SAMD00254757	DRR253257_1.fastq.gz	DRR253257_2.fastq.gz
SAMD00254758	DRR253258_1.fastq.gz	DRR253258_2.fastq.gz
SAMD00254759	DRR253259_1.fastq.gz	DRR253259_2.fastq.gz
SAMD00254760	DRR253260_1.fastq.gz	DRR253260_2.fastq.gz
SAMD00254761	DRR253261_1.fastq.gz	DRR253261_2.fastq.gz
SAMD00254762	DRR253262_1.fastq.gz	DRR253262_2.fastq.gz
SAMD00254763	DRR253263_1.fastq.gz	DRR253263_2.fastq.gz
SAMD00254764	DRR253264_1.fastq.gz	DRR253264_2.fastq.gz
SAMD00254765	DRR253265_1.fastq.gz	DRR253265_2.fastq.gz
SAMD00254766	DRR253266_1.fastq.gz	DRR253266_2.fastq.gz
SAMD00254767	DRR253267_1.fastq.gz	DRR253267_2.fastq.gz
SAMD00254768	DRR253268_1.fastq.gz	DRR253268_2.fastq.gz
SAMD00254769	DRR253269_1.fastq.gz	DRR253269_2.fastq.gz
SAMEA104561904	ERR2278845_1.fastq.gz	NA
SAMEA104561905	ERR2278846_1.fastq.gz	NA
SAMEA104561906	ERR2278847_1.fastq.gz	NA
SAMEA104561907	ERR2278848_1.fastq.gz	NA
SAMEA104561908	ERR2278849_1.fastq.gz	NA
SAMEA104561909	ERR2278850_1.fastq.gz	NA
SAMEA104561910	ERR2278851_1.fastq.gz	NA
SAMEA104561911	ERR2278852_1.fastq.gz	NA
SAMEA104561912	ERR2278853_1.fastq.gz	NA
SAMEA104561913	ERR2278854_1.fastq.gz	NA
SAMEA104561914	ERR2278855_1.fastq.gz	NA
SAMEA104561915	ERR2278856_1.fastq.gz	NA
SAMEA104561916	ERR2278857_1.fastq.gz	NA
SAMEA104561917	ERR2278858_1.fastq.gz	NA
SAMEA104561918	ERR2278859_1.fastq.gz	NA
SAMEA104561919	ERR2278860_1.fastq.gz	NA
SAMEA104561920	ERR2278861_1.fastq.gz	NA
SAMEA104561921	ERR2278862_1.fastq.gz	NA
SAMEA104561922	ERR2278863_1.fastq.gz	NA
SAMEA104561923	ERR2278864_1.fastq.gz	NA
SAMEA104561924	ERR2278865_1.fastq.gz	NA
SAMEA104561925	ERR2278866_1.fastq.gz	NA
SAMEA104561926	ERR2278867_1.fastq.gz	NA
SAMEA104561927	ERR2278868_1.fastq.gz	NA
SAMEA104561928	ERR2278869_1.fastq.gz	NA
SAMEA104561929	ERR2278870_1.fastq.gz	NA
SAMEA104561930	ERR2278871_1.fastq.gz	NA
SAMEA104561931	ERR2278872_1.fastq.gz	NA
SAMEA104561932	ERR2278873_1.fastq.gz	NA
SAMEA104561933	ERR2278874_1.fastq.gz	NA
SAMEA104561934	ERR2278875_1.fastq.gz	NA
SAMEA104561935	ERR2278876_1.fastq.gz	NA
SAMEA104561936	ERR2278877_1.fastq.gz	NA
SAMEA104561937	ERR2278878_1.fastq.gz	NA
SAMEA104561938	ERR2278879_1.fastq.gz	NA
SAMEA104561939	ERR2278880_1.fastq.gz	NA
SAMEA104561940	ERR2278881_1.fastq.gz	NA
SAMEA104561941	ERR2278882_1.fastq.gz	NA
SAMEA104561942	ERR2278883_1.fastq.gz	NA
SAMEA104561943	ERR2278884_1.fastq.gz	NA
SAMEA104561944	ERR2278885_1.fastq.gz	NA
SAMEA2804174	ERR649025_1.fastq.gz	NA
SAMEA2804175	ERR649045_1.fastq.gz	NA
SAMEA2804176	ERR649020_1.fastq.gz	NA
SAMEA2804177	ERR649024_1.fastq.gz	NA
SAMEA2804178	ERR649027_1.fastq.gz	NA
SAMEA2804179	ERR649032_1.fastq.gz	NA
SAMEA2804180	ERR649040_1.fastq.gz	NA
SAMEA2804181	ERR649048_1.fastq.gz	NA
SAMEA2804182	ERR649051_1.fastq.gz	NA
SAMEA2804183	ERR649042_1.fastq.gz	NA
SAMEA2804184	ERR649044_1.fastq.gz	NA
SAMEA2804185	ERR649054_1.fastq.gz	NA
SAMEA2804186	ERR649068_1.fastq.gz	NA
SAMEA2804187	ERR649036_1.fastq.gz	NA
SAMEA2804188	ERR649056_1.fastq.gz	NA
SAMEA2804189	ERR649061_1.fastq.gz	NA
SAMEA2804190	ERR649065_1.fastq.gz	NA
SAMEA2804191	ERR649071_1.fastq.gz	NA
SAMEA2804192	ERR649074_1.fastq.gz	NA
SAMN03852583	SRR2094282_1.fastq.gz	NA
SAMN03852586	SRR2094285_1.fastq.gz	NA
SAMN07269608	SRR5742687_1.fastq.gz	SRR5742687_2.fastq.gz
SAMN07269610	SRR5742693_1.fastq.gz	SRR5742693_2.fastq.gz
SAMN07269612	SRR5742691_1.fastq.gz	SRR5742691_2.fastq.gz
SAMN07269614	SRR5742689_1.fastq.gz	SRR5742689_2.fastq.gz
SAMN11640621	SRR9054150_1.fastq.gz	NA
SAMN11640622	SRR9054149_1.fastq.gz	NA
SAMN11640623	SRR9054148_1.fastq.gz	NA
SAMN11640624	SRR9054147_1.fastq.gz	NA
SAMN11640625	SRR9054146_1.fastq.gz	NA
SAMN11640626	SRR9054145_1.fastq.gz	NA
SAMN11961280	SRR9203723_1.fastq.gz	SRR9203723_2.fastq.gz
SAMN11961281	SRR9203722_1.fastq.gz	SRR9203722_2.fastq.gz
SAMN11961283	SRR9203720_1.fastq.gz	SRR9203720_2.fastq.gz
SAMN11961284	SRR9203719_1.fastq.gz	SRR9203719_2.fastq.gz
SAMN11961286	SRR9203717_1.fastq.gz	SRR9203717_2.fastq.gz
SAMN11961287	SRR9203716_1.fastq.gz	SRR9203716_2.fastq.gz
SAMN13053359	SRR10305536_1.fastq.gz	SRR10305536_2.fastq.gz
SAMN13053361	SRR10305524_1.fastq.gz	SRR10305524_2.fastq.gz
SAMN13053363	SRR10305502_1.fastq.gz	SRR10305502_2.fastq.gz
SAMN13053365	SRR10305490_1.fastq.gz	SRR10305490_2.fastq.gz
SAMN13053367	SRR10305488_1.fastq.gz	SRR10305488_2.fastq.gz
SAMN13053369	SRR10305534_1.fastq.gz	SRR10305534_2.fastq.gz
SAMN13053371	SRR10305532_1.fastq.gz	SRR10305532_2.fastq.gz
SAMN13053373	SRR10305530_1.fastq.gz	SRR10305530_2.fastq.gz
SAMN13053375	SRR10305528_1.fastq.gz	SRR10305528_2.fastq.gz
SAMN13053377	SRR10305526_1.fastq.gz	SRR10305526_2.fastq.gz
SAMN13171505	SRR10380730_1.fastq.gz	SRR10380730_2.fastq.gz
SAMN13171507	SRR10380728_1.fastq.gz	SRR10380728_2.fastq.gz
SAMN13171509	SRR10380726_1.fastq.gz	SRR10380726_2.fastq.gz
SAMN13171511	SRR10380724_1.fastq.gz	SRR10380724_2.fastq.gz
SAMN13171513	SRR10380722_1.fastq.gz	SRR10380722_2.fastq.gz
SAMN13171517	SRR10380720_1.fastq.gz	SRR10380720_2.fastq.gz
SAMN13171519	SRR10380718_1.fastq.gz	SRR10380718_2.fastq.gz
SAMN13171524	SRR10380736_1.fastq.gz	SRR10380736_2.fastq.gz
SAMN13171527	SRR10380734_1.fastq.gz	SRR10380734_2.fastq.gz
SAMN13171529	SRR10380732_1.fastq.gz	SRR10380732_2.fastq.gz
SAMN13336159	SRR10502315_1.fastq.gz	NA
SAMN13336160	SRR10502314_1.fastq.gz	NA
SAMN13336161	SRR10502313_1.fastq.gz	NA
SAMN14910967	SRR11783212_1.fastq.gz	NA
SAMN14910968	SRR11783211_1.fastq.gz	NA
SAMN14910969	SRR11783210_1.fastq.gz	NA
SAMN14910970	SRR11783209_1.fastq.gz	NA
SAMN14910971	SRR11783208_1.fastq.gz	NA
SAMN15814029	SRR12450096_1.fastq.gz	NA
SAMN15814030	SRR12450095_1.fastq.gz	NA
SAMN15814031	SRR12450094_1.fastq.gz	NA
SAMN15814032	SRR12450093_1.fastq.gz	NA
SAMN15814033	SRR12450092_1.fastq.gz	NA
SAMN15814034	SRR12450091_1.fastq.gz	NA
SAMN15814035	SRR12450090_1.fastq.gz	NA
SAMN15814036	SRR12450089_1.fastq.gz	NA
SAMN15814037	SRR12450088_1.fastq.gz	NA
SAMN15814038	SRR12450087_1.fastq.gz	NA
SAMN17937104	SRR13729789_1.fastq.gz	SRR13729789_2.fastq.gz
SAMN17937105	SRR13729788_1.fastq.gz	SRR13729788_2.fastq.gz
SAMN17937106	SRR13729787_1.fastq.gz	SRR13729787_2.fastq.gz
SAMN17937107	SRR13729786_1.fastq.gz	SRR13729786_2.fastq.gz
SAMN17937108	SRR13729785_1.fastq.gz	SRR13729785_2.fastq.gz
SAMN19580772	SRR14740634_1.fastq.gz	NA
SAMN19580773	SRR14740633_1.fastq.gz	NA
SAMN19580774	SRR14740632_1.fastq.gz	NA
SAMN19580775	SRR14740631_1.fastq.gz	NA
SAMN19580776	SRR14740630_1.fastq.gz	NA
SAMN19580777	SRR14740629_1.fastq.gz	NA
SAMN19580778	SRR14740628_1.fastq.gz	NA
SAMN19580779	SRR14740627_1.fastq.gz	NA
SAMN19580780	SRR14740626_1.fastq.gz	NA
SAMN21506101	SRR15963863_1.fastq.gz	SRR15963863_2.fastq.gz
SAMN21555486	SRR16013048_1.fastq.gz	NA
SAMN21555488	SRR16013050_1.fastq.gz	NA
SAMN21555490	SRR16013052_1.fastq.gz	NA
SAMN21555494	SRR16013056_1.fastq.gz	NA
SAMN21555496	SRR16013059_1.fastq.gz	NA
SAMN21555504	SRR16013061_1.fastq.gz	NA
SAMN21555506	SRR16013064_1.fastq.gz,SRR16013065_1.fastq.gz	NA
SAMN21555508	SRR16013067_1.fastq.gz	NA
SAMN21555510	SRR16013070_1.fastq.gz	NA
SAMN21555514	SRR16013078_1.fastq.gz,SRR16013079_1.fastq.gz,SRR16013080_1.fastq.gz	NA
SAMN21555516	SRR16013082_1.fastq.gz,SRR16013083_1.fastq.gz,SRR16013084_1.fastq.gz	NA
SAMN21555518	SRR16013088_1.fastq.gz	NA
SAMN22658986	SRR16612818_1.fastq.gz	NA
SAMN22658988	SRR16612820_1.fastq.gz	NA
SAMN22658990	SRR16612822_1.fastq.gz	NA
SAMN22658992	SRR16612824_1.fastq.gz	NA
SAMN22658994	SRR16612826_1.fastq.gz	NA
SAMN22658996	SRR16612827_1.fastq.gz	NA
SAMN22658998	SRR16612829_1.fastq.gz	NA
SAMN22659000	SRR16612832_1.fastq.gz	NA
SAMN22659002	SRR16612834_1.fastq.gz	NA
SAMN22659004	SRR16612835_1.fastq.gz	NA
SAMN22659006	SRR16612837_1.fastq.gz	NA
SAMN22659008	SRR16612840_1.fastq.gz	NA
SAMN22659010	SRR16612842_1.fastq.gz	NA
SAMN22659012	SRR16612843_1.fastq.gz	NA
SAMN22659014	SRR16612845_1.fastq.gz	NA
SAMN22659016	SRR16612848_1.fastq.gz	NA
SAMN22659018	SRR16612850_1.fastq.gz	NA
SAMN23133685	SRR16940431_1.fastq.gz	NA
SAMN23133689	SRR16940439_1.fastq.gz	NA
SAMN23133693	SRR16940429_1.fastq.gz	NA
SAMN23133697	SRR16940463_1.fastq.gz	NA
SAMN23133701	SRR16940459_1.fastq.gz	NA
SAMN23133705	SRR16940454_1.fastq.gz	NA
SAMN23133709	SRR16940428_1.fastq.gz	NA
SAMN23133713	SRR16940424_1.fastq.gz	NA
SAMN23133717	SRR16940419_1.fastq.gz	NA
SAMN23133721	SRR16940415_1.fastq.gz	NA
SAMN23133725	SRR16940448_1.fastq.gz	NA
SAMN28156648	SRR19139546_1.fastq.gz	SRR19139546_2.fastq.gz
SAMN28156649	SRR19139547_1.fastq.gz	SRR19139547_2.fastq.gz
SAMN28156650	SRR19139548_1.fastq.gz	SRR19139548_2.fastq.gz
SAMN28156651	SRR19139549_1.fastq.gz	SRR19139549_2.fastq.gz
SAMN28156652	SRR19139550_1.fastq.gz	SRR19139550_2.fastq.gz
SAMN28156653	SRR19139551_1.fastq.gz	SRR19139551_2.fastq.gz
