sample_id,in_bam_dir,in_sample_list,mismatch
SAMEA104561904,True,True,False
SAMEA104561905,True,True,False
SAMEA104561906,True,True,False
SAMEA104561907,True,True,False
SAMEA104561908,True,True,False
SAMEA104561909,True,True,False
SAMEA104561910,True,True,False
SAMEA104561911,True,True,False
SAMEA104561912,True,True,False
SAMEA104561913,True,True,False
SAMEA104561914,True,True,False
SAMEA104561915,True,True,False
SAMEA104561916,True,True,False
SAMEA104561917,True,True,False
SAMEA104561918,True,True,False
SAMEA104561919,True,True,False
SAMEA104561920,True,True,False
SAMEA104561921,False,True,True
SAMEA104561922,False,True,True
SAMEA104561923,True,True,False
SAMEA104561924,True,True,False
SAMEA104561925,True,True,False
SAMEA104561926,False,True,True
SAMEA104561927,False,True,True
SAMEA104561928,False,True,True
SAMEA104561929,False,True,True
SAMEA104561930,False,True,True
SAMEA104561931,False,True,True
SAMEA104561932,False,True,True
SAMEA104561933,False,True,True
SAMEA104561934,False,True,True
SAMEA104561935,False,True,True
SAMEA104561936,False,True,True
SAMEA104561937,False,True,True
SAMEA104561938,False,True,True
SAMEA104561939,False,True,True
SAMEA104561940,False,True,True
SAMEA104561941,False,True,True
SAMEA104561942,False,True,True
SAMEA104561943,False,True,True
SAMEA104561944,False,True,True
SAMEA2804174,False,True,True
SAMEA2804175,False,True,True
SAMEA2804176,False,True,True
SAMEA2804177,True,True,False
SAMEA2804178,True,True,False
SAMEA2804179,True,True,False
SAMEA2804180,True,True,False
SAMEA2804181,True,True,False
SAMEA2804182,True,True,False
SAMEA2804183,True,True,False
SAMEA2804184,True,True,False
SAMEA2804185,True,True,False
SAMEA2804186,True,True,False
SAMEA2804187,True,True,False
SAMEA2804188,True,True,False
SAMEA2804189,True,True,False
SAMEA2804190,True,True,False
SAMEA2804191,True,True,False
SAMEA2804192,True,True,False
SAMN03852583,True,True,False
SAMN03852586,True,True,False
SAMN11640621,True,True,False
SAMN11640622,False,True,True
SAMN11640623,True,True,False
SAMN11640624,True,True,False
SAMN11640625,True,True,False
SAMN11640626,True,True,False
SAMN13336159,True,True,False
SAMN13336160,False,True,True
SAMN13336161,False,True,True
SAMN14327801,False,True,True
SAMN14328775,False,True,True
SAMN14328859,False,True,True
SAMN14910967,True,True,False
SAMN14910968,True,True,False
SAMN14910969,True,True,False
SAMN14910970,True,True,False
SAMN14910971,False,True,True
SAMN15814029,True,True,False
SAMN15814030,True,True,False
SAMN15814031,False,True,True
SAMN15814032,True,True,False
SAMN15814033,True,True,False
SAMN15814034,False,True,True
SAMN15814035,False,True,True
SAMN15814036,True,True,False
SAMN15814037,True,True,False
SAMN15814038,True,True,False
SAMN19580772,False,True,True
SAMN19580773,False,True,True
SAMN19580774,False,True,True
SAMN19580775,False,True,True
SAMN19580776,False,True,True
SAMN19580777,True,True,False
SAMN19580778,False,True,True
SAMN19580779,False,True,True
SAMN19580780,False,True,True
SAMN21555486,False,True,True
SAMN21555488,False,True,True
SAMN21555490,True,True,False
SAMN21555494,False,True,True
SAMN21555496,False,True,True
SAMN21555504,True,True,False
SAMN21555506,False,True,True
SAMN21555508,False,True,True
SAMN21555510,False,True,True
SAMN21555514,False,True,True
