id,id_type,in_logs,in_sample_list,location,mismatch
ERR2278845,ERR,True,False,none,True
ERR2278846,ERR,True,False,none,True
ERR2278847,ERR,True,False,none,True
ERR2278848,ERR,True,False,none,True
ERR2278849,ERR,True,False,none,True
ERR2278850,ERR,True,False,none,True
ERR2278851,ERR,True,False,none,True
ERR2278852,ERR,True,False,none,True
ERR2278853,ERR,True,False,none,True
ERR2278854,ERR,True,False,none,True
ERR2278855,ERR,True,False,none,True
ERR2278856,ERR,True,False,none,True
ERR2278857,ERR,True,False,none,True
ERR2278858,ERR,True,False,none,True
ERR2278859,ERR,True,False,none,True
ERR2278860,ERR,True,False,none,True
ERR2278861,ERR,True,False,none,True
ERR2278862,ERR,True,False,none,True
ERR2278863,ERR,True,False,none,True
ERR2278864,ERR,True,False,none,True
ERR2278865,ERR,True,False,none,True
ERR2278866,ERR,True,False,none,True
ERR2278867,ERR,True,False,none,True
ERR2278868,ERR,True,False,none,True
ERR2278869,ERR,True,False,none,True
ERR2278870,ERR,True,False,none,True
ERR2278871,ERR,True,False,none,True
ERR2278872,ERR,True,False,none,True
ERR2278873,ERR,True,False,none,True
ERR2278874,ERR,True,False,none,True
ERR2278875,ERR,True,False,none,True
ERR2278876,ERR,True,False,none,True
ERR2278877,ERR,True,False,none,True
ERR2278878,ERR,True,False,none,True
ERR2278879,ERR,True,False,none,True
ERR2278880,ERR,True,False,none,True
ERR2278881,ERR,True,False,none,True
ERR2278882,ERR,True,False,none,True
ERR2278883,ERR,True,False,none,True
ERR2278884,ERR,True,False,none,True
ERR2278885,ERR,True,False,none,True
ERR649020,ERR,True,False,none,True
ERR649024,ERR,True,False,none,True
ERR649025,ERR,True,False,none,True
ERR649027,ERR,True,False,none,True
ERR649032,ERR,True,False,none,True
ERR649036,ERR,True,False,none,True
ERR649040,ERR,True,False,none,True
ERR649042,ERR,True,False,none,True
ERR649044,ERR,True,False,none,True
ERR649045,ERR,True,False,none,True
ERR649048,ERR,True,False,none,True
ERR649051,ERR,True,False,none,True
ERR649054,ERR,True,False,none,True
ERR649056,ERR,True,False,none,True
ERR649061,ERR,True,False,none,True
ERR649065,ERR,True,False,none,True
ERR649068,ERR,True,False,none,True
ERR649071,ERR,True,False,none,True
ERR649074,ERR,True,False,none,True
SAMEA104561904,SAMEA,True,True,first_column,False
SAMEA104561905,SAMEA,True,True,first_column,False
SAMEA104561906,SAMEA,True,True,first_column,False
SAMEA104561907,SAMEA,True,True,first_column,False
SAMEA104561908,SAMEA,True,True,first_column,False
SAMEA104561909,SAMEA,True,True,first_column,False
SAMEA104561910,SAMEA,True,True,first_column,False
SAMEA104561911,SAMEA,True,True,first_column,False
SAMEA104561912,SAMEA,True,True,first_column,False
SAMEA104561913,SAMEA,True,True,first_column,False
SAMEA104561914,SAMEA,True,True,first_column,False
SAMEA104561915,SAMEA,True,True,first_column,False
SAMEA104561916,SAMEA,True,True,first_column,False
SAMEA104561917,SAMEA,True,True,first_column,False
SAMEA104561918,SAMEA,True,True,first_column,False
SAMEA104561919,SAMEA,True,True,first_column,False
SAMEA104561920,SAMEA,True,True,first_column,False
SAMEA104561921,SAMEA,True,True,first_column,False
SAMEA104561922,SAMEA,True,True,first_column,False
SAMEA104561923,SAMEA,True,True,first_column,False
SAMEA104561924,SAMEA,True,True,first_column,False
SAMEA104561925,SAMEA,True,True,first_column,False
SAMEA104561926,SAMEA,True,True,first_column,False
SAMEA104561927,SAMEA,True,True,first_column,False
SAMEA104561928,SAMEA,True,True,first_column,False
SAMEA104561929,SAMEA,True,True,first_column,False
SAMEA104561930,SAMEA,True,True,first_column,False
SAMEA104561931,SAMEA,True,True,first_column,False
SAMEA104561932,SAMEA,True,True,first_column,False
SAMEA104561933,SAMEA,True,True,first_column,False
SAMEA104561934,SAMEA,True,True,first_column,False
SAMEA104561935,SAMEA,True,True,first_column,False
SAMEA104561936,SAMEA,True,True,first_column,False
SAMEA104561937,SAMEA,True,True,first_column,False
SAMEA104561938,SAMEA,True,True,first_column,False
SAMEA104561939,SAMEA,True,True,first_column,False
SAMEA104561940,SAMEA,True,True,first_column,False
SAMEA104561941,SAMEA,True,True,first_column,False
SAMEA104561942,SAMEA,True,True,first_column,False
SAMEA104561943,SAMEA,True,True,first_column,False
SAMEA104561944,SAMEA,True,True,first_column,False
SAMEA2804174,SAMEA,True,True,first_column,False
SAMEA2804175,SAMEA,True,True,first_column,False
SAMEA2804176,SAMEA,True,True,first_column,False
SAMEA2804177,SAMEA,True,True,first_column,False
SAMEA2804178,SAMEA,True,True,first_column,False
SAMEA2804179,SAMEA,True,True,first_column,False
SAMEA2804180,SAMEA,True,True,first_column,False
SAMEA2804181,SAMEA,True,True,first_column,False
SAMEA2804182,SAMEA,True,True,first_column,False
SAMEA2804183,SAMEA,True,True,first_column,False
SAMEA2804184,SAMEA,True,True,first_column,False
SAMEA2804185,SAMEA,True,True,first_column,False
SAMEA2804186,SAMEA,True,True,first_column,False
SAMEA2804187,SAMEA,True,True,first_column,False
SAMEA2804188,SAMEA,True,True,first_column,False
SAMEA2804189,SAMEA,True,True,first_column,False
SAMEA2804190,SAMEA,True,True,first_column,False
SAMEA2804191,SAMEA,True,True,first_column,False
SAMEA2804192,SAMEA,True,True,first_column,False
SAMN03852583,SAMN,True,True,first_column,False
SAMN03852586,SAMN,True,True,first_column,False
SAMN11640621,SAMN,True,True,first_column,False
SAMN11640622,SAMN,True,True,first_column,False
SAMN11640623,SAMN,True,True,first_column,False
SAMN11640624,SAMN,True,True,first_column,False
SAMN11640625,SAMN,True,True,first_column,False
SAMN11640626,SAMN,True,True,first_column,False
SAMN13336159,SAMN,True,True,first_column,False
SAMN14327801,SAMN,True,True,first_column,False
SAMN14328775,SAMN,True,True,first_column,False
SAMN14328859,SAMN,True,True,first_column,False
SAMN14910967,SAMN,True,True,first_column,False
SAMN14910968,SAMN,True,True,first_column,False
SAMN14910969,SAMN,True,True,first_column,False
SAMN14910970,SAMN,True,True,first_column,False
SAMN14910971,SAMN,True,True,first_column,False
SAMN15814029,SAMN,True,True,first_column,False
SAMN15814030,SAMN,True,True,first_column,False
SAMN15814031,SAMN,True,True,first_column,False
SAMN15814032,SAMN,True,True,first_column,False
SAMN15814033,SAMN,True,True,first_column,False
SAMN15814034,SAMN,True,True,first_column,False
SAMN15814035,SAMN,True,True,first_column,False
SAMN15814036,SAMN,True,True,first_column,False
SAMN15814037,SAMN,True,True,first_column,False
SAMN15814038,SAMN,True,True,first_column,False
SAMN19580772,SAMN,True,True,first_column,False
SAMN19580775,SAMN,True,True,first_column,False
SAMN19580776,SAMN,True,True,first_column,False
SAMN19580777,SAMN,True,True,first_column,False
SAMN21555490,SAMN,True,True,first_column,False
SAMN21555504,SAMN,True,True,first_column,False
SAMN22658986,SAMN,True,True,first_column,False
SAMN22658988,SAMN,True,True,first_column,False
SAMN22658990,SAMN,True,True,first_column,False
SAMN22658992,SAMN,True,True,first_column,False
SAMN22658994,SAMN,True,True,first_column,False
SAMN22658996,SAMN,True,True,first_column,False
SAMN22658998,SAMN,True,True,first_column,False
SAMN22659000,SAMN,True,True,first_column,False
SAMN22659002,SAMN,True,True,first_column,False
SAMN22659004,SAMN,True,True,first_column,False
SAMN22659006,SAMN,True,True,first_column,False
SAMN22659008,SAMN,True,True,first_column,False
SAMN22659010,SAMN,True,True,first_column,False
SAMN22659012,SAMN,True,True,first_column,False
SAMN22659014,SAMN,True,True,first_column,False
SAMN22659016,SAMN,True,True,first_column,False
SAMN22659018,SAMN,True,True,first_column,False
SAMN23133685,SAMN,True,True,first_column,False
SAMN23133689,SAMN,True,True,first_column,False
SAMN23133693,SAMN,True,True,first_column,False
SAMN23133697,SAMN,True,True,first_column,False
SAMN23133701,SAMN,True,True,first_column,False
SAMN23133705,SAMN,True,True,first_column,False
