SAMEA104561904	ERR2278845_1.fastq.gz	ERR2278845_2.fastq.gz
SAMEA104561905	ERR2278846_1.fastq.gz	ERR2278846_2.fastq.gz
SAMEA104561906	ERR2278847_1.fastq.gz	ERR2278847_2.fastq.gz
SAMEA104561907	ERR2278848_1.fastq.gz	ERR2278848_2.fastq.gz
SAMEA104561908	ERR2278849_1.fastq.gz	ERR2278849_2.fastq.gz
SAMEA104561909	ERR2278850_1.fastq.gz	ERR2278850_2.fastq.gz
SAMEA104561910	ERR2278851_1.fastq.gz	ERR2278851_2.fastq.gz
SAMEA104561911	ERR2278852_1.fastq.gz	ERR2278852_2.fastq.gz
SAMEA104561912	ERR2278853_1.fastq.gz	ERR2278853_2.fastq.gz
SAMEA104561913	ERR2278854_1.fastq.gz	ERR2278854_2.fastq.gz
SAMEA104561914	ERR2278855_1.fastq.gz	ERR2278855_2.fastq.gz
SAMEA104561915	ERR2278856_1.fastq.gz	ERR2278856_2.fastq.gz
SAMEA104561916	ERR2278857_1.fastq.gz	ERR2278857_2.fastq.gz
SAMEA104561917	ERR2278858_1.fastq.gz	ERR2278858_2.fastq.gz
SAMEA104561918	ERR2278859_1.fastq.gz	ERR2278859_2.fastq.gz
SAMEA104561919	ERR2278860_1.fastq.gz	ERR2278860_2.fastq.gz
SAMEA104561920	ERR2278861_1.fastq.gz	ERR2278861_2.fastq.gz
SAMEA104561921	ERR2278862_1.fastq.gz	ERR2278862_2.fastq.gz
SAMEA104561922	ERR2278863_1.fastq.gz	ERR2278863_2.fastq.gz
SAMEA104561923	ERR2278864_1.fastq.gz	ERR2278864_2.fastq.gz
SAMEA104561924	ERR2278865_1.fastq.gz	ERR2278865_2.fastq.gz
SAMEA104561925	ERR2278866_1.fastq.gz	ERR2278866_2.fastq.gz
SAMEA104561926	ERR2278867_1.fastq.gz	ERR2278867_2.fastq.gz
SAMEA104561927	ERR2278868_1.fastq.gz	ERR2278868_2.fastq.gz
SAMEA104561928	ERR2278869_1.fastq.gz	ERR2278869_2.fastq.gz
SAMEA104561929	ERR2278870_1.fastq.gz	ERR2278870_2.fastq.gz
SAMEA104561930	ERR2278871_1.fastq.gz	ERR2278871_2.fastq.gz
SAMEA104561931	ERR2278872_1.fastq.gz	ERR2278872_2.fastq.gz
SAMEA104561932	ERR2278873_1.fastq.gz	ERR2278873_2.fastq.gz
SAMEA104561933	ERR2278874_1.fastq.gz	ERR2278874_2.fastq.gz
SAMEA104561934	ERR2278875_1.fastq.gz	ERR2278875_2.fastq.gz
SAMEA104561935	ERR2278876_1.fastq.gz	ERR2278876_2.fastq.gz
SAMEA104561936	ERR2278877_1.fastq.gz	ERR2278877_2.fastq.gz
SAMEA104561937	ERR2278878_1.fastq.gz	ERR2278878_2.fastq.gz
SAMEA104561938	ERR2278879_1.fastq.gz	ERR2278879_2.fastq.gz
SAMEA104561939	ERR2278880_1.fastq.gz	ERR2278880_2.fastq.gz
SAMEA104561940	ERR2278881_1.fastq.gz	ERR2278881_2.fastq.gz
SAMEA104561941	ERR2278882_1.fastq.gz	ERR2278882_2.fastq.gz
SAMEA104561942	ERR2278883_1.fastq.gz	ERR2278883_2.fastq.gz
SAMEA104561943	ERR2278884_1.fastq.gz	ERR2278884_2.fastq.gz
SAMEA104561944	ERR2278885_1.fastq.gz	ERR2278885_2.fastq.gz
SAMEA2804174	ERR649025_1.fastq.gz	ERR649025_2.fastq.gz
SAMEA2804175	ERR649045_1.fastq.gz	ERR649045_2.fastq.gz
SAMEA2804176	ERR649020_1.fastq.gz	ERR649020_2.fastq.gz
SAMEA2804177	ERR649024_1.fastq.gz	ERR649024_2.fastq.gz
SAMEA2804178	ERR649027_1.fastq.gz	ERR649027_2.fastq.gz
SAMEA2804179	ERR649032_1.fastq.gz	ERR649032_2.fastq.gz
SAMEA2804180	ERR649040_1.fastq.gz	ERR649040_2.fastq.gz
SAMEA2804181	ERR649048_1.fastq.gz	ERR649048_2.fastq.gz
SAMEA2804182	ERR649051_1.fastq.gz	ERR649051_2.fastq.gz
SAMEA2804183	ERR649042_1.fastq.gz	ERR649042_2.fastq.gz
SAMEA2804184	ERR649044_1.fastq.gz	ERR649044_2.fastq.gz
SAMEA2804185	ERR649054_1.fastq.gz	ERR649054_2.fastq.gz
SAMEA2804186	ERR649068_1.fastq.gz	ERR649068_2.fastq.gz
