sample_id,in_bam_dir,in_sample_list,mismatch
SAMN01985674,True,True,False
SAMN01985676,True,True,False
SAMN01985678,True,True,False
SAMN01985679,True,True,False
SAMN01985680,True,True,False
SAMN01985681,True,True,False
SAMN01985683,True,True,False
SAMN01985684,True,True,False
SAMN05861263,True,True,False
SAMN05861266,True,True,False
SAMN05861267,True,True,False
SAMN05861273,True,True,False
SAMN05861277,True,True,False
SAMN05861287,True,True,False
SAMN05861302,True,True,False
SAMN05861320,True,True,False
SAMN05861327,True,True,False
SAMN05861329,True,True,False
SAMN05861343,True,True,False
SAMN05861355,True,True,False
SAMN05861363,True,True,False
SAMN05861368,True,True,False
SAMN05861371,True,True,False
SAMN05861382,True,True,False
SAMN05861393,True,True,False
SAMN05861396,True,True,False
SAMN05861399,True,True,False
SAMN05861416,True,True,False
SAMN05861428,True,True,False
SAMN05861429,True,True,False
SAMN05861432,True,True,False
SAMN05861435,True,True,False
SAMN05861438,True,True,False
SAMN05861440,True,True,False
SAMN05861445,True,True,False
SAMN05861450,True,True,False
SAMN05861492,True,True,False
SAMN05861508,True,True,False
SAMN05861516,True,True,False
SAMN05861531,True,True,False
SAMN05861541,True,True,False
SAMN05861547,True,True,False
SAMN05861552,True,True,False
SAMN05861564,True,True,False
SAMN05861567,True,True,False
SAMN05861572,True,True,False
SAMN08321547,True,True,False
SAMN08321554,True,True,False
SAMN08321565,True,True,False
SAMN08321566,True,True,False
SAMN08321567,True,True,False
SAMN08321569,True,True,False
SAMN08321571,True,True,False
SAMN08321572,True,True,False
SAMN08321573,True,True,False
SAMN08321574,True,True,False
SAMN08321576,True,True,False
SAMN08321577,True,True,False
SAMN08321580,True,True,False
SAMN08321587,True,True,False
SAMN08321588,True,True,False
SAMN08321590,True,True,False
SAMN08321603,True,True,False
SAMN08321605,True,True,False
SAMN08321612,True,True,False
SAMN08321615,True,True,False
SAMN08321620,True,True,False
SAMN08321624,True,True,False
SAMN08321629,True,True,False
SAMN08321654,True,True,False
SAMN08321655,True,True,False
SAMN08321660,True,True,False
SAMN08321663,True,True,False
SAMN08321673,True,True,False
SAMN08321675,True,True,False
SAMN08321677,True,True,False
SAMN08321679,True,True,False
SAMN08321695,True,True,False
SAMN08321697,True,True,False
SAMN08321710,True,True,False
SAMN08321716,True,True,False
SAMN08321720,True,True,False
SAMN08321734,True,True,False
SAMN08321745,True,True,False
SAMN08321747,True,True,False
SAMN08321760,True,True,False
SAMN08321770,True,True,False
SAMN08321771,True,True,False
