id,id_type,in_logs,in_sample_list,location,mismatch
SAMN01985674,SAMN,True,True,first_column,False
SAMN01985676,SAMN,True,True,first_column,False
SAMN01985678,SAMN,True,True,first_column,False
SAMN01985679,SAMN,True,True,first_column,False
SAMN01985680,SAMN,True,True,first_column,False
SAMN01985681,SAMN,True,True,first_column,False
SAMN01985683,SAMN,True,True,first_column,False
SAMN01985684,SAMN,True,True,first_column,False
SAMN05861263,SAMN,True,True,first_column,False
SAMN05861266,SAMN,True,True,first_column,False
SAMN05861267,SAMN,True,True,first_column,False
SAMN05861273,SAMN,True,True,first_column,False
SAMN05861277,SAMN,True,True,first_column,False
SAMN05861287,SAMN,True,True,first_column,False
SAMN05861302,SAMN,True,True,first_column,False
SAMN05861320,SAMN,True,True,first_column,False
SAMN05861327,SAMN,True,True,first_column,False
SAMN05861329,SAMN,True,True,first_column,False
SAMN05861343,SAMN,True,True,first_column,False
SAMN05861355,SAMN,True,True,first_column,False
SAMN05861363,SAMN,True,True,first_column,False
SAMN05861368,SAMN,True,True,first_column,False
SAMN05861371,SAMN,True,True,first_column,False
SAMN05861382,SAMN,True,True,first_column,False
SAMN05861393,SAMN,True,True,first_column,False
SAMN05861396,SAMN,True,True,first_column,False
SAMN05861399,SAMN,True,True,first_column,False
SAMN05861416,SAMN,True,True,first_column,False
SAMN05861428,SAMN,True,True,first_column,False
SAMN05861429,SAMN,True,True,first_column,False
SAMN05861432,SAMN,True,True,first_column,False
SAMN05861435,SAMN,True,True,first_column,False
SAMN05861438,SAMN,True,True,first_column,False
SAMN05861440,SAMN,True,True,first_column,False
SAMN05861445,SAMN,True,True,first_column,False
SAMN05861450,SAMN,True,True,first_column,False
SAMN05861492,SAMN,True,True,first_column,False
SAMN05861508,SAMN,True,True,first_column,False
SAMN05861516,SAMN,True,True,first_column,False
SAMN05861531,SAMN,True,True,first_column,False
SAMN05861541,SAMN,True,True,first_column,False
SAMN05861547,SAMN,True,True,first_column,False
SAMN05861552,SAMN,True,True,first_column,False
SAMN05861564,SAMN,True,True,first_column,False
SAMN05861567,SAMN,True,True,first_column,False
SAMN05861572,SAMN,True,True,first_column,False
SAMN08321547,SAMN,True,True,first_column,False
SAMN08321554,SAMN,True,True,first_column,False
SAMN08321565,SAMN,True,True,first_column,False
SAMN08321566,SAMN,True,True,first_column,False
SAMN08321567,SAMN,True,True,first_column,False
SAMN08321569,SAMN,True,True,first_column,False
SAMN08321571,SAMN,True,True,first_column,False
SAMN08321572,SAMN,True,True,first_column,False
SAMN08321573,SAMN,True,True,first_column,False
SAMN08321574,SAMN,True,True,first_column,False
SAMN08321576,SAMN,True,True,first_column,False
SAMN08321577,SAMN,True,True,first_column,False
SAMN08321580,SAMN,True,True,first_column,False
SAMN08321587,SAMN,True,True,first_column,False
SAMN08321588,SAMN,True,True,first_column,False
SAMN08321590,SAMN,True,True,first_column,False
SAMN08321603,SAMN,True,True,first_column,False
SAMN08321605,SAMN,True,True,first_column,False
SAMN08321612,SAMN,True,True,first_column,False
SAMN08321615,SAMN,True,True,first_column,False
SAMN08321620,SAMN,True,True,first_column,False
SAMN08321624,SAMN,True,True,first_column,False
SAMN08321629,SAMN,True,True,first_column,False
SAMN08321654,SAMN,True,True,first_column,False
SAMN08321655,SAMN,True,True,first_column,False
SAMN08321660,SAMN,True,True,first_column,False
SAMN08321663,SAMN,True,True,first_column,False
SAMN08321673,SAMN,True,True,first_column,False
SAMN08321675,SAMN,True,True,first_column,False
SAMN08321677,SAMN,True,True,first_column,False
SAMN08321679,SAMN,True,True,first_column,False
SAMN08321695,SAMN,True,True,first_column,False
SAMN08321697,SAMN,True,True,first_column,False
