SAMN01985684	SRR791062_1.fastq.gz	SRR791062_2.fastq.gz
SAMN01985683	SRR791061_1.fastq.gz	SRR791061_2.fastq.gz
SAMN01985681	SRR791059_1.fastq.gz	SRR791059_2.fastq.gz
SAMN01985680	SRR791058_1.fastq.gz	SRR791058_2.fastq.gz
SAMN01985679	SRR791057_1.fastq.gz	SRR791057_2.fastq.gz
SAMN01985678	SRR791056_1.fastq.gz	SRR791056_2.fastq.gz
SAMN01985676	SRR791054_1.fastq.gz	SRR791054_2.fastq.gz
SAMN01985674	SRR791052_1.fastq.gz	SRR791052_2.fastq.gz
SAMN05861371	SRR4785455_1.fastq.gz	SRR4785455_2.fastq.gz
SAMN05861266	SRR4785454_1.fastq.gz	SRR4785454_2.fastq.gz
SAMN05861302	SRR4785453_1.fastq.gz	SRR4785453_2.fastq.gz
SAMN05861267	SRR4785452_1.fastq.gz	SRR4785452_2.fastq.gz
SAMN05861435	SRR4785451_1.fastq.gz	SRR4785451_2.fastq.gz
SAMN05861564	SRR4785450_1.fastq.gz	SRR4785450_2.fastq.gz
SAMN05861450	SRR4785449_1.fastq.gz	SRR4785449_2.fastq.gz
SAMN05861541	SRR4785448_1.fastq.gz	SRR4785448_2.fastq.gz
SAMN05861572	SRR4785447_1.fastq.gz	SRR4785447_2.fastq.gz
SAMN05861445	SRR4785446_1.fastq.gz	SRR4785446_2.fastq.gz
SAMN05861382	SRR4785445_1.fastq.gz	SRR4785445_2.fastq.gz
SAMN05861363	SRR4785444_1.fastq.gz	SRR4785444_2.fastq.gz
SAMN05861277	SRR4785443_1.fastq.gz	SRR4785443_2.fastq.gz
SAMN05861368	SRR4785442_1.fastq.gz	SRR4785442_2.fastq.gz
SAMN05861329	SRR4785441_1.fastq.gz	SRR4785441_2.fastq.gz
SAMN05861438	SRR4785440_1.fastq.gz	SRR4785440_2.fastq.gz
SAMN05861552	SRR4785439_1.fastq.gz	SRR4785439_2.fastq.gz
SAMN05861399	SRR4785438_1.fastq.gz	SRR4785438_2.fastq.gz
SAMN05861432	SRR4785437_1.fastq.gz	SRR4785437_2.fastq.gz
SAMN05861263	SRR4785436_1.fastq.gz	SRR4785436_2.fastq.gz
SAMN05861567	SRR4785435_1.fastq.gz	SRR4785435_2.fastq.gz
SAMN05861429	SRR4785434_1.fastq.gz	SRR4785434_2.fastq.gz
SAMN05861327	SRR4785433_1.fastq.gz	SRR4785433_2.fastq.gz
SAMN05861492	SRR4785432_1.fastq.gz	SRR4785432_2.fastq.gz
SAMN05861396	SRR4785431_1.fastq.gz	SRR4785431_2.fastq.gz
SAMN05861547	SRR4785430_1.fastq.gz	SRR4785430_2.fastq.gz
SAMN05861516	SRR4785429_1.fastq.gz	SRR4785429_2.fastq.gz
SAMN05861287	SRR4785428_1.fastq.gz	SRR4785428_2.fastq.gz
SAMN05861428	SRR4785427_1.fastq.gz	SRR4785427_2.fastq.gz
SAMN05861320	SRR4785426_1.fastq.gz	SRR4785426_2.fastq.gz
SAMN05861416	SRR4785425_1.fastq.gz	SRR4785425_2.fastq.gz
SAMN05861355	SRR4785424_1.fastq.gz	SRR4785424_2.fastq.gz
SAMN05861531	SRR4785423_1.fastq.gz	SRR4785423_2.fastq.gz
SAMN05861343	SRR4785422_1.fastq.gz	SRR4785422_2.fastq.gz
SAMN05861393	SRR4785421_1.fastq.gz	SRR4785421_2.fastq.gz
SAMN05861440	SRR4785420_1.fastq.gz	SRR4785420_2.fastq.gz
SAMN05861508	SRR4785419_1.fastq.gz	SRR4785419_2.fastq.gz
SAMN05861273	SRR4785418_1.fastq.gz	SRR4785418_2.fastq.gz
SAMN08321624	SRR6784737_1.fastq.gz	SRR6784737_2.fastq.gz
SAMN08321620	SRR6784736_1.fastq.gz	SRR6784736_2.fastq.gz
SAMN08321605	SRR6498565_1.fastq.gz	SRR6498565_2.fastq.gz
SAMN08321629	SRR6498562_1.fastq.gz	SRR6498562_2.fastq.gz
SAMN08321745	SRR6498559_1.fastq.gz	SRR6498559_2.fastq.gz
SAMN08321588	SRR6498557_1.fastq.gz	SRR6498557_2.fastq.gz
SAMN08321695	SRR6498555_1.fastq.gz	SRR6498555_2.fastq.gz
SAMN08321574	SRR6498552_1.fastq.gz	SRR6498552_2.fastq.gz
SAMN08321571	SRR6498549_1.fastq.gz	SRR6498549_2.fastq.gz
SAMN08321697	SRR6498545_1.fastq.gz	SRR6498545_2.fastq.gz
SAMN08321770	SRR6498542_1.fastq.gz	SRR6498542_2.fastq.gz
SAMN08321566	SRR6498538_1.fastq.gz	SRR6498538_2.fastq.gz
SAMN08321572	SRR6498535_1.fastq.gz	SRR6498535_2.fastq.gz
SAMN08321663	SRR6498531_1.fastq.gz	SRR6498531_2.fastq.gz
SAMN08321654	SRR6498528_1.fastq.gz	SRR6498528_2.fastq.gz
SAMN08321716	SRR6447580_1.fastq.gz	SRR6447580_2.fastq.gz
SAMN08321760	SRR6447575_1.fastq.gz	SRR6447575_2.fastq.gz
SAMN08321660	SRR6447573_1.fastq.gz	SRR6447573_2.fastq.gz
SAMN08321675	SRR6447571_1.fastq.gz	SRR6447571_2.fastq.gz
SAMN08321679	SRR6447569_1.fastq.gz	SRR6447569_2.fastq.gz
SAMN08321580	SRR6447567_1.fastq.gz	SRR6447567_2.fastq.gz
SAMN08321547	SRR6447565_1.fastq.gz	SRR6447565_2.fastq.gz
SAMN08321573	SRR6447563_1.fastq.gz	SRR6447563_2.fastq.gz
SAMN08321771	SRR6447560_1.fastq.gz	SRR6447560_2.fastq.gz
SAMN08321567	SRR6447558_1.fastq.gz	SRR6447558_2.fastq.gz
SAMN08321569	SRR6447556_1.fastq.gz	SRR6447556_2.fastq.gz
SAMN08321603	SRR6447554_1.fastq.gz	SRR6447554_2.fastq.gz
SAMN08321673	SRR6447552_1.fastq.gz	SRR6447552_2.fastq.gz
SAMN08321710	SRR6447550_1.fastq.gz	SRR6447550_2.fastq.gz
SAMN08321554	SRR6447518_1.fastq.gz	SRR6447518_2.fastq.gz
SAMN08321576	SRR6447478_1.fastq.gz	SRR6447478_2.fastq.gz
SAMN08321590	SRR6447476_1.fastq.gz	SRR6447476_2.fastq.gz
SAMN08321587	SRR6447474_1.fastq.gz	SRR6447474_2.fastq.gz
SAMN08321565	SRR6447472_1.fastq.gz	SRR6447472_2.fastq.gz
SAMN08321655	SRR6447467_1.fastq.gz	SRR6447467_2.fastq.gz
SAMN08321612	SRR6447465_1.fastq.gz	SRR6447465_2.fastq.gz
SAMN08321720	SRR6447462_1.fastq.gz	SRR6447462_2.fastq.gz
SAMN08321734	SRR6447460_1.fastq.gz	SRR6447460_2.fastq.gz
SAMN08321577	SRR6447458_1.fastq.gz	SRR6447458_2.fastq.gz
SAMN08321747	SRR6447450_1.fastq.gz	SRR6447450_2.fastq.gz
SAMN08321677	SRR6447448_1.fastq.gz	SRR6447448_2.fastq.gz
SAMN08321615	SRR6447437_1.fastq.gz	SRR6447437_2.fastq.gz
