sample_id,in_bam_dir,in_sample_list,mismatch
SAMN12744935,True,True,False
SAMN12744938,True,True,False
SAMN12744940,True,True,False
SAMN31468379,True,True,False
SAMN31468380,True,True,False
SAMN31468381,True,True,False
SAMN31468382,True,True,False
SAMN31468383,True,True,False
SAMN31468384,True,True,False
SAMN31468385,True,True,False
SAMN31468386,True,True,False
SAMN31468387,True,True,False
SAMN31468388,True,True,False
SAMN37551801,True,True,False
SAMN37551808,True,True,False
SAMN37551812,True,True,False
SAMN37551820,True,True,False
