id,id_type,in_logs,in_sample_list,location,mismatch
SAMN12744935,SAMN,True,True,first_column,False
SAMN12744938,SAMN,True,True,first_column,False
SAMN12744940,SAMN,True,True,first_column,False
SAMN31468379,SAMN,True,True,first_column,False
SAMN31468380,SAMN,True,True,first_column,False
SAMN31468381,SAMN,True,True,first_column,False
SAMN31468382,SAMN,True,True,first_column,False
SAMN31468383,SAMN,True,True,first_column,False
SAMN31468384,SAMN,True,True,first_column,False
SAMN31468385,SAMN,True,True,first_column,False
SAMN31468386,SAMN,True,True,first_column,False
SAMN31468387,SAMN,True,True,first_column,False
SAMN31468388,SAMN,True,True,first_column,False
SAMN37551801,SAMN,True,True,first_column,False
SAMN37551808,SAMN,True,True,first_column,False
SAMN37551812,SAMN,True,True,first_column,False
SAMN37551820,SAMN,True,True,first_column,False
SRR10116266,SRR,True,False,none,True
SRR10116268,SRR,True,False,none,True
SRR10116270,SRR,True,False,none,True
SRR123,SRR,True,False,none,True
SRR22060464,SRR,True,False,none,True
SRR22060465,SRR,True,False,none,True
SRR22060466,SRR,True,False,none,True
SRR22060467,SRR,True,False,none,True
SRR22060468,SRR,True,False,none,True
SRR22060469,SRR,True,False,none,True
SRR22060470,SRR,True,False,none,True
SRR22060471,SRR,True,False,none,True
SRR22060472,SRR,True,False,none,True
SRR22060476,SRR,True,False,none,True
SRR26186834,SRR,True,False,none,True
SRR26186840,SRR,True,False,none,True
SRR26186848,SRR,True,False,none,True
SRR26186851,SRR,True,False,none,True
