SAMN37551808	SRR26186834_1.fastq.gz	SRR26186834_2.fastq.gz
SAMN37551820	SRR26186840_1.fastq.gz	SRR26186840_2.fastq.gz
SAMN37551812	SRR26186848_1.fastq.gz	SRR26186848_2.fastq.gz
SAMN37551801	SRR26186851_1.fastq.gz	SRR26186851_2.fastq.gz
SAMN12744940	SRR10116266_1.fastq.gz	SRR10116266_2.fastq.gz
SAMN12744938	SRR10116268_1.fastq.gz	SRR10116268_2.fastq.gz
SAMN12744935	SRR10116270_1.fastq.gz	SRR10116270_2.fastq.gz
SAMN31468379	SRR22060464_1.fastq.gz	SRR22060464_2.fastq.gz
SAMN31468380	SRR22060465_1.fastq.gz	SRR22060465_2.fastq.gz
SAMN31468381	SRR22060466_1.fastq.gz	SRR22060466_2.fastq.gz
SAMN31468382	SRR22060467_1.fastq.gz	SRR22060467_2.fastq.gz
SAMN31468383	SRR22060468_1.fastq.gz	SRR22060468_2.fastq.gz
SAMN31468384	SRR22060469_1.fastq.gz	SRR22060469_2.fastq.gz
SAMN31468385	SRR22060470_1.fastq.gz	SRR22060470_2.fastq.gz
SAMN31468386	SRR22060471_1.fastq.gz	SRR22060471_2.fastq.gz
SAMN31468387	SRR22060472_1.fastq.gz	SRR22060472_2.fastq.gz
SAMN31468388	SRR22060476_1.fastq.gz	SRR22060476_2.fastq.gz
