sample_id,in_bam_dir,in_sample_list,mismatch
SAMN01760582,False,True,True
SAMN01760591,False,True,True
SAMN01760599,False,True,True
SAMN03296008,True,True,False
SAMN03296009,True,True,False
SAMN03296012,True,True,False
SAMN03753989,True,True,False
SAMN03753990,True,True,False
SAMN03753991,True,True,False
SAMN03753992,True,True,False
SAMN03753993,True,True,False
SAMN03753994,True,True,False
SAMN04306202,False,True,True
SAMN04306213,False,True,True
SAMN04306245,False,True,True
SAMN04306357,False,True,True
SAMN04306371,False,True,True
SAMN04306418,False,True,True
SAMN04306452,False,True,True
SAMN04306512,False,True,True
SAMN04306522,False,True,True
SAMN23605369,True,True,False
SAMN23605398,True,True,False
SAMN34355991,True,True,False
SAMN38701871,False,True,True
SAMN38703050,False,True,True
