srr_id,in_sample_list,in_LungLargeCell_SRA,in_LungLargeCell_SRA2,in_any_reference
SRR17120878,1,1,0,1
SRR17120901,1,1,0,1
SRR1777846,1,1,0,1
SRR1777866,1,1,0,1
SRR1777869,1,1,0,1
SRR2046423,1,1,0,1
SRR2046425,1,1,0,1
SRR2046426,1,1,0,1
SRR2046430,1,1,0,1
SRR2046431,1,1,0,1
SRR2046433,1,1,0,1
SRR24291673,1,1,0,1
SRR27933520,1,1,1,1
SRR27933665,1,1,1,1
SRR3214871,1,1,1,1
SRR3214899,1,1,1,1
SRR3214900,1,1,1,1
SRR3214901,1,1,1,1
SRR3214902,1,1,1,1
SRR3214903,1,1,1,1
SRR3214904,1,1,1,1
SRR3214905,1,1,1,1
SRR3214906,1,1,1,1
SRR923782,1,1,1,1
SRR923783,1,1,1,1
SRR923795,1,1,1,1
