id,id_type,in_logs,in_sample_list,location,mismatch
SAMN01760582,SAMN,True,True,first_column,False
SAMN01760591,SAMN,True,True,first_column,False
SAMN01760599,SAMN,True,True,first_column,False
SAMN03296008,SAMN,True,True,first_column,False
SAMN03296009,SAMN,True,True,first_column,False
SAMN03296012,SAMN,True,True,first_column,False
SAMN03753989,SAMN,True,True,first_column,False
SAMN03753990,SAMN,True,True,first_column,False
SAMN03753991,SAMN,True,True,first_column,False
SAMN03753992,SAMN,True,True,first_column,False
SAMN03753993,SAMN,True,True,first_column,False
SAMN03753994,SAMN,True,True,first_column,False
SAMN04306202,SAMN,True,True,first_column,False
SAMN04306213,SAMN,True,True,first_column,False
SAMN04306245,SAMN,True,True,first_column,False
SAMN04306357,SAMN,True,True,first_column,False
SAMN04306371,SAMN,True,True,first_column,False
SAMN04306418,SAMN,True,True,first_column,False
SAMN04306452,SAMN,True,True,first_column,False
SAMN04306512,SAMN,True,True,first_column,False
SAMN04306522,SAMN,True,True,first_column,False
SAMN23605369,SAMN,True,True,first_column,False
SAMN23605398,SAMN,True,True,first_column,False
SAMN34355991,SAMN,True,True,first_column,False
SAMN38701871,SAMN,True,True,first_column,False
SAMN38703050,SAMN,True,True,first_column,False
SRR17120878,SRR,True,False,none,True
SRR17120901,SRR,True,False,none,True
SRR1777846,SRR,True,False,none,True
SRR1777866,SRR,True,False,none,True
SRR1777869,SRR,True,False,none,True
SRR2046423,SRR,True,False,none,True
SRR2046425,SRR,True,False,none,True
SRR2046426,SRR,True,False,none,True
SRR2046430,SRR,True,False,none,True
SRR2046431,SRR,True,False,none,True
SRR2046433,SRR,True,False,none,True
SRR24291673,SRR,True,False,none,True
SRR27933520,SRR,True,False,none,True
SRR27933665,SRR,True,False,none,True
SRR3214871,SRR,True,False,none,True
SRR3214899,SRR,True,False,none,True
SRR3214900,SRR,True,False,none,True
SRR3214901,SRR,True,False,none,True
SRR3214902,SRR,True,False,none,True
SRR3214903,SRR,True,False,none,True
SRR3214904,SRR,True,False,none,True
SRR3214905,SRR,True,False,none,True
SRR3214906,SRR,True,False,none,True
SRR923782,SRR,True,False,none,True
SRR923783,SRR,True,False,none,True
SRR923795,SRR,True,False,none,True
