SAMN03296008	SRR1777846_1.fastq.gz	SRR1777846_2.fastq.gz
SAMN03296009	SRR1777866_1.fastq.gz	SRR1777866_2.fastq.gz
SAMN03296012	SRR1777869_1.fastq.gz	SRR1777869_2.fastq.gz
SAMN03753989	SRR2046423_1.fastq.gz	SRR2046423_2.fastq.gz
SAMN03753990	SRR2046425_1.fastq.gz	SRR2046425_2.fastq.gz
SAMN03753991	SRR2046426_1.fastq.gz	SRR2046426_2.fastq.gz
SAMN03753992	SRR2046430_1.fastq.gz	SRR2046430_2.fastq.gz
SAMN03753993	SRR2046431_1.fastq.gz	SRR2046431_2.fastq.gz
SAMN03753994	SRR2046433_1.fastq.gz	SRR2046433_2.fastq.gz
SAMN04306357	SRR3214871_1.fastq.gz	SRR3214871_2.fastq.gz
SAMN04306371	SRR3214899_1.fastq.gz	SRR3214899_2.fastq.gz
SAMN04306245	SRR3214900_1.fastq.gz	SRR3214900_2.fastq.gz
SAMN04306512	SRR3214901_1.fastq.gz	SRR3214901_2.fastq.gz
SAMN04306202	SRR3214902_1.fastq.gz	SRR3214902_2.fastq.gz
SAMN04306522	SRR3214903_1.fastq.gz	SRR3214903_2.fastq.gz
SAMN04306213	SRR3214904_1.fastq.gz	SRR3214904_2.fastq.gz
SAMN04306452	SRR3214905_1.fastq.gz	SRR3214905_2.fastq.gz
SAMN04306418	SRR3214906_1.fastq.gz	SRR3214906_2.fastq.gz
SAMN38703050	SRR27933520_1.fastq.gz	SRR27933520_2.fastq.gz
SAMN38701871	SRR27933665_1.fastq.gz	SRR27933665_2.fastq.gz
SAMN01760599	SRR923782_1.fastq.gz	SRR923782_2.fastq.gz
SAMN01760582	SRR923783_1.fastq.gz	SRR923783_2.fastq.gz
SAMN01760591	SRR923795_1.fastq.gz	SRR923795_2.fastq.gz
SAMN23605369	SRR17120878_1.fastq.gz	SRR17120878_2.fastq.gz
SAMN23605398	SRR17120901_1.fastq.gz	SRR17120901_2.fastq.gz
SAMN34355991	SRR24291673_1.fastq.gz	SRR24291673_2.fastq.gz
