sample_id,in_bam_dir,in_sample_list,mismatch
SAMN39203292,True,True,False
SAMN39203293,True,True,False
SAMN39203294,True,True,False
SAMN39203295,True,True,False
SAMN39203296,True,True,False
SAMN39203297,True,True,False
SAMN39203298,True,True,False
SAMN39203299,True,True,False
SAMN39203300,True,True,False
SAMN39203301,True,True,False
SAMN39203302,True,True,False
SAMN39203303,True,True,False
SAMN39203304,True,True,False
SAMN39203305,True,True,False
SAMN39203306,True,True,False
SAMN39203307,True,True,False
SAMN39203308,True,True,False
SAMN39203309,True,True,False
SAMN39203310,True,True,False
SAMN39203311,True,True,False
SAMN39203312,True,True,False
SAMN39203313,True,True,False
SAMN39203314,True,True,False
SAMN39203315,True,True,False
SAMN39203316,True,True,False
SAMN39203317,True,True,False
SAMN39203318,True,True,False
SAMN39203319,True,True,False
SAMN39203320,True,True,False
SAMN39203321,True,True,False
SAMN39203322,True,True,False
SAMN39203323,True,True,False
SAMN39203324,True,True,False
SAMN39203325,True,True,False
SAMN39203326,True,True,False
SAMN39203327,True,True,False
SAMN39203328,True,True,False
SAMN39203329,True,True,False
SAMN39203330,True,True,False
SAMN39203331,True,True,False
SAMN39203332,True,True,False
SAMN39203333,True,True,False
SAMN39203334,True,True,False
SAMN39203335,True,True,False
SAMN39203336,True,True,False
SAMN39203337,True,True,False
SAMN39203338,True,True,False
SAMN39203339,True,True,False
SAMN39203340,True,True,False
SAMN39203341,True,True,False
SAMN39203342,True,True,False
SAMN39203343,True,True,False
SAMN39203344,True,True,False
SAMN39203345,True,True,False
SAMN39203346,True,True,False
SAMN39203347,True,True,False
SAMN39203348,True,True,False
SAMN39203349,True,True,False
SAMN39203350,True,True,False
SAMN39203351,True,True,False
SAMN39203352,True,True,False
SAMN39203353,True,True,False
SAMN39203354,True,True,False
SAMN39203355,True,True,False
SAMN39203356,True,True,False
SAMN39203357,True,True,False
SAMN39203358,True,True,False
SAMN39203359,True,True,False
SAMN39203360,True,True,False
SAMN39203361,True,True,False
SAMN39203362,True,True,False
SAMN39203363,True,True,False
SAMN39203364,True,True,False
SAMN39203365,True,True,False
SAMN39203366,True,True,False
SAMN39203367,True,True,False
SAMN39203368,True,True,False
SAMN39203369,True,True,False
SAMN39203370,True,True,False
SAMN39203371,True,True,False
SAMN39203372,True,True,False
SAMN39203373,True,True,False
SAMN39203374,True,True,False
SAMN39203375,True,True,False
SAMN39203376,True,True,False
SAMN39203377,True,True,False
SAMN39203378,True,True,False
SAMN39203379,True,True,False
SAMN39203380,True,True,False
SAMN39203381,True,True,False
SAMN39203382,True,True,False
SAMN39203383,True,True,False
SAMN39203384,True,True,False
SAMN39203385,True,True,False
SAMN39203386,True,True,False
SAMN39203387,True,True,False
SAMN39203388,True,True,False
SAMN39203389,True,True,False
SAMN39203390,True,True,False
SAMN39203391,True,True,False
SAMN39203392,True,True,False
SAMN39203393,True,True,False
SAMN39203394,True,True,False
SAMN39203395,True,True,False
SAMN39203396,True,True,False
SAMN39203397,True,True,False
SAMN39203398,True,True,False
SAMN39203399,True,True,False
SAMN39203400,True,True,False
SAMN39203401,True,True,False
SAMN39203402,False,True,True
SAMN39203403,True,True,False
SAMN39203404,True,True,False
SAMN39203405,True,True,False
SAMN39203406,True,True,False
SAMN39203407,True,True,False
SAMN39203408,True,True,False
SAMN39203409,True,True,False
SAMN39203410,True,True,False
SAMN39203411,True,True,False
SAMN39203412,True,True,False
SAMN39203413,True,True,False
SAMN39203414,True,True,False
SAMN39203415,True,True,False
SAMN39203416,True,True,False
SAMN39203417,True,True,False
SAMN39203418,True,True,False
SAMN39203419,True,True,False
SAMN39203420,True,True,False
SAMN39203421,True,True,False
SAMN39203422,True,True,False
SAMN39203423,True,True,False
SAMN39203424,True,True,False
SAMN39203425,True,True,False
SAMN39203426,True,True,False
SAMN39203427,True,True,False
SAMN39203428,True,True,False
SAMN39203429,True,True,False
SAMN39203430,True,True,False
SAMN39203431,True,True,False
SAMN39203432,True,True,False
SAMN39203433,False,True,True
SAMN39203434,True,True,False
SAMN39203435,True,True,False
SAMN39203436,True,True,False
SAMN39203437,True,True,False
SAMN39203438,True,True,False
SAMN39203439,True,True,False
SAMN39203440,True,True,False
SAMN39203441,True,True,False
SAMN39203442,True,True,False
SAMN39203443,True,True,False
SAMN39203444,True,True,False
SAMN39203445,True,True,False
SAMN39203446,False,True,True
SAMN39203447,True,True,False
SAMN39203448,True,True,False
SAMN39203449,True,True,False
SAMN39203450,True,True,False
SAMN39203451,False,True,True
SAMN39203452,True,True,False
SAMN39203453,True,True,False
SAMN39203454,True,True,False
SAMN39203455,True,True,False
SAMN39203456,True,True,False
SAMN39203457,True,True,False
SAMN39203458,True,True,False
SAMN39203459,False,True,True
SAMN39203460,True,True,False
SAMN39203461,True,True,False
SAMN39203462,True,True,False
SAMN39203463,True,True,False
SAMN39203464,True,True,False
SAMN39203465,True,True,False
SAMN39203466,True,True,False
SAMN39203467,True,True,False
SAMN39203468,True,True,False
SAMN39203469,True,True,False
SAMN39203470,True,True,False
