id,id_type,in_logs,in_sample_list,location,mismatch
SAMN39203292,SAMN,True,True,first_column,False
SAMN39203293,SAMN,True,True,first_column,False
SAMN39203294,SAMN,True,True,first_column,False
SAMN39203295,SAMN,True,True,first_column,False
SAMN39203296,SAMN,True,True,first_column,False
SAMN39203297,SAMN,True,True,first_column,False
SAMN39203298,SAMN,True,True,first_column,False
SAMN39203299,SAMN,True,True,first_column,False
SAMN39203300,SAMN,True,True,first_column,False
SAMN39203301,SAMN,True,True,first_column,False
SAMN39203302,SAMN,True,True,first_column,False
SAMN39203303,SAMN,True,True,first_column,False
SAMN39203304,SAMN,True,True,first_column,False
SAMN39203305,SAMN,True,True,first_column,False
SAMN39203306,SAMN,True,True,first_column,False
SAMN39203307,SAMN,True,True,first_column,False
SAMN39203308,SAMN,True,True,first_column,False
SAMN39203309,SAMN,True,True,first_column,False
SAMN39203310,SAMN,True,True,first_column,False
SAMN39203311,SAMN,True,True,first_column,False
SAMN39203312,SAMN,True,True,first_column,False
SAMN39203313,SAMN,True,True,first_column,False
SAMN39203314,SAMN,True,True,first_column,False
SAMN39203315,SAMN,True,True,first_column,False
SAMN39203316,SAMN,True,True,first_column,False
SAMN39203317,SAMN,True,True,first_column,False
SAMN39203318,SAMN,True,True,first_column,False
SAMN39203319,SAMN,True,True,first_column,False
SAMN39203320,SAMN,True,True,first_column,False
SAMN39203321,SAMN,True,True,first_column,False
SAMN39203322,SAMN,True,True,first_column,False
SAMN39203323,SAMN,True,True,first_column,False
SAMN39203324,SAMN,True,True,first_column,False
SAMN39203325,SAMN,True,True,first_column,False
SAMN39203326,SAMN,True,True,first_column,False
SAMN39203327,SAMN,True,True,first_column,False
SAMN39203328,SAMN,True,True,first_column,False
SAMN39203329,SAMN,True,True,first_column,False
SAMN39203330,SAMN,True,True,first_column,False
SAMN39203331,SAMN,True,True,first_column,False
SAMN39203332,SAMN,True,True,first_column,False
SAMN39203333,SAMN,True,True,first_column,False
SAMN39203334,SAMN,True,True,first_column,False
SAMN39203335,SAMN,True,True,first_column,False
SAMN39203336,SAMN,True,True,first_column,False
SAMN39203337,SAMN,True,True,first_column,False
SAMN39203338,SAMN,True,True,first_column,False
SAMN39203339,SAMN,True,True,first_column,False
SAMN39203340,SAMN,True,True,first_column,False
SAMN39203341,SAMN,True,True,first_column,False
SAMN39203342,SAMN,True,True,first_column,False
SAMN39203343,SAMN,True,True,first_column,False
SAMN39203344,SAMN,True,True,first_column,False
SAMN39203345,SAMN,True,True,first_column,False
SAMN39203346,SAMN,True,True,first_column,False
SAMN39203347,SAMN,True,True,first_column,False
SAMN39203348,SAMN,True,True,first_column,False
SAMN39203349,SAMN,True,True,first_column,False
SAMN39203350,SAMN,True,True,first_column,False
SAMN39203351,SAMN,True,True,first_column,False
SAMN39203352,SAMN,True,True,first_column,False
SAMN39203353,SAMN,True,True,first_column,False
SAMN39203354,SAMN,True,True,first_column,False
SAMN39203355,SAMN,True,True,first_column,False
SAMN39203356,SAMN,True,True,first_column,False
SAMN39203357,SAMN,True,True,first_column,False
SAMN39203358,SAMN,True,True,first_column,False
SAMN39203359,SAMN,True,True,first_column,False
SAMN39203360,SAMN,True,True,first_column,False
SAMN39203361,SAMN,True,True,first_column,False
SAMN39203362,SAMN,True,True,first_column,False
SAMN39203363,SAMN,True,True,first_column,False
SAMN39203364,SAMN,True,True,first_column,False
SAMN39203365,SAMN,True,True,first_column,False
SAMN39203366,SAMN,True,True,first_column,False
SAMN39203367,SAMN,True,True,first_column,False
SAMN39203368,SAMN,True,True,first_column,False
SAMN39203369,SAMN,True,True,first_column,False
SAMN39203370,SAMN,True,True,first_column,False
SAMN39203371,SAMN,True,True,first_column,False
SAMN39203372,SAMN,True,True,first_column,False
SAMN39203373,SAMN,True,True,first_column,False
SAMN39203374,SAMN,True,True,first_column,False
SAMN39203375,SAMN,True,True,first_column,False
SAMN39203376,SAMN,True,True,first_column,False
SAMN39203377,SAMN,True,True,first_column,False
SAMN39203378,SAMN,True,True,first_column,False
SAMN39203379,SAMN,True,True,first_column,False
SAMN39203380,SAMN,True,True,first_column,False
SAMN39203381,SAMN,True,True,first_column,False
SAMN39203382,SAMN,True,True,first_column,False
SAMN39203383,SAMN,True,True,first_column,False
SAMN39203384,SAMN,True,True,first_column,False
SAMN39203385,SAMN,True,True,first_column,False
SAMN39203386,SAMN,True,True,first_column,False
SAMN39203387,SAMN,True,True,first_column,False
SAMN39203388,SAMN,True,True,first_column,False
SAMN39203389,SAMN,True,True,first_column,False
SAMN39203390,SAMN,True,True,first_column,False
SAMN39203391,SAMN,True,True,first_column,False
SAMN39203392,SAMN,True,True,first_column,False
SAMN39203393,SAMN,True,True,first_column,False
SAMN39203394,SAMN,True,True,first_column,False
SAMN39203395,SAMN,True,True,first_column,False
SAMN39203396,SAMN,True,True,first_column,False
SAMN39203397,SAMN,True,True,first_column,False
SAMN39203398,SAMN,True,True,first_column,False
SAMN39203399,SAMN,True,True,first_column,False
SAMN39203400,SAMN,True,True,first_column,False
SAMN39203401,SAMN,True,True,first_column,False
SAMN39203402,SAMN,True,True,first_column,False
SAMN39203403,SAMN,True,True,first_column,False
SAMN39203404,SAMN,True,True,first_column,False
SAMN39203405,SAMN,True,True,first_column,False
SAMN39203406,SAMN,True,True,first_column,False
SAMN39203407,SAMN,True,True,first_column,False
SAMN39203408,SAMN,True,True,first_column,False
SAMN39203409,SAMN,True,True,first_column,False
SAMN39203410,SAMN,True,True,first_column,False
SAMN39203411,SAMN,True,True,first_column,False
SAMN39203412,SAMN,True,True,first_column,False
SAMN39203413,SAMN,True,True,first_column,False
SAMN39203414,SAMN,True,True,first_column,False
SAMN39203415,SAMN,True,True,first_column,False
SAMN39203416,SAMN,True,True,first_column,False
SAMN39203417,SAMN,True,True,first_column,False
SAMN39203418,SAMN,True,True,first_column,False
SAMN39203419,SAMN,True,True,first_column,False
SAMN39203420,SAMN,True,True,first_column,False
SAMN39203421,SAMN,True,True,first_column,False
SAMN39203422,SAMN,True,True,first_column,False
SAMN39203423,SAMN,True,True,first_column,False
SAMN39203424,SAMN,True,True,first_column,False
SAMN39203425,SAMN,True,True,first_column,False
SAMN39203426,SAMN,True,True,first_column,False
SAMN39203427,SAMN,True,True,first_column,False
SAMN39203428,SAMN,True,True,first_column,False
SAMN39203429,SAMN,True,True,first_column,False
SAMN39203430,SAMN,True,True,first_column,False
SAMN39203431,SAMN,True,True,first_column,False
SAMN39203432,SAMN,True,True,first_column,False
SAMN39203433,SAMN,True,True,first_column,False
SAMN39203434,SAMN,True,True,first_column,False
SAMN39203435,SAMN,True,True,first_column,False
SAMN39203436,SAMN,True,True,first_column,False
SAMN39203437,SAMN,True,True,first_column,False
SAMN39203438,SAMN,True,True,first_column,False
SAMN39203439,SAMN,True,True,first_column,False
SAMN39203440,SAMN,True,True,first_column,False
