sample_id,in_bam_dir,in_sample_list,mismatch
SAMN19927034,True,False,True
SAMN19927036,True,False,True
SAMN19927038,True,False,True
SAMN19927042,True,False,True
SAMN19927050,True,False,True
SAMN19927053,True,False,True
SAMN19927065,True,False,True
SAMN19927067,True,False,True
SAMN19927071,True,False,True
SAMN19927077,True,False,True
SAMN19927087,True,False,True
SAMN19927091,True,False,True
SAMN19927094,True,True,False
SAMN19927095,True,False,True
SAMN19927102,True,False,True
SAMN19927103,True,False,True
SAMN19927107,True,False,True
SAMN19927110,True,False,True
SAMN19927118,True,False,True
SAMN19927119,True,False,True
SAMN19927121,True,False,True
SAMN19927124,True,False,True
SAMN19927126,True,False,True
SAMN19927130,True,False,True
SAMN19927138,True,True,False
SAMN19927140,True,False,True
SAMN19927153,True,False,True
SAMN19927155,True,False,True
SAMN19927156,True,False,True
SAMN19927158,True,False,True
SAMN19927159,True,False,True
SAMN19927160,True,False,True
SAMN19927162,True,False,True
SAMN19927164,True,False,True
SAMN19927169,True,False,True
SAMN19927171,True,True,False
SAMN19927174,True,False,True
SAMN19927179,True,False,True
SAMN19927180,True,True,False
SAMN19927195,True,False,True
SAMN19927199,True,False,True
SAMN19927201,True,False,True
SAMN19927206,True,False,True
SAMN19927209,True,True,False
SAMN19927213,True,False,True
SAMN19927228,True,False,True
SAMN19927230,True,True,False
SAMN19927237,True,True,False
SAMN19927238,True,False,True
SAMN19927242,True,False,True
SAMN19927251,True,False,True
SAMN19927252,True,False,True
SAMN19927254,True,False,True
SAMN19927255,True,False,True
SAMN19927258,True,False,True
SAMN19927262,True,True,False
SAMN19927267,True,False,True
SAMN19927270,True,False,True
SAMN19927271,True,False,True
SAMN19927272,True,False,True
SAMN19927275,True,True,False
SAMN19927276,True,False,True
SAMN19927282,True,False,True
SAMN19927283,True,False,True
SAMN19927288,True,False,True
SAMN19927289,True,False,True
SAMN19927292,True,False,True
SAMN19927295,True,False,True
SAMN19927296,True,False,True
SAMN19927300,True,False,True
SAMN19927304,True,False,True
SAMN19927305,True,False,True
SAMN19927306,True,False,True
SAMN19927307,True,False,True
SAMN19927310,True,False,True
SAMN19927311,True,False,True
SAMN19927322,True,False,True
SAMN19927325,True,False,True
SAMN19927330,True,False,True
SAMN19927331,True,False,True
SAMN19927336,True,False,True
SAMN19927337,True,False,True
SAMN19927338,True,True,False
SAMN19927339,True,True,False
SAMN19927342,True,False,True
SAMN19927349,True,False,True
SAMN19927353,True,False,True
SAMN19927356,True,False,True
SAMN19927357,True,False,True
SAMN19927359,True,False,True
SAMN19927361,True,False,True
SAMN19927362,True,False,True
SAMN19927367,True,False,True
SAMN19927368,True,False,True
SAMN19927369,True,False,True
SAMN19927376,True,False,True
SAMN19927380,True,False,True
SAMN19927388,True,False,True
SAMN19927399,True,False,True
SAMN28045532,True,True,False
SAMN38147345,True,False,True
SAMN38147346,True,False,True
SAMN38147347,True,False,True
SAMN38147348,True,False,True
SAMN38147349,True,False,True
SAMN38147350,True,False,True
SAMN38147351,True,False,True
SAMN38147352,True,False,True
SAMN38147353,True,False,True
SAMN38147354,True,False,True
SAMN38147355,True,False,True
SAMN38147356,True,False,True
SAMN38147357,True,False,True
SAMN38147358,True,False,True
SAMN38147359,True,False,True
SAMN38147360,True,False,True
SAMN38147361,True,False,True
SAMN38147362,True,False,True
SAMN38147363,True,False,True
SAMN38147364,True,False,True
SAMN38147365,True,False,True
SAMN38147366,True,False,True
SAMN38147367,True,False,True
SAMN38147368,True,False,True
SAMN38147370,True,False,True
SAMN38147371,True,False,True
SAMN38147372,True,False,True
SAMN38147373,True,False,True
SAMN38147375,True,False,True
SAMN38147376,True,False,True
SAMN38147377,True,False,True
SAMN38147378,True,False,True
SAMN38147379,True,False,True
SAMN38147380,True,False,True
SAMN38147381,True,False,True
SAMN38147382,True,False,True
SAMN38147383,True,False,True
SAMN38147384,True,False,True
SAMN38147385,True,False,True
SAMN38147386,True,False,True
SAMN38147387,True,False,True
SAMN38147388,True,False,True
SAMN38147389,True,False,True
SAMN38147390,True,False,True
SAMN38147391,True,False,True
SAMN38147392,True,False,True
SAMN38147393,True,False,True
SAMN38147394,True,False,True
SAMN38147395,True,False,True
SAMN38147396,True,False,True
SAMN38147397,True,False,True
SAMN38147398,True,False,True
SAMN38147399,True,False,True
SAMN38147400,True,False,True
SAMN38147401,True,False,True
SAMN38147402,True,False,True
SAMN38147403,True,False,True
SAMN38147405,True,False,True
SAMN38147406,True,False,True
SAMN38147407,True,False,True
SAMN38147408,True,False,True
SAMN38147409,True,False,True
SAMN38147410,True,False,True
SAMN38147412,True,False,True
SAMN38147413,True,False,True
SAMN38147414,True,False,True
SAMN38147415,True,False,True
SAMN38147416,True,False,True
SAMN38147417,True,False,True
SAMN38147418,True,False,True
SAMN38147419,True,False,True
SAMN38147420,True,False,True
SAMN38147421,True,False,True
SAMN38147422,True,False,True
SAMN43210534,True,False,True
SAMN43210535,True,False,True
SAMN43210536,True,False,True
SAMN43210537,True,False,True
SAMN43210538,True,False,True
SAMN43210539,True,False,True
SAMN43210540,True,False,True
SAMN43210541,True,False,True
SAMN43210542,True,False,True
SAMN43210543,True,False,True
SAMN43210544,True,False,True
SAMN43210545,True,False,True
SAMN43210546,True,False,True
SAMN43210548,True,False,True
SAMN43210549,True,False,True
SAMN43210550,True,False,True
SAMN43274491,True,False,True
