id,id_type,in_logs,in_sample_list,location,mismatch
SAMN19927034,SAMN,True,True,first_column,False
SAMN19927036,SAMN,True,True,first_column,False
SAMN19927038,SAMN,True,True,first_column,False
SAMN19927042,SAMN,True,True,first_column,False
SAMN19927050,SAMN,True,True,first_column,False
SAMN19927053,SAMN,True,True,first_column,False
SAMN19927065,SAMN,True,True,first_column,False
SAMN19927067,SAMN,True,True,first_column,False
SAMN19927071,SAMN,True,True,first_column,False
SAMN19927077,SAMN,True,True,first_column,False
SAMN19927087,SAMN,True,True,first_column,False
SAMN19927091,SAMN,True,True,first_column,False
SAMN19927094,SAMN,True,True,first_column,False
SAMN19927095,SAMN,True,True,first_column,False
SAMN19927102,SAMN,True,True,first_column,False
SAMN19927103,SAMN,True,True,first_column,False
SAMN19927107,SAMN,True,True,first_column,False
SAMN19927110,SAMN,True,True,first_column,False
SAMN19927118,SAMN,True,True,first_column,False
SAMN19927119,SAMN,True,True,first_column,False
SAMN19927121,SAMN,True,True,first_column,False
SAMN19927124,SAMN,True,True,first_column,False
SAMN19927126,SAMN,True,True,first_column,False
SAMN19927130,SAMN,True,True,first_column,False
SAMN19927138,SAMN,True,True,first_column,False
SAMN19927140,SAMN,True,True,first_column,False
SAMN19927153,SAMN,True,True,first_column,False
SAMN19927155,SAMN,True,True,first_column,False
SAMN19927156,SAMN,True,True,first_column,False
SAMN19927158,SAMN,True,True,first_column,False
SAMN19927159,SAMN,True,True,first_column,False
SAMN19927160,SAMN,True,True,first_column,False
SAMN19927162,SAMN,True,True,first_column,False
SAMN19927164,SAMN,True,True,first_column,False
SAMN19927169,SAMN,True,True,first_column,False
SAMN19927171,SAMN,True,True,first_column,False
SAMN19927174,SAMN,True,True,first_column,False
SAMN19927179,SAMN,True,True,first_column,False
SAMN19927180,SAMN,True,True,first_column,False
SAMN19927195,SAMN,True,True,first_column,False
SAMN19927199,SAMN,True,True,first_column,False
SAMN19927201,SAMN,True,True,first_column,False
SAMN19927206,SAMN,True,True,first_column,False
SAMN19927209,SAMN,True,True,first_column,False
SAMN19927213,SAMN,True,True,first_column,False
SAMN19927228,SAMN,True,True,first_column,False
SAMN19927230,SAMN,True,True,first_column,False
SAMN19927237,SAMN,True,True,first_column,False
SAMN19927238,SAMN,True,True,first_column,False
SAMN19927242,SAMN,True,True,first_column,False
SAMN19927251,SAMN,True,True,first_column,False
SAMN19927252,SAMN,True,True,first_column,False
SAMN19927254,SAMN,True,True,first_column,False
SAMN19927255,SAMN,True,True,first_column,False
SAMN19927258,SAMN,True,True,first_column,False
SAMN19927262,SAMN,True,True,first_column,False
SAMN19927267,SAMN,True,True,first_column,False
SAMN19927270,SAMN,True,True,first_column,False
SAMN19927271,SAMN,True,True,first_column,False
SAMN19927272,SAMN,True,True,first_column,False
SAMN19927275,SAMN,True,True,first_column,False
SAMN19927276,SAMN,True,True,first_column,False
SAMN19927282,SAMN,True,True,first_column,False
SAMN19927283,SAMN,True,True,first_column,False
SAMN19927288,SAMN,True,True,first_column,False
SAMN19927289,SAMN,True,True,first_column,False
SAMN19927292,SAMN,True,True,first_column,False
SAMN19927295,SAMN,True,True,first_column,False
SAMN19927296,SAMN,True,True,first_column,False
SAMN19927300,SAMN,True,True,first_column,False
SAMN19927304,SAMN,True,True,first_column,False
SAMN19927305,SAMN,True,True,first_column,False
SAMN19927306,SAMN,True,True,first_column,False
SAMN19927307,SAMN,True,True,first_column,False
SAMN19927310,SAMN,True,True,first_column,False
SAMN19927311,SAMN,True,True,first_column,False
SAMN19927322,SAMN,True,True,first_column,False
SAMN19927325,SAMN,True,True,first_column,False
SAMN19927330,SAMN,True,True,first_column,False
SAMN19927331,SAMN,True,True,first_column,False
SAMN19927336,SAMN,True,True,first_column,False
SAMN19927337,SAMN,True,True,first_column,False
SAMN19927338,SAMN,True,True,first_column,False
SAMN19927339,SAMN,True,True,first_column,False
SAMN19927342,SAMN,True,True,first_column,False
SAMN19927349,SAMN,True,True,first_column,False
SAMN19927353,SAMN,True,True,first_column,False
SAMN19927356,SAMN,True,True,first_column,False
SAMN19927357,SAMN,True,True,first_column,False
SAMN19927359,SAMN,True,True,first_column,False
SAMN19927361,SAMN,True,True,first_column,False
SAMN19927362,SAMN,True,True,first_column,False
SAMN19927367,SAMN,True,True,first_column,False
SAMN19927368,SAMN,True,True,first_column,False
SAMN19927369,SAMN,True,True,first_column,False
SAMN19927376,SAMN,True,True,first_column,False
SAMN19927380,SAMN,True,True,first_column,False
SAMN19927388,SAMN,True,True,first_column,False
SAMN19927399,SAMN,True,True,first_column,False
SAMN28045532,SAMN,True,True,first_column,False
SAMN38147345,SAMN,True,True,first_column,False
SAMN38147346,SAMN,True,True,first_column,False
SAMN38147347,SAMN,True,True,first_column,False
SAMN38147348,SAMN,True,True,first_column,False
SAMN38147349,SAMN,True,True,first_column,False
SAMN38147350,SAMN,True,True,first_column,False
SAMN38147351,SAMN,True,True,first_column,False
SAMN38147352,SAMN,True,True,first_column,False
SAMN38147353,SAMN,True,True,first_column,False
SAMN38147354,SAMN,True,True,first_column,False
SAMN38147355,SAMN,True,True,first_column,False
SAMN38147356,SAMN,True,True,first_column,False
SAMN38147357,SAMN,True,True,first_column,False
SAMN38147358,SAMN,True,True,first_column,False
SAMN38147359,SAMN,True,True,first_column,False
SAMN38147360,SAMN,True,True,first_column,False
SAMN38147361,SAMN,True,True,first_column,False
SAMN38147362,SAMN,True,True,first_column,False
SAMN38147363,SAMN,True,True,first_column,False
SAMN38147364,SAMN,True,True,first_column,False
SAMN38147365,SAMN,True,True,first_column,False
SAMN38147366,SAMN,True,True,first_column,False
SAMN38147367,SAMN,True,True,first_column,False
SAMN38147368,SAMN,True,True,first_column,False
SAMN38147369,SAMN,True,False,none,True
SAMN38147370,SAMN,True,True,first_column,False
SAMN38147371,SAMN,True,True,first_column,False
SAMN38147372,SAMN,True,True,first_column,False
SAMN38147373,SAMN,True,True,first_column,False
SAMN38147374,SAMN,True,False,none,True
SAMN38147375,SAMN,True,True,first_column,False
SAMN38147376,SAMN,True,True,first_column,False
SAMN38147377,SAMN,True,True,first_column,False
SAMN38147378,SAMN,True,True,first_column,False
SAMN38147379,SAMN,True,True,first_column,False
SAMN38147380,SAMN,True,True,first_column,False
SAMN38147381,SAMN,True,True,first_column,False
SAMN38147382,SAMN,True,True,first_column,False
SAMN38147383,SAMN,True,True,first_column,False
SAMN38147384,SAMN,True,True,first_column,False
SAMN38147385,SAMN,True,True,first_column,False
SAMN38147386,SAMN,True,True,first_column,False
SAMN38147387,SAMN,True,True,first_column,False
SAMN38147388,SAMN,True,True,first_column,False
SAMN38147389,SAMN,True,True,first_column,False
SAMN38147390,SAMN,True,True,first_column,False
SAMN38147391,SAMN,True,True,first_column,False
SAMN38147392,SAMN,True,True,first_column,False
SAMN38147393,SAMN,True,True,first_column,False
SAMN38147394,SAMN,True,True,first_column,False
SAMN38147395,SAMN,True,True,first_column,False
SAMN38147396,SAMN,True,True,first_column,False
SAMN38147397,SAMN,True,True,first_column,False
SAMN38147398,SAMN,True,True,first_column,False
SAMN38147399,SAMN,True,True,first_column,False
SAMN38147400,SAMN,True,True,first_column,False
SAMN38147401,SAMN,True,True,first_column,False
SAMN38147402,SAMN,True,True,first_column,False
SAMN38147403,SAMN,True,True,first_column,False
SAMN38147404,SAMN,True,False,none,True
SAMN38147405,SAMN,True,True,first_column,False
SAMN38147406,SAMN,True,True,first_column,False
SAMN38147407,SAMN,True,True,first_column,False
SAMN38147408,SAMN,True,True,first_column,False
SAMN38147409,SAMN,True,True,first_column,False
SAMN38147410,SAMN,True,True,first_column,False
SAMN38147411,SAMN,True,False,none,True
SAMN38147412,SAMN,True,True,first_column,False
SAMN38147413,SAMN,True,True,first_column,False
SAMN38147414,SAMN,True,True,first_column,False
SAMN38147415,SAMN,True,True,first_column,False
SAMN38147416,SAMN,True,True,first_column,False
SAMN38147417,SAMN,True,True,first_column,False
SAMN38147418,SAMN,True,True,first_column,False
SAMN38147419,SAMN,True,True,first_column,False
SAMN38147420,SAMN,True,True,first_column,False
SAMN38147421,SAMN,True,True,first_column,False
SAMN38147422,SAMN,True,True,first_column,False
SAMN43210534,SAMN,True,True,first_column,False
SAMN43210535,SAMN,True,True,first_column,False
SAMN43210536,SAMN,True,True,first_column,False
SAMN43210537,SAMN,True,True,first_column,False
SAMN43210538,SAMN,True,True,first_column,False
SAMN43210539,SAMN,True,True,first_column,False
SAMN43210540,SAMN,True,True,first_column,False
SAMN43210541,SAMN,True,True,first_column,False
SAMN43210542,SAMN,True,True,first_column,False
SAMN43210543,SAMN,True,True,first_column,False
SAMN43210544,SAMN,True,True,first_column,False
SAMN43210545,SAMN,True,True,first_column,False
SAMN43210546,SAMN,True,True,first_column,False
SAMN43210548,SAMN,True,True,first_column,False
SAMN43210549,SAMN,True,True,first_column,False
SAMN43210550,SAMN,True,True,first_column,False
SAMN43274491,SAMN,True,True,first_column,False
SRR18543964,SRR,True,False,none,True
SRR18543969,SRR,True,False,none,True
SRR18543972,SRR,True,False,none,True
SRR18543981,SRR,True,False,none,True
SRR18543984,SRR,True,False,none,True
SRR18543987,SRR,True,False,none,True
SRR18543990,SRR,True,False,none,True
SRR18543993,SRR,True,False,none,True
SRR18543996,SRR,True,False,none,True
SRR18543999,SRR,True,False,none,True
SRR18544005,SRR,True,False,none,True
