sample_id,in_bam_dir,in_sample_list,mismatch
SAMEA104561905,True,False,True
SAMEA104561909,True,False,True
SAMEA104561911,True,False,True
SAMEA104561912,True,False,True
SAMEA104561914,True,True,False
SAMEA104561916,True,False,True
SAMEA104561918,True,True,False
SAMEA104561919,True,False,True
SAMEA104561920,True,True,False
SAMEA104561921,True,False,True
SAMEA104561922,True,False,True
SAMEA104561923,True,False,True
SAMEA104561924,True,False,True
SAMEA104561926,True,False,True
SAMEA104561927,True,False,True
SAMEA104561928,True,False,True
SAMEA104561929,True,False,True
SAMEA104561930,True,False,True
SAMEA104561931,True,False,True
SAMEA104561932,True,True,False
SAMEA104561933,True,True,False
SAMEA104561934,True,False,True
SAMEA104561935,True,False,True
SAMEA104561936,True,False,True
SAMEA104561937,False,True,True
SAMEA104561938,True,False,True
SAMEA104561939,True,True,False
SAMEA104561940,True,False,True
SAMEA104561941,True,False,True
SAMEA104561942,True,True,False
SAMEA104561943,False,True,True
SAMEA104561944,False,True,True
SAMN19580773,False,True,True
SAMN21555491,True,False,True
SAMN21555492,True,False,True
SAMN21555511,True,False,True
SAMN21555512,True,False,True
SAMN39670454,True,False,True
SAMN39670455,True,False,True
SAMN39670456,True,False,True
