id,id_type,in_logs,in_sample_list,location,mismatch
ERR2278845,ERR,True,False,none,True
ERR2278846,ERR,True,True,R1_or_R2,False
ERR2278847,ERR,True,False,none,True
ERR2278848,ERR,True,False,none,True
ERR2278849,ERR,True,False,none,True
ERR2278850,ERR,True,True,R1_or_R2,False
ERR2278851,ERR,True,False,none,True
ERR2278852,ERR,True,True,R1_or_R2,False
ERR2278853,ERR,True,True,R1_or_R2,False
ERR2278854,ERR,True,False,none,True
ERR2278855,ERR,True,True,R1_or_R2,False
ERR2278856,ERR,True,False,none,True
ERR2278857,ERR,True,True,R1_or_R2,False
ERR2278858,ERR,True,False,none,True
ERR2278859,ERR,True,True,R1_or_R2,False
ERR2278860,ERR,True,True,R1_or_R2,False
ERR2278861,ERR,True,True,R1_or_R2,False
ERR2278862,ERR,True,True,R1_or_R2,False
ERR2278863,ERR,True,True,R1_or_R2,False
ERR2278864,ERR,True,True,R1_or_R2,False
ERR2278865,ERR,True,True,R1_or_R2,False
ERR2278866,ERR,True,False,none,True
ERR2278867,ERR,True,True,R1_or_R2,False
ERR2278868,ERR,True,True,R1_or_R2,False
ERR2278869,ERR,True,True,R1_or_R2,False
ERR2278870,ERR,True,True,R1_or_R2,False
ERR2278871,ERR,True,True,R1_or_R2,False
ERR2278872,ERR,True,True,R1_or_R2,False
ERR2278873,ERR,True,True,R1_or_R2,False
ERR2278874,ERR,True,True,R1_or_R2,False
ERR2278875,ERR,True,True,R1_or_R2,False
ERR2278876,ERR,True,True,R1_or_R2,False
ERR2278877,ERR,True,True,R1_or_R2,False
ERR2278878,ERR,True,True,R1_or_R2,False
ERR2278879,ERR,True,True,R1_or_R2,False
ERR2278880,ERR,True,True,R1_or_R2,False
ERR2278881,ERR,True,True,R1_or_R2,False
ERR2278882,ERR,True,True,R1_or_R2,False
ERR2278883,ERR,True,True,R1_or_R2,False
ERR2278884,ERR,True,True,R1_or_R2,False
ERR2278885,ERR,True,True,R1_or_R2,False
SAMEA104561904,SAMEA,True,False,none,True
SAMEA104561905,SAMEA,True,True,first_column,False
SAMEA104561906,SAMEA,True,False,none,True
SAMEA104561907,SAMEA,True,False,none,True
SAMEA104561908,SAMEA,True,False,none,True
SAMEA104561909,SAMEA,True,True,first_column,False
SAMEA104561910,SAMEA,True,False,none,True
SAMEA104561911,SAMEA,True,True,first_column,False
SAMEA104561912,SAMEA,True,True,first_column,False
SAMEA104561913,SAMEA,True,False,none,True
SAMEA104561914,SAMEA,True,True,first_column,False
SAMEA104561915,SAMEA,True,False,none,True
SAMEA104561916,SAMEA,True,True,first_column,False
SAMEA104561917,SAMEA,True,False,none,True
SAMEA104561918,SAMEA,True,True,first_column,False
SAMEA104561919,SAMEA,True,True,first_column,False
SAMEA104561920,SAMEA,True,True,first_column,False
SAMEA104561921,SAMEA,True,True,first_column,False
SAMEA104561922,SAMEA,True,True,first_column,False
SAMEA104561923,SAMEA,True,True,first_column,False
SAMEA104561924,SAMEA,True,True,first_column,False
SAMEA104561925,SAMEA,True,False,none,True
SAMEA104561926,SAMEA,True,True,first_column,False
SAMEA104561927,SAMEA,True,True,first_column,False
SAMEA104561928,SAMEA,True,True,first_column,False
SAMEA104561929,SAMEA,True,True,first_column,False
SAMEA104561930,SAMEA,True,True,first_column,False
SAMEA104561931,SAMEA,True,True,first_column,False
SAMEA104561932,SAMEA,True,True,first_column,False
SAMEA104561933,SAMEA,True,True,first_column,False
SAMEA104561934,SAMEA,True,True,first_column,False
SAMEA104561935,SAMEA,True,True,first_column,False
SAMEA104561936,SAMEA,True,True,first_column,False
SAMEA104561937,SAMEA,True,True,first_column,False
SAMEA104561938,SAMEA,True,True,first_column,False
SAMEA104561939,SAMEA,True,True,first_column,False
SAMEA104561940,SAMEA,True,True,first_column,False
SAMEA104561941,SAMEA,True,True,first_column,False
SAMEA104561942,SAMEA,True,True,first_column,False
SAMEA104561943,SAMEA,True,True,first_column,False
SAMEA104561944,SAMEA,True,True,first_column,False
SAMN14979424,SAMN,True,False,none,True
SAMN15041590,SAMN,True,False,none,True
SAMN19580773,SAMN,True,True,first_column,False
SAMN21555491,SAMN,True,True,first_column,False
SAMN21555492,SAMN,True,True,first_column,False
SAMN21555511,SAMN,True,True,first_column,False
SAMN21555512,SAMN,True,True,first_column,False
SAMN39670451,SAMN,True,False,none,True
SAMN39670452,SAMN,True,False,none,True
SAMN39670453,SAMN,True,False,none,True
SAMN39670454,SAMN,True,True,first_column,False
SAMN39670455,SAMN,True,True,first_column,False
SAMN39670456,SAMN,True,True,first_column,False
SRR11816585,SRR,True,False,none,True
SRR11816586,SRR,True,False,none,True
SRR11816587,SRR,True,False,none,True
SRR11816588,SRR,True,False,none,True
SRR11816589,SRR,True,False,none,True
SRR11816590,SRR,True,False,none,True
SRR11860522,SRR,True,False,none,True
SRR14740633,SRR,True,True,R1_or_R2,False
SRR16013053,SRR,True,True,R1_or_R2,False
SRR16013054,SRR,True,True,R1_or_R2,False
SRR16013071,SRR,True,True,R1_or_R2,False
SRR16013072,SRR,True,True,R1_or_R2,False
SRR16013073,SRR,True,True,R1_or_R2,False
SRR16013074,SRR,True,True,R1_or_R2,False
SRR27781982,SRR,True,True,R1_or_R2,False
SRR27781983,SRR,True,False,none,True
SRR27781984,SRR,True,False,none,True
SRR27781985,SRR,True,False,none,True
SRR27781990,SRR,True,True,R1_or_R2,False
SRR27781991,SRR,True,True,R1_or_R2,False
