sample_id,srr_ids,r1_list,r2_list
SAMEA104561904,ERR2278845,ERR2278845_1.fastq.gz,ERR2278845_2.fastq.gz
SAMEA104561906,ERR2278847,ERR2278847_1.fastq.gz,ERR2278847_2.fastq.gz
SAMEA104561907,ERR2278848,ERR2278848_1.fastq.gz,ERR2278848_2.fastq.gz
SAMEA104561908,ERR2278849,ERR2278849_1.fastq.gz,ERR2278849_2.fastq.gz
SAMEA104561910,ERR2278851,ERR2278851_1.fastq.gz,ERR2278851_2.fastq.gz
SAMEA104561913,ERR2278854,ERR2278854_1.fastq.gz,ERR2278854_2.fastq.gz
SAMEA104561915,ERR2278856,ERR2278856_1.fastq.gz,NA
SAMEA104561917,ERR2278858,ERR2278858_1.fastq.gz,ERR2278858_2.fastq.gz
SAMEA104561925,ERR2278866,ERR2278866_1.fastq.gz,ERR2278866_2.fastq.gz
SAMN14979424,"SRR11816585,SRR11816586,SRR11816587,SRR11816588,SRR11816589,SRR11816590","SRR11816585_1.fastq.gz,SRR11816586_1.fastq.gz,SRR11816587_1.fastq.gz,SRR11816588_1.fastq.gz,SRR11816589_1.fastq.gz,SRR11816590_1.fastq.gz","SRR11816585_2.fastq.gz,SRR11816586_2.fastq.gz,SRR11816587_2.fastq.gz,SRR11816588_2.fastq.gz,SRR11816589_2.fastq.gz,SRR11816590_2.fastq.gz"
SAMN15041590,SRR11860522,SRR11860522_1.fastq.gz,NA
SAMN39670451,SRR27781985,SRR27781985_1.fastq.gz,SRR27781985_2.fastq.gz
SAMN39670452,SRR27781984,SRR27781984_1.fastq.gz,NA
SAMN39670453,SRR27781983,SRR27781983_1.fastq.gz,SRR27781983_2.fastq.gz
