SAMEA104561914	ERR2278855_1.fastq.gz	ERR2278855_2.fastq.gz
SAMEA104561918	ERR2278859_1.fastq.gz	ERR2278859_2.fastq.gz
SAMEA104561920	ERR2278861_1.fastq.gz	ERR2278861_2.fastq.gz
SAMEA104561932	ERR2278873_1.fastq.gz	ERR2278873_2.fastq.gz
SAMEA104561933	ERR2278874_1.fastq.gz	ERR2278874_2.fastq.gz
SAMEA104561937	ERR2278878_1.fastq.gz	ERR2278878_2.fastq.gz
SAMEA104561939	ERR2278880_1.fastq.gz	ERR2278880_2.fastq.gz
SAMEA104561942	ERR2278883_1.fastq.gz	ERR2278883_2.fastq.gz
SAMEA104561943	ERR2278884_1.fastq.gz	ERR2278884_2.fastq.gz
SAMEA104561944	ERR2278885_1.fastq.gz	ERR2278885_2.fastq.gz
SAMN19580773	SRR14740633_1.fastq.gz	SRR14740633_2.fastq.gz
SAMEA104561905	ERR2278846_1.fastq.gz	ERR2278846_2.fastq.gz
SAMEA104561909	ERR2278850_1.fastq.gz	ERR2278850_2.fastq.gz
SAMEA104561911	ERR2278852_1.fastq.gz	ERR2278852_2.fastq.gz
SAMEA104561912	ERR2278853_1.fastq.gz	ERR2278853_2.fastq.gz
SAMEA104561916	ERR2278857_1.fastq.gz	ERR2278857_2.fastq.gz
SAMEA104561919	ERR2278860_1.fastq.gz	ERR2278860_2.fastq.gz
SAMEA104561921	ERR2278862_1.fastq.gz	ERR2278862_2.fastq.gz
SAMEA104561922	ERR2278863_1.fastq.gz	ERR2278863_2.fastq.gz
SAMEA104561923	ERR2278864_1.fastq.gz	ERR2278864_2.fastq.gz
SAMEA104561924	ERR2278865_1.fastq.gz	ERR2278865_2.fastq.gz
SAMEA104561926	ERR2278867_1.fastq.gz	ERR2278867_2.fastq.gz
SAMEA104561927	ERR2278868_1.fastq.gz	ERR2278868_2.fastq.gz
SAMEA104561928	ERR2278869_1.fastq.gz	ERR2278869_2.fastq.gz
SAMEA104561929	ERR2278870_1.fastq.gz	ERR2278870_2.fastq.gz
SAMEA104561930	ERR2278871_1.fastq.gz	ERR2278871_2.fastq.gz
SAMEA104561931	ERR2278872_1.fastq.gz	ERR2278872_2.fastq.gz
SAMEA104561934	ERR2278875_1.fastq.gz	ERR2278875_2.fastq.gz
SAMEA104561935	ERR2278876_1.fastq.gz	ERR2278876_2.fastq.gz
SAMEA104561936	ERR2278877_1.fastq.gz	ERR2278877_2.fastq.gz
SAMEA104561938	ERR2278879_1.fastq.gz	ERR2278879_2.fastq.gz
SAMEA104561940	ERR2278881_1.fastq.gz	ERR2278881_2.fastq.gz
SAMEA104561941	ERR2278882_1.fastq.gz	ERR2278882_2.fastq.gz
SAMN21555491	SRR16013053_1.fastq.gz	SRR16013053_2.fastq.gz
SAMN21555492	SRR16013054_1.fastq.gz	SRR16013054_2.fastq.gz
SAMN21555511	SRR16013071_1.fastq.gz	SRR16013071_2.fastq.gz
SAMN21555512	SRR16013072_1.fastq.gz,SRR16013073_1.fastq.gz,SRR16013074_1.fastq.gz	SRR16013072_2.fastq.gz,SRR16013073_2.fastq.gz,SRR16013074_2.fastq.gz
SAMN39670454	SRR27781982_1.fastq.gz	SRR27781982_2.fastq.gz
SAMN39670455	SRR27781991_1.fastq.gz	SRR27781991_2.fastq.gz
SAMN39670456	SRR27781990_1.fastq.gz	SRR27781990_2.fastq.gz
