sample_id,in_bam_dir,in_sample_list,mismatch
ERR10031366,True,True,False
ERR10031367,True,True,False
ERR10031368,True,True,False
ERR10031369,True,True,False
ERR10031370,True,True,False
SAMEA110464434,True,True,False
SAMEA110464435,True,True,False
SAMEA110464436,True,True,False
SAMEA110464437,True,True,False
SAMEA110464438,True,True,False
SAMN08737016,True,True,False
SAMN08737017,False,True,True
SAMN14327243,False,True,True
SAMN14328247,False,True,True
SAMN14328388,False,True,True
SAMN14328447,False,True,True
SAMN14328750,False,True,True
SAMN14328770,False,True,True
SAMN15041566,True,True,False
SAMN15041580,False,True,True
SAMN15041581,False,True,True
SAMN15041584,True,True,False
SAMN15041585,True,True,False
SAMN15041587,True,True,False
SAMN16537915,True,True,False
SAMN16537916,True,True,False
SAMN16537917,True,True,False
SAMN16537918,True,True,False
SAMN31240819,False,True,True
SAMN31240820,False,True,True
SAMN31240821,False,True,True
SAMN31240822,False,True,True
SAMN31240824,False,True,True
SAMN31240825,False,True,True
SAMN31240826,False,True,True
SAMN31240827,False,True,True
SAMN31240828,False,True,True
SAMN31240829,False,True,True
SAMN31240830,False,True,True
SAMN31240831,False,True,True
SAMN31240833,False,True,True
SAMN31240834,False,True,True
SAMN31240835,False,True,True
SAMN31240836,False,True,True
SAMN31240837,False,True,True
SAMN31240838,False,True,True
SAMN31240840,False,True,True
SAMN31240841,False,True,True
SAMN31240842,False,True,True
SAMN31240843,False,True,True
SAMN31240844,False,True,True
SAMN31240846,False,True,True
SAMN31240847,False,True,True
SAMN31240848,False,True,True
SAMN31240849,False,True,True
SAMN31240850,False,True,True
SAMN31240851,False,True,True
SAMN31240853,False,True,True
SAMN31240854,False,True,True
SAMN31240855,False,True,True
SAMN31240856,False,True,True
SAMN31240857,False,True,True
SAMN31240858,False,True,True
SAMN31240859,False,True,True
SAMN31240860,False,True,True
SAMN31240861,False,True,True
SAMN31240862,False,True,True
SAMN31240863,False,True,True
SAMN31240864,False,True,True
SAMN31240865,False,True,True
SAMN31240866,False,True,True
SAMN31240867,False,True,True
SAMN31240868,False,True,True
SAMN31240869,False,True,True
SAMN31240870,False,True,True
SAMN31240871,False,True,True
SAMN31240872,False,True,True
SAMN31240873,False,True,True
SAMN31240874,False,True,True
SAMN31240875,False,True,True
SAMN31240876,False,True,True
SAMN31240877,False,True,True
SAMN31240878,False,True,True
SAMN31240879,False,True,True
SAMN31240880,False,True,True
SAMN31240881,False,True,True
SAMN31240882,False,True,True
SAMN31240883,False,True,True
SAMN31240884,False,True,True
SAMN31240885,False,True,True
SAMN31240886,False,True,True
SAMN31240887,False,True,True
SAMN31240888,False,True,True
SAMN31240889,False,True,True
SAMN31240890,False,True,True
SAMN31240891,False,True,True
SAMN31240892,False,True,True
SAMN31240893,False,True,True
